Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
V1	20	10	22	9	20	25	5	0	0	12	0	5	2	0	7
V2	136	13	31	0	0	51	17	24	7	0	2	0	11	1	0
V3	1	112	36	18	4	7	25	2	0	5	18	0	0	0	2
V4	157	0	0	4	0	0	0	9	0	0	0	0	0	68	26
V5	337	11	25	5	4	8	17	71	18	21	15	1	2	35	5
V6	40	63	1	64	0	0	0	15	5	0	5	16	12	0	17
V7	0	195	6	0	1	0	3	66	34	0	33	3	32	3	17
V8	4	40	1	4	0	0	0	16	20	0	21	2	20	0	0
V9	1	0	55	79	6	34	11	56	14	35	11	15	9	13	0
V10	112	7	0	0	20	27	7	18	0	41	15	0	17	36	2
V11	0	401	16	28	12	7	2	2	13	0	26	3	6	0	20
V12	144	209	3	33	19	16	3	5	18	0	14	6	0	58	0
V13	57	0	182	0	42	92	74	4	2	1	0	1	11	7	3
V14	68	1	73	80	10	42	39	8	16	0	18	25	13	41	0
V15	52	134	224	8	14	100	29	3	8	0	15	0	3	0	15
V16	4	8	315	31	0	40	106	3	1	10	12	16	3	0	0
V17	144	12	46	5	74	23	39	14	38	0	36	1	0	0	0
V18	82	21	103	61	0	18	16	28	3	3	3	34	0	53	0
V19	2	0	11	0	3	0	8	6	1	4	5	0	13	0	0
V20	6	17	56	65	21	19	31	4	0	6	0	4	0	0	0
V21	228	21	2	22	12	6	0	0	0	1	0	4	0	3	16
V22	12	6	0	9	0	0	0	4	0	0	0	1	0	0	0
V23	27	5	0	76	1	0	0	16	0	6	3	0	2	0	3
V24	33	1	3	6	0	0	1	15	19	9	8	0	24	0	7
V25	49	18	175	1	0	6	26	0	7	9	9	0	2	0	0
V26	0	90	27	18	3	4	26	3	0	0	0	0	2	0	0
V27	0	0	6	0	33	33	19	16	15	31	54	0	68	8	0
V28	226	13	19	4	4	5	15	10	2	6	0	2	3	8	0
V29	24	2	1	11	66	15	30	12	8	7	2	4	6	2	0
V30	19	10	0	5	0	0	0	28	11	7	14	0	0	19	1
V31	27	12	33	7	0	2	22	0	0	0	0	1	0	5	6
V32	0	21	2	82	9	0	5	69	84	15	20	14	19	19	0
V33	30	59	67	1	30	118	37	14	38	17	20	50	0	0	0
V34	2	29	39	0	3	2	25	17	30	16	34	0	5	0	0
V35	12	4	28	33	22	5	10	0	0	11	1	1	22	0	0
V36	5	114	30	3	3	14	11	0	1	0	0	7	1	4	11
V37	3	68	3	10	13	25	4	12	2	28	2	3	15	0	6
V38	0	15	19	4	0	2	7	10	1	0	1	0	5	0	3
V39	0	79	0	13	3	0	1	12	2	0	2	6	1	13	0
V40	14	47	12	6	72	39	22	2	9	64	15	22	4	0	10
V41	0	66	3	3	2	2	1	0	10	0	6	0	2	2	1
V42	35	43	143	125	0	37	39	0	0	0	0	73	3	0	0
V43	200	0	6	4	29	11	2	3	5	0	0	5	0	7	20
V44	14	38	6	0	8	13	7	6	5	16	8	0	0	1	0
V45	15	118	7	91	1	0	7	5	0	0	11	0	0	0	0
V46	70	39	5	17	63	43	21	19	34	10	6	21	12	0	0
V47	5	76	136	135	41	30	119	24	43	0	5	44	0	0	0
V48	3	77	17	2	0	1	1	2	1	0	3	5	0	0	5
V49	0	124	1	9	15	5	7	11	0	3	10	13	0	0	0
V50	279	1	1	27	16	12	2	2	3	0	10	9	0	32	30
V51	27	0	96	1	25	1	15	27	35	17	14	0	2	12	0
V52	0	143	4	0	18	15	0	6	1	0	52	0	8	18	12
V53	24	14	76	1	5	18	0	0	5	0	3	2	0	0	0
V54	34	13	46	0	29	43	29	1	0	0	5	0	8	0	5
V55	0	164	3	27	0	0	0	15	50	15	4	19	51	0	0
V56	5	49	80	40	18	25	78	4	21	3	2	0	0	0	8
V57	4	0	14	0	11	21	6	6	0	3	0	5	0	0	0
V58	41	15	35	11	0	0	3	4	29	0	15	0	8	17	0
V59	23	82	4	0	29	2	19	24	25	28	14	0	51	0	0
V60	275	0	3	31	12	2	6	3	0	0	0	34	0	14	5
V61	10	33	113	0	128	90	119	0	8	88	0	28	0	0	0
