Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
V1	17	0	18	7	7	24	10	0	0	8	0	0	0	5	4	20	1	16	0
V2	136	0	25	0	20	51	0	21	6	0	1	0	3	0	0	0	9	18	3
V3	1	107	28	17	27	5	2	2	0	4	13	14	2	0	0	0	0	8	0
V4	151	0	0	4	0	0	1	8	0	2	0	0	0	82	0	0	0	0	16
V5	348	9	22	4	18	10	4	66	4	21	9	0	18	14	2	0	9	0	17
V6	26	64	2	58	0	0	0	13	3	1	4	0	1	30	21	0	12	3	0
V7	0	185	6	1	4	1	3	64	50	0	27	4	0	4	0	0	12	19	13
V8	4	28	1	3	0	1	0	16	25	0	16	0	2	0	2	1	10	19	0
V9	2	1	50	73	16	40	8	61	33	20	8	0	0	10	17	0	0	0	0
V10	116	8	0	0	6	31	21	24	15	27	14	0	0	28	0	0	10	0	2
V11	0	355	12	24	2	5	10	0	1	0	19	6	14	0	3	3	5	66	11
V12	162	207	4	30	1	17	19	3	0	2	10	0	32	20	9	0	0	0	12
V13	57	0	154	1	89	92	38	2	0	1	0	19	2	8	0	0	12	1	0
V14	87	0	64	77	46	47	12	9	31	0	16	0	0	6	23	2	5	0	9
V15	45	118	198	7	48	106	13	2	0	0	12	0	8	15	0	0	4	29	0
V16	4	8	274	27	136	55	0	3	3	12	10	0	0	0	16	0	1	0	0
V17	144	0	38	3	38	24	68	9	6	15	24	0	37	2	3	2	2	17	0
V18	105	19	92	57	26	25	3	28	20	0	2	0	0	9	28	0	0	0	11
V19	1	0	9	0	8	1	4	6	4	3	5	0	0	3	1	0	8	0	0
V20	6	17	48	59	36	21	20	5	1	4	0	4	0	0	8	0	0	0	0
V21	218	24	2	21	0	4	10	0	0	0	0	0	0	21	4	6	0	0	5
V22	11	7	0	8	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0
V23	24	6	0	76	0	0	1	16	2	4	2	0	0	7	0	0	1	0	0
V24	29	0	3	6	1	1	1	14	15	11	6	0	7	3	2	0	17	4	6
V25	48	4	152	0	41	14	0	2	6	8	7	0	1	0	0	0	0	19	0
V26	0	84	22	17	28	6	2	2	0	0	0	0	0	0	0	0	2	10	0
V27	0	2	5	0	18	39	36	20	42	22	48	4	0	6	0	0	41	0	0
V28	229	9	16	3	16	6	4	9	0	4	0	0	2	9	2	0	3	5	0
V29	25	2	0	11	27	15	61	11	3	8	1	5	10	1	4	0	6	0	0
V30	22	6	0	5	0	1	0	26	0	11	9	0	14	10	0	0	4	4	2
V31	27	12	28	7	26	3	0	0	0	0	0	0	0	5	2	0	0	0	5
V32	0	24	5	79	5	2	11	75	99	10	14	0	2	18	15	0	0	0	0
V33	29	57	46	9	38	92	23	9	2	19	14	96	31	0	11	0	2	0	3
V34	1	31	34	0	28	5	3	18	21	20	26	0	14	0	0	0	1	0	0
V35	11	4	25	32	11	8	22	0	0	13	2	0	0	0	5	0	16	0	0
V36	2	118	26	2	14	15	2	0	0	1	0	0	0	11	5	4	1	0	3
V37	0	16	1	7	3	27	13	15	7	19	1	0	0	4	4	0	8	69	0
V38	0	15	18	4	9	3	0	9	0	0	0	0	1	0	0	0	5	0	3
V39	5	75	1	11	1	0	4	11	0	1	1	0	4	3	7	0	4	0	4
V40	7	48	8	7	20	33	32	10	0	39	11	0	14	9	11	85	4	0	0
V41	1	67	3	3	1	2	2	1	9	0	4	0	3	0	0	0	0	0	2
V42	33	44	124	115	53	49	4	0	1	0	0	0	0	6	62	0	7	0	0
V43	186	0	5	3	1	11	29	2	0	0	0	0	4	38	5	0	0	6	2
V44	14	36	5	0	7	14	4	8	1	13	6	0	6	0	0	7	0	0	1
V45	15	121	6	86	7	0	1	4	0	0	8	0	0	0	7	0	0	0	0
V46	68	38	1	19	18	34	42	15	8	12	3	20	25	0	9	35	13	0	0
V47	5	77	108	129	127	26	37	19	15	4	0	48	32	0	29	0	2	0	0
V48	3	69	14	2	2	0	0	2	0	0	3	9	1	0	1	0	0	8	3
V49	0	124	0	10	6	1	10	10	0	0	8	14	1	0	6	8	0	0	0
V50	293	0	0	25	1	11	18	0	0	0	8	2	7	12	8	0	0	0	39
V51	32	0	86	2	22	6	24	28	22	20	9	0	20	0	0	0	0	0	1
V52	0	145	3	0	0	13	13	6	14	0	44	4	0	18	0	11	0	0	6
V53	25	15	67	1	6	20	5	0	4	0	2	0	1	0	2	0	0	0	0
