MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
1:Del:C:0	8.29E-07	1.40E-46	3.37E-08	1.70E-07	1.39E-07	2.08E-07	3.29E-04	4.59E-02	4.60E-02	1.48E-02	7.82E-03	7.31E-02	4.07E-03	9.79E-03	1.00E-02	5.44E-03	3.39E-02	3.75E-03	2.28E-02	3.17E-02
1:Del:C:1	1.92E-08	0.00E+00	1.75E-07	2.05E-07	3.19E-08	4.03E-07	5.29E-03	7.49E-03	3.37E-02	6.50E-03	2.26E-03	8.75E-02	4.57E-02	2.39E-02	6.41E-07	1.34E-02	1.69E-03	1.40E-46	2.99E-46	1.70E-08
1:Del:C:2	2.32E-07	1.29E-06	1.25E-04	1.19E-07	0.00E+00	0.00E+00	2.01E-04	2.60E-07	4.89E-03	6.53E-04	1.12E-03	8.69E-03	9.14E-04	4.91E-03	2.81E-05	3.33E-03	2.54E-04	2.01E-03	2.32E-04	3.93E-03
1:Del:C:3	4.86E-05	1.29E-04	0.00E+00	2.25E-08	7.43E-08	3.08E-07	0.00E+00	2.40E-03	5.30E-04	1.82E-02	5.20E-07	1.38E-02	2.22E-02	2.76E-03	4.27E-02	1.23E-03	2.09E-07	1.50E-02	0.00E+00	2.17E-02
1:Del:C:4	0.00E+00	1.45E-03	4.97E-04	1.35E-04	3.24E-04	6.73E-04	0.00E+00	3.46E-03	1.06E-02	1.57E-03	8.84E-03	6.59E-04	1.44E-03	0.00E+00	3.45E-04	1.19E-04	1.21E-03	5.52E-03	0.00E+00	6.79E-03
1:Del:C:5	2.82E-07	3.02E-03	2.59E-02	3.10E-07	7.59E-03	3.50E-02	1.45E-03	8.40E-03	7.92E-04	1.73E-02	5.58E-03	4.49E-06	5.81E-06	5.60E-03	1.52E-06	7.72E-02	2.00E-02	6.24E-03	7.86E-07	5.49E-03
1:Del:T:0	0.00E+00	0.00E+00	1.22E-06	6.35E-07	1.87E-46	7.01E-04	5.00E-03	1.56E-02	4.13E-02	3.71E-02	2.26E-02	1.78E-02	1.15E-02	8.88E-03	1.23E-03	1.95E-02	5.72E-03	3.06E-02	2.25E-04	1.21E-02
1:Del:T:1	0.00E+00	8.49E-04	6.42E-04	4.37E-04	1.63E-03	0.00E+00	2.35E-03	7.57E-03	4.08E-02	1.08E-02	1.22E-02	4.27E-03	3.97E-02	4.18E-03	4.08E-04	1.12E-02	9.38E-03	6.15E-03	6.02E-03	2.79E-02
1:Del:T:2	1.22E-06	1.77E-04	2.33E-07	2.88E-08	6.55E-03	0.00E+00	0.00E+00	8.53E-03	2.08E-02	3.49E-02	2.77E-02	2.47E-02	7.21E-02	0.00E+00	1.20E-07	2.04E-02	3.39E-03	2.37E-02	6.96E-03	3.85E-02
1:Del:T:3	0.00E+00	3.02E-03	6.92E-04	4.28E-46	3.21E-03	0.00E+00	5.43E-03	1.28E-03	5.47E-02	3.19E-02	3.01E-02	2.39E-02	5.55E-02	1.96E-03	1.45E-02	2.33E-02	3.12E-02	4.51E-02	1.59E-02	3.19E-02
1:Del:T:4	1.49E-04	7.77E-04	1.51E-07	0.00E+00	0.00E+00	0.00E+00	1.40E-46	1.27E-02	1.95E-02	2.62E-02	6.11E-02	6.35E-03	8.25E-03	1.87E-46	1.87E-46	4.74E-02	3.33E-02	5.39E-03	5.16E-03	5.11E-02
1:Del:T:5	4.86E-08	1.61E-02	2.59E-19	6.98E-03	1.51E-06	2.99E-46	1.73E-07	6.36E-08	1.73E-03	8.51E-07	2.89E-03	8.00E-07	7.96E-03	1.74E-03	1.03E-02	1.25E-02	1.52E-05	4.57E-02	3.17E-03	1.07E-01
1:Ins:C:0	0.00E+00	1.93E-04	5.83E-04	9.74E-09	6.14E-04	0.00E+00	1.35E-03	1.28E-07	3.29E-07	2.67E-03	3.05E-07	3.00E-03	8.52E-03	1.50E-03	1.77E-03	1.64E-03	3.58E-04	8.92E-04	8.05E-03	1.57E-03
1:Ins:C:1	1.38E-09	1.13E-04	4.73E-08	1.62E-06	6.18E-07	1.00E-03	1.61E-03	0.00E+00	0.00E+00	2.38E-04	1.25E-07	2.53E-03	2.68E-03	3.56E-03	1.05E-06	2.32E-03	3.84E-03	5.70E-04	8.32E-05	4.75E-07
1:Ins:C:2	8.11E-08	1.18E-07	1.33E-06	1.72E-02	1.08E-07	1.93E-07	1.78E-06	5.40E-07	3.26E-07	3.72E-07	1.47E-07	2.84E-07	7.50E-02	3.07E-03	9.57E-02	2.72E-07	4.57E-02	3.32E-02	3.92E-06	6.51E-03
1:Ins:C:3	1.41E-04	8.03E-05	0.00E+00	4.44E-03	6.94E-08	2.48E-08	0.00E+00	4.72E-08	1.52E-03	0.00E+00	0.00E+00	1.39E-03	4.08E-03	1.17E-04	1.03E-02	1.38E-08	1.15E-02	2.40E-03	0.00E+00	1.64E-03
1:Ins:C:4	2.39E-04	3.58E-04	1.65E-03	0.00E+00	1.63E-04	3.20E-08	0.00E+00	0.00E+00	1.08E-02	3.47E-04	1.81E-03	4.97E-04	9.95E-04	1.23E-03	3.53E-03	3.59E-03	1.88E-03	6.95E-04	5.79E-03	1.20E-03
1:Ins:C:5	3.24E-02	8.52E-05	2.40E-07	2.80E-46	0.00E+00	0.00E+00	3.70E-04	1.64E-03	0.00E+00	2.36E-03	2.94E-03	1.98E-08	1.56E-03	2.82E-08	9.22E-03	1.94E-03	2.60E-03	8.14E-02	5.73E-02	4.15E-03
1:Ins:T:0	1.75E-04	3.38E-04	0.00E+00	1.14E-04	3.08E-03	1.55E-03	0.00E+00	6.40E-04	5.95E-03	5.12E-03	4.14E-03	6.53E-03	4.83E-03	1.60E-02	1.63E-02	3.23E-03	1.02E-02	1.27E-03	5.76E-03	1.15E-02
1:Ins:T:1	2.27E-08	0.00E+00	2.27E-08	2.69E-08	1.71E-03	3.65E-04	1.51E-03	4.71E-05	1.06E-02	3.46E-03	1.34E-03	4.64E-03	4.50E-03	2.85E-03	0.00E+00	2.85E-03	8.21E-03	6.56E-07	2.44E-03	3.02E-08
1:Ins:T:2	4.09E-08	3.12E-04	2.69E-03	1.17E-08	6.98E-04	1.40E-04	0.00E+00	4.00E-04	1.18E-02	4.29E-07	2.50E-03	1.43E-04	3.10E-03	0.00E+00	2.93E-08	8.63E-04	6.72E-04	5.04E-03	4.06E-07	8.65E-04
1:Ins:T:3	4.05E-04	4.17E-05	0.00E+00	0.00E+00	3.02E-04	0.00E+00	0.00E+00	1.79E-08	1.48E-04	1.89E-03	1.92E-04	3.89E-03	3.42E-04	9.16E-03	3.21E-07	2.01E-03	1.06E-03	0.00E+00	3.49E-03	1.46E-03
