Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	58	35	13	21	10
V2	85	58	15	135	0
V3	10	63	136	1	20
V4	20	0	3	234	7
V5	139	31	18	377	10
V6	6	1	86	46	99
V7	126	0	254	3	10
V8	50	0	60	6	12
V9	137	80	2	8	112
V10	149	1	10	142	0
V11	4	22	475	0	35
V12	52	9	244	180	43
V13	131	286	0	59	0
V14	81	137	3	96	117
V15	51	341	159	54	0
V16	0	505	11	4	29
V17	188	73	15	154	2
V18	26	159	27	118	95
V19	29	21	0	3	0
V20	37	92	18	6	76
V21	17	4	29	236	29
V22	2	0	7	11	12
V23	8	0	7	27	97
V24	60	0	7	43	16
V25	0	232	21	49	0
V26	1	50	103	0	19
V27	254	17	6	5	1
V28	26	32	15	240	4
V29	145	8	1	24	12
V30	56	0	15	32	11
V31	0	59	16	32	8
V32	176	0	33	11	139
V33	238	134	67	31	11
V34	84	70	45	3	0
V35	41	44	5	13	46
V36	7	51	135	8	3
V37	88	8	79	3	16
V38	10	32	19	0	6
V39	15	0	90	7	20
V40	229	23	58	15	13
V41	8	4	81	1	4
V42	0	228	50	37	183
V43	63	7	6	211	5
V44	51	12	44	15	0
V45	0	10	125	14	106
V46	204	15	43	71	27
V47	128	252	89	5	184
V48	0	22	89	3	3
V49	41	2	139	0	16
V50	49	5	12	320	38
V51	86	144	2	39	1
V52	77	3	187	10	0
V53	0	105	17	26	0
V54	86	80	14	33	0
V55	62	0	227	0	59
V56	69	154	59	5	46
V57	44	22	0	4	0
V58	14	56	25	64	19
V59	158	4	108	27	4
V60	25	8	0	300	52
V61	367	208	33	9	0
V62	202	42	52	42	224
V63	209	301	19	343	0
V64	7	148	139	21	21
V65	57	185	46	13	18
V66	147	123	572	101	20
V67	43	20	12	2	42
V68	0	184	281	17	106
V69	144	140	8	24	27
V70	0	62	69	1	44
V71	0	1	3	28	46
V72	12	3	1	90	43
V73	0	4	9	43	208
V74	135	11	13	50	129
V75	47	4	123	75	0
V76	0	468	5	41	91
V77	196	61	16	4	22
V78	44	0	39	8	6
V79	206	13	4	73	69
V80	117	13	60	100	30
V81	0	5	12	773	10
V82	487	56	1	73	54
V83	62	188	83	5	265
V84	0	165	2	8	0
V85	0	11	287	11	25
V86	20	0	369	25	0
V87	9	3	7	35	41
V88	49	17	37	4	4
V89	63	168	18	63	0
V90	55	4	168	7	11
V91	268	34	9	16	27
V92	219	52	10	77	0
V93	60	29	70	1	0
V94	106	0	72	103	29
V95	42	61	5	3	2
V96	286	16	4	206	15
V97	168	86	27	19	1
V98	41	45	61	16	53
V99	40	192	28	5	29
V100	102	18	4	0	94
