Samples	ID1	ID2	ID8	ID9	ID83C	ID83F	ID83G
V1	21	13	43	0	26	11	23
V2	158	0	0	0	48	0	87
V3	0	148	0	0	61	21	0
V4	264	0	0	0	0	0	0
V5	411	0	0	164	0	0	0
V6	45	82	0	34	0	77	0
V7	0	240	0	153	0	0	0
V8	0	61	0	67	0	0	0
V9	0	0	0	127	72	87	53
V10	144	0	87	71	0	0	0
V11	0	536	0	0	0	0	0
V12	185	244	61	0	0	38	0
V13	60	0	99	0	235	0	82
V14	110	0	0	0	127	111	86
V15	54	152	0	0	269	0	130
V16	0	0	0	0	549	0	0
V17	178	0	184	0	70	0	0
V18	118	25	0	63	140	79	0
V19	0	0	11	22	20	0	0
V20	0	18	64	0	78	69	0
V21	258	31	0	0	0	26	0
V22	11	7	0	5	0	9	0
V23	28	0	0	32	0	79	0
V24	44	0	0	71	0	11	0
V25	58	0	0	0	244	0	0
V26	0	108	0	0	46	19	0
V27	0	0	159	124	0	0	0
V28	317	0	0	0	0	0	0
V29	28	0	162	0	0	0	0
V30	31	13	0	70	0	0	0
V31	37	18	0	0	60	0	0
V32	0	31	0	220	0	108	0
V33	39	82	0	0	118	0	242
V34	0	43	0	88	71	0	0
V35	14	0	51	0	40	44	0
V36	0	154	0	0	50	0	0
V37	0	86	0	39	0	15	54
V38	0	19	0	18	30	0	0
V39	0	112	0	0	0	20	0
V40	0	65	226	47	0	0	0
V41	0	98	0	0	0	0	0
V42	39	50	0	0	192	159	58
V43	226	0	66	0	0	0	0
V44	15	43	21	21	8	0	14
V45	0	149	0	0	0	106	0
V46	72	43	177	42	0	26	0
V47	0	92	174	0	224	168	0
V48	0	96	0	0	21	0	0
V49	0	156	42	0	0	0	0
V50	424	0	0	0	0	0	0
V51	39	0	0	94	139	0	0
V52	0	277	0	0	0	0	0
V53	26	16	0	0	86	0	20
V54	33	14	71	0	62	0	33
V55	0	214	0	90	0	44	0
V56	0	60	97	0	131	45	0
V57	0	0	26	0	19	0	25
V58	58	21	0	37	48	14	0
V59	25	104	79	93	0	0	0
V60	337	0	0	0	0	48	0
V61	0	0	429	0	188	0	0
V62	43	59	249	0	0	211	0
V63	362	0	253	0	257	0	0
V64	20	135	34	0	125	22	0
V65	0	47	81	0	169	22	0
V66	97	546	0	203	117	0	0
V67	0	15	0	0	18	44	42
V68	0	308	0	0	176	104	0
V69	21	0	111	63	122	26	0
V70	0	73	0	0	61	42	0
V71	33	0	0	0	0	45	0
V72	108	0	0	0	0	41	0
V73	54	0	0	0	0	210	0
V74	51	0	0	185	0	102	0
V75	79	124	0	46	0	0	0
V76	0	0	0	143	389	73	0
V77	0	0	218	0	54	27	0
V78	0	39	0	58	0	0	0
V79	80	0	0	117	0	60	108
V80	110	63	0	147	0	0	0
V81	800	0	0	0	0	0	0
V82	70	0	301	235	65	0	0
V83	0	75	0	158	167	203	0
V84	0	0	0	0	175	0	0
V85	0	334	0	0	0	0	0
V86	0	414	0	0	0	0	0
V87	50	0	0	0	0	45	0
V88	0	41	57	0	13	0	0
V89	68	0	0	74	170	0	0
V90	0	169	0	76	0	0	0
V91	0	0	321	0	0	33	0
V92	83	0	0	119	49	0	107
V93	0	75	58	0	27	0	0
V94	101	67	0	142	0	0	0
V95	0	0	0	0	55	0	58
V96	209	0	158	160	0	0	0
V97	17	28	184	0	72	0	0
V98	15	57	0	60	43	41	0
V99	0	23	0	82	165	24	0
V100	0	0	103	0	0	87	28
