MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	0.00333693	0.00024770	0.00346966	0.04763229	0.39196682	0.00045921	0.01914589
1:Del:C:1	0.00003091	0.00000000	0.00081834	0.04999200	0.07523008	0.00020033	0.03059466
1:Del:C:2	0.00006968	0.00066964	0.00000000	0.00558349	0.00165021	0.00000003	0.00094161
1:Del:C:3	0.00048185	0.00421849	0.00000000	0.00882155	0.00887587	0.00000000	0.00206939
1:Del:C:4	0.00000000	0.00419810	0.00133389	0.00031457	0.01005923	0.00000000	0.00225278
1:Del:C:5	0.00099957	0.00449221	0.60402115	0.00000000	0.00065061	0.00035608	0.00410520
1:Del:T:0	0.00004830	0.00445343	0.00178559	0.03553938	0.10323061	0.00304940	0.03813374
1:Del:T:1	0.00000001	0.00120726	0.00006929	0.00894183	0.03825736	0.00096427	0.01753464
1:Del:T:2	0.00068172	0.00472963	0.00118096	0.00086723	0.08706657	0.00031360	0.03589284
1:Del:T:3	0.00013262	0.02397678	0.00136161	0.00517089	0.08927511	0.00198311	0.06332664
1:Del:T:4	0.00278387	0.04245028	0.00167846	0.00000000	0.09497265	0.00000000	0.02817046
1:Del:T:5	0.00000000	0.84586602	0.00007110	0.00063868	0.00000007	0.00079685	0.00320143
1:Ins:C:0	0.00000000	0.00076869	0.00000000	0.00391559	0.00000006	0.00000001	0.00197412
1:Ins:C:1	0.00000001	0.00019518	0.00004797	0.00393903	0.00000008	0.00000002	0.00152528
1:Ins:C:2	0.00000036	0.00033617	0.00001578	0.00173245	0.00000018	0.82774220	0.00000007
1:Ins:C:3	0.00039782	0.00039025	0.00000003	0.00058158	0.00036969	0.02564717	0.00000084
1:Ins:C:4	0.00157449	0.00183380	0.00000001	0.00036730	0.00000000	0.00000000	0.00122721
1:Ins:C:5	0.01968875	0.00876364	0.00072360	0.00153678	0.00338426	0.00462101	0.00241192
1:Ins:T:0	0.00066832	0.00281200	0.00000000	0.00359073	0.00828634	0.00180626	0.00670935
1:Ins:T:1	0.00001708	0.00008772	0.00027163	0.00626537	0.00746457	0.00000030	0.00329562
1:Ins:T:2	0.00011186	0.00113570	0.00052812	0.00026915	0.00239669	0.00000000	0.00302263
1:Ins:T:3	0.00241838	0.00030110	0.00000000	0.00226494	0.00013455	0.00000000	0.00144960
1:Ins:T:4	0.01749040	0.00377070	0.00000822	0.00007279	0.00168269	0.00183028	0.00000000
1:Ins:T:5	0.90695615	0.00000000	0.00000918	0.00256150	0.00000062	0.00000015	0.00000083
2:Del:R:0	0.00003149	0.00014358	0.00013946	0.00731536	0.01621813	0.00054339	0.00830071
2:Del:R:1	0.00093339	0.00306198	0.00016809	0.01008107	0.00553813	0.00265606	0.00446046
2:Del:R:2	0.00085571	0.00108435	0.00018658	0.00039959	0.00121808	0.00002187	0.00007523
2:Del:R:3	0.00014960	0.00020632	0.00000000	0.00125149	0.00064250	0.11216537	0.00278671
2:Del:R:4	0.00000003	0.00100871	0.00013840	0.00000003	0.00012188	0.00000008	0.00002299
2:Del:R:5	0.00000008	0.00000003	0.00000002	0.00085176	0.00031624	0.00000013	0.00046978
3:Del:R:0	0.00000000	0.00087290	0.00000000	0.01718160	0.00065367	0.00000000	0.00123939
3:Del:R:1	0.00443766	0.00440285	0.00027591	0.00117731	0.00768420	0.00149853	0.00209633
3:Del:R:2	0.00000000	0.00073000	0.00056949	0.00155046	0.00226695	0.00000000	0.00117626
3:Del:R:3	0.00042428	0.00011397	0.00000113	0.00000000	0.00000015	0.00049064	0.00000003
3:Del:R:4	0.00000022	0.00000035	0.00000025	0.00000022	0.00000048	0.00000045	0.00000041
3:Del:R:5	0.00000022	0.00000035	0.00000025	0.00000022	0.00000048	0.00000045	0.00000041
4:Del:R:0	0.00000002	0.00006881	0.00031241	0.00736671	0.00091186	0.00000007	0.00289646
4:Del:R:1	0.00062348	0.00168027	0.00002626	0.00107954	0.00512484	0.00023078	0.00500703
4:Del:R:2	0.00000001	0.00000000	0.00023549	0.00017083	0.00006305	0.00108751	0.00149156
4:Del:R:3	0.00000022	0.00000035	0.00000025	0.00000022	0.00000048	0.00000045	0.00000041
4:Del:R:4	0.00000022	0.00000035	0.00000025	0.00000022	0.00000048	0.00000045	0.00000041
4:Del:R:5	0.00000008	0.00000006	0.00000010	0.00010281	0.00000037	0.00000018	0.00054334
5:Del:R:0	0.00000003	0.00000007	0.11755318	0.08481138	0.00125766	0.00000045	0.54204964
5:Del:R:1	0.00000000	0.00279879	0.00010535	0.00033240	0.00071144	0.00111045	0.00028654
5:Del:R:2	0.00000002	0.00032554	0.00003799	0.00030028	0.00028297	0.00000018	0.00065888
5:Del:R:3	0.00000011	0.00000018	0.00000023	0.00000011	0.00000025	0.00028527	0.00000050
5:Del:R:4	0.00000022	0.00000035	0.00000025	0.00000022	0.00000048	0.00000045	0.00000041
5:Del:R:5	0.00000022	0.00000035	0.00000025	0.00000022	0.00000048	0.00000045	0.00000041
2:Ins:R:0	0.00006346	0.00073490	0.00000000	0.00243372	0.00049583	0.00000000	0.00066308
2:Ins:R:1	0.00000000	0.00050358	0.00060807	0.00136235	0.00192732	0.00000001	0.00335255
2:Ins:R:2	0.00001891	0.00016013	0.00010065	0.00006645	0.00305895	0.00054946	0.00092904
2:Ins:R:3	0.00033110	0.00001358	0.00000000	0.00054161	0.00060766	0.00003080	0.00009150
2:Ins:R:4	0.00331069	0.00126766	0.00026650	0.00046557	0.00036605	0.00290781	0.00019844
2:Ins:R:5	0.02048986	0.01200679	0.00000000	0.00026490	0.00230114	0.00094022	0.00300733
3:Ins:R:0	0.00010727	0.00004699	0.00000002	0.00008517	0.00075769	0.00000001	0.00074272
3:Ins:R:1	0.00000000	0.00112643	0.00014420	0.00062871	0.00058122	0.00000000	0.00038282
3:Ins:R:2	0.00026571	0.00034635	0.00000000	0.00006341	0.00010102	0.00000000	0.00033683
3:Ins:R:3	0.00000010	0.00000003	0.00000006	0.00000026	0.00054060	0.00000039	0.00014524
3:Ins:R:4	0.00000005	0.00020306	0.00012630	0.00025049	0.00011154	0.00000001	0.00008919
3:Ins:R:5	0.00043526	0.00116547	0.00002667	0.00082690	0.00000000	0.00001282	0.00050843
4:Ins:R:0	0.00016335	0.00000000	0.00000003	0.00034791	0.00000001	0.00063301	0.00000004
4:Ins:R:1	0.00072391	0.00028965	0.00000000	0.00225601	0.00275489	0.00049830	0.00244027
4:Ins:R:2	0.00019808	0.00000019	0.00000007	0.00000007	0.00000015	0.00000017	0.00000012
4:Ins:R:3	0.00000022	0.00000035	0.00000025	0.00000022	0.00000048	0.00000045	0.00000041
4:Ins:R:4	0.00043326	0.00039297	0.00008575	0.00000001	0.00000002	0.00019392	0.00021868
4:Ins:R:5	0.00148151	0.00166158	0.00023631	0.00040065	0.00025386	0.00000000	0.00000000
5:Ins:R:0	0.00000019	0.00000012	0.00000014	0.00000005	0.00044092	0.00000024	0.00016136
5:Ins:R:1	0.00110115	0.00027048	0.00000000	0.01100154	0.00000000	0.00056751	0.00652377
5:Ins:R:2	0.00022409	0.00005813	0.00000011	0.00000008	0.00000020	0.00000014	0.00070973
5:Ins:R:3	0.00003855	0.00000002	0.00033227	0.00000003	0.00000043	0.00000002	0.00010239
