MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	2.99E-03	4.75E-04	3.21E-04	3.48E-02	1.36E-07	9.78E-03	4.98E-02	5.77E-02	3.28E-02	1.36E-02
1:Del:C:1	8.88E-04	2.51E-04	3.36E-08	3.15E-02	2.48E-08	4.22E-03	5.64E-03	3.75E-03	8.97E-03	3.65E-02
1:Del:C:2	1.08E-06	7.02E-09	3.30E-05	1.06E-03	4.09E-04	1.00E-03	9.89E-04	1.10E-03	1.27E-03	1.32E-03
1:Del:C:3	9.18E-06	5.81E-04	1.50E-04	2.05E-03	4.64E-04	2.02E-03	2.50E-03	2.75E-03	4.27E-03	5.36E-03
1:Del:C:4	2.81E-04	4.37E-04	1.60E-04	2.91E-03	9.89E-04	2.22E-04	3.65E-04	3.57E-03	1.46E-03	5.16E-03
1:Del:C:5	0.00E+00	1.14E-03	7.00E-04	5.94E-04	0.00E+00	9.58E-04	4.68E-08	7.83E-05	1.12E-02	9.96E-03
1:Del:T:0	0.00E+00	7.78E-04	1.04E-03	1.63E-02	3.70E-08	1.05E-02	1.49E-02	6.77E-02	4.11E-03	1.48E-02
1:Del:T:1	1.62E-04	4.03E-04	6.46E-05	5.89E-03	7.19E-09	2.55E-03	4.75E-03	7.20E-03	4.63E-03	1.09E-02
1:Del:T:2	8.89E-04	7.66E-04	1.01E-03	1.33E-02	4.77E-08	4.48E-04	2.22E-02	2.33E-02	1.66E-02	1.95E-02
1:Del:T:3	4.54E-04	3.07E-03	8.91E-04	1.44E-02	0.00E+00	5.50E-04	2.20E-02	1.46E-02	1.35E-02	3.46E-02
1:Del:T:4	5.52E-04	7.39E-03	2.06E-04	1.06E-02	0.00E+00	4.40E-07	8.28E-03	1.96E-02	3.45E-02	3.51E-02
1:Del:T:5	1.78E-08	1.40E-02	3.29E-08	2.91E-25	1.31E-03	1.47E-06	4.62E-02	1.28E-06	2.25E-03	6.43E-02
1:Ins:C:0	2.82E-04	3.11E-04	1.49E-04	7.97E-05	8.66E-03	6.16E-04	5.18E-03	5.98E-03	2.96E-03	1.14E-03
1:Ins:C:1	1.07E-07	2.22E-08	3.10E-08	8.78E-09	9.18E-08	4.76E-04	4.60E-04	3.07E-04	7.92E-04	7.52E-08
1:Ins:C:2	1.80E-04	2.62E-05	5.65E-05	7.45E-09	1.13E-07	3.19E-04	7.10E-04	7.22E-04	1.55E-03	5.93E-05
1:Ins:C:3	6.13E-05	4.93E-05	1.61E-04	1.42E-04	2.89E-08	4.73E-04	0.00E+00	3.09E-04	4.06E-04	2.80E-04
1:Ins:C:4	3.88E-05	1.98E-04	1.80E-04	0.00E+00	1.74E-04	2.95E-04	2.17E-03	1.69E-03	2.97E-03	1.79E-03
1:Ins:C:5	1.04E-03	1.13E-03	2.58E-03	0.00E+00	5.00E-05	0.00E+00	1.24E-03	0.00E+00	1.06E-02	2.76E-02
1:Ins:T:0	1.39E-04	1.82E-04	0.00E+00	2.39E-03	1.11E-08	1.15E-03	2.96E-03	4.52E-03	4.39E-03	2.11E-03
1:Ins:T:1	2.20E-09	9.99E-05	1.80E-04	1.40E-03	7.36E-08	7.00E-04	2.66E-03	2.14E-03	2.22E-03	2.81E-03
