Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V1	5.62E+00	4.90E-01	1.02E+00	2.52E+00	1.15E+01	9.23E+00	1.15E+01	6.04E+00	9.50E+00	2.00E+00	3.85E+00
V2	5.87E+00	1.23E+00	4.79E+00	1.26E+01	5.41E+00	1.15E+00	6.81E+00	7.41E+00	9.33E-01	7.06E+00	1.60E+01
V3	1.06E+01	3.33E+00	2.32E+00	3.21E+00	4.86E+00	8.65E+00	3.41E+00	1.25E+01	9.00E+00	3.00E-01	1.16E+00
V4	2.71E+00	2.83E+00	1.22E+00	2.45E+00	5.37E+00	5.79E+00	4.29E+00	4.09E+00	3.67E+00	5.02E+00	5.13E+00
V5	7.03E+00	2.76E+00	9.45E-01	1.20E+00	1.29E+00	1.31E+00	1.69E+00	6.77E+00	1.27E+00	2.72E+00	1.79E+00
V6	3.84E+00	0.00E+00	9.89E-01	1.51E+00	1.95E+00	1.13E+00	2.40E+00	4.09E+00	3.48E-01	9.07E-01	1.06E+00
V7	4.79E+00	9.33E-01	2.32E+00	2.37E+00	4.90E-01	1.02E+01	9.04E-01	4.09E+00	9.48E+00	2.30E+00	9.07E-01
V8	5.00E+00	3.07E-01	1.45E+00	4.71E-01	8.48E+00	2.77E+00	8.00E+00	5.30E+00	2.81E+00	1.30E+00	1.15E+00
V9	1.96E+01	2.38E+00	7.16E-01	2.82E+00	6.85E+00	7.02E-01	6.01E+00	2.07E+01	0.00E+00	1.62E+00	1.78E+00
V10	7.40E+00	1.81E+00	8.27E+00	1.57E+00	4.99E+00	3.12E+00	4.64E+00	1.18E+01	3.83E+00	3.00E-01	7.61E-01
V11	7.37E-01	1.99E+00	0.00E+00	0.00E+00	3.92E+00	5.21E-01	4.31E+00	1.34E+00	2.21E-01	1.13E+00	7.00E-01
V12	3.82E+00	1.48E+00	7.52E-01	1.28E+00	2.60E+00	4.62E+00	1.57E+00	5.92E+00	4.22E+00	5.26E-01	2.02E+00
V13	1.33E-01	2.18E+00	2.64E+00	1.07E+00	3.40E-01	4.82E-01	4.13E+00	1.19E+00	2.47E+00	3.03E+00	6.01E-01
V14	3.07E+00	1.36E+00	2.45E+00	2.25E+00	2.12E+00	1.88E+00	2.46E+00	4.99E+00	1.20E+00	2.17E+00	1.22E+00
V15	3.10E+00	3.24E+00	2.21E-01	1.14E+01	4.45E+00	1.29E+00	8.36E+00	5.75E+00	6.57E-01	8.61E+00	9.96E+00
V16	2.23E+00	1.50E+00	6.29E-01	6.76E+00	4.57E+00	2.48E+00	5.20E+00	5.21E+00	2.63E+00	8.85E+00	9.87E+00
V17	2.72E+00	2.76E+00	2.48E+00	4.33E-01	2.45E+00	2.90E+00	1.75E+00	5.05E+00	3.78E+00	2.25E+00	5.21E-01
V18	2.31E+01	3.29E+00	1.03E+00	5.41E+00	9.55E-01	2.59E+00	4.94E+00	2.46E+01	3.80E+00	6.66E+00	7.42E+00
V19	1.57E+01	1.12E+00	5.81E-01	7.18E-01	4.58E-01	5.28E+00	8.09E-01	1.71E+01	3.26E+00	3.06E-01	1.74E+00
V20	2.30E+00	4.96E-01	4.26E+00	0.00E+00	1.49E+01	5.12E-01	1.36E+01	3.98E+00	8.84E-01	0.00E+00	0.00E+00
V21	2.75E+01	1.38E+00	2.84E+00	2.79E+00	8.14E+00	0.00E+00	6.74E+00	2.51E+01	7.00E-01	3.53E+00	3.30E+00
V22	7.77E+00	5.39E+00	6.04E+00	5.64E+00	8.86E+00	1.01E+01	9.78E+00	1.33E+01	7.28E+00	6.02E+00	8.95E+00
V23	2.69E+00	3.41E+00	1.22E+00	1.21E+00	4.88E+00	2.17E+00	4.72E+00	4.17E+00	1.89E+00	4.49E+00	1.60E+00
V24	1.91E+01	1.40E+00	6.05E-01	3.95E+00	6.23E+00	2.17E+00	5.42E+00	1.84E+01	3.09E+00	5.48E+00	6.10E+00
V25	3.47E+00	2.07E+00	4.20E+00	1.50E+00	6.72E+00	1.29E+01	6.50E+00	5.54E+00	1.27E+01	9.94E-01	1.94E+00
V26	2.40E+00	2.53E+00	7.00E-01	4.23E-01	5.26E+00	2.23E+00	4.82E+00	2.96E+00	1.83E+00	2.40E+00	1.15E+00
V27	2.83E+00	1.56E+00	6.87E-01	2.81E+00	1.21E+01	2.17E+00	1.13E+01	2.59E+00	2.72E+00	9.89E-01	1.69E+00
V28	1.61E+01	4.48E-01	5.53E+00	3.96E-01	0.00E+00	3.53E+00	1.10E+00	1.61E+01	4.62E+00	0.00E+00	2.67E-01
V29	3.62E+00	2.39E+00	4.96E+00	1.01E+01	6.32E+00	4.61E+00	8.93E+00	6.82E+00	4.78E+00	1.69E+01	1.57E+01
V30	4.54E+00	1.05E+00	1.03E+00	6.07E+00	9.29E+00	5.70E+00	7.71E+00	6.13E+00	7.97E+00	3.49E+00	5.85E+00
V31	5.21E-01	5.00E+00	1.05E+00	5.54E-01	3.49E+00	0.00E+00	5.80E+00	1.33E+00	5.26E-01	3.42E-01	6.63E-01
V32	1.29E+00	1.84E+00	2.45E+00	6.63E-01	4.09E+00	9.21E-01	3.04E+00	2.30E+00	1.22E+00	1.12E+00	8.70E-01
V33	8.78E+00	2.98E+00	8.75E-01	1.35E+00	1.88E+00	3.24E+00	1.91E+00	1.05E+01	2.72E+00	5.49E+00	8.00E-01
