Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	67	0	11	65	12	58	24	10	0	45	0	0	11	21
V2	40	6	46	37	134	14	0	0	17	0	0	38	54	0
V3	87	88	75	36	10	15	90	10	0	55	0	1	4	0
V4	16	19	46	34	1	24	11	27	9	17	0	15	11	9
V5	49	105	7	4	2	9	5	0	10	0	22	0	15	0
V6	36	0	93	10	2	29	3	0	16	0	0	3	4	0
V7	14	7	21	1	8	0	56	0	10	49	0	0	2	46
V8	61	0	17	63	0	7	13	3	10	12	0	6	4	0
V9	187	27	4	41	14	73	0	2	0	0	16	3	1	0
V10	38	24	63	31	6	133	9	0	24	13	0	0	0	19
V11	2	41	0	24	0	31	0	0	0	0	11	0	0	0
V12	37	51	1	11	7	21	20	0	14	22	0	1	12	13
V13	0	37	30	0	0	3	0	0	0	0	17	7	3	18
V14	22	0	107	8	6	11	14	14	0	0	20	0	1	0
V15	69	25	0	28	26	25	0	32	12	0	8	44	23	0
V16	15	13	2	29	21	27	37	40	1	11	0	31	3	0
V17	16	18	27	15	1	0	5	0	0	23	9	4	3	10
V18	156	75	25	2	9	5	7	36	66	22	14	23	4	0
V19	102	14	0	1	3	2	51	2	28	11	0	0	15	10
V20	0	0	32	88	0	83	0	0	15	0	0	0	0	0
V21	228	10	20	51	5	18	0	22	48	0	3	8	0	0
V22	74	141	36	68	44	37	84	53	10	17	93	0	0	71
V23	24	54	44	38	4	45	0	0	0	13	56	9	9	0
V24	165	7	2	43	47	20	0	0	35	16	26	35	16	0
V25	10	22	41	55	3	66	32	6	1	77	0	0	12	0
V26	3	58	1	28	0	30	4	0	15	0	0	5	2	9
V27	6	5	0	76	9	104	0	0	10	12	0	0	2	8
V28	198	1	134	0	0	0	2	2	13	32	0	1	0	2
V29	13	31	128	38	14	6	10	52	0	28	0	121	17	28
V30	42	6	1	51	22	23	101	0	0	30	0	7	31	33
V31	2	49	8	20	3	7	0	0	0	0	0	2	4	0
V32	3	39	26	22	0	36	0	0	0	0	4	3	0	15
V33	66	59	0	13	4	11	13	0	29	0	1	24	0	15
V34	11	38	46	2	0	0	2	18	0	6	0	14	2	2
V35	41	19	0	67	1	35	24	0	0	0	4	0	9	0
V36	70	0	47	3	14	1	0	13	12	0	28	24	6	0
V37	169	484	5	4	0	1	13	2	12	24	104	12	8	0
V38	125	16	1	0	10	1	4	9	18	1	0	0	10	0
V39	17	0	8	21	10	4	3	71	12	6	11	19	5	0
V40	1	0	18	59	19	180	3	8	0	2	0	0	0	0
V41	45	0	154	3	110	8	8	94	19	0	9	19	18	28
V42	0	13	155	18	4	1	3	7	0	1	19	0	10	0
V43	55	35	31	9	53	7	10	28	19	10	8	0	111	0
V44	103	26	0	0	5	0	30	0	49	10	0	0	4	6
V45	0	18	203	28	2	54	0	0	0	0	9	8	1	0
V46	12	202	39	53	0	0	10	0	0	10	44	15	6	0
V47	20	79	68	6	18	28	20	10	0	36	53	22	9	27
V48	0	15	106	15	56	6	0	23	9	6	54	4	9	0
V49	22	154	43	7	6	17	28	5	0	2	43	6	15	0
V50	13	10	16	0	0	12	4	1	7	2	4	1	3	4
V51	171	226	15	0	14	12	80	12	47	74	181	42	0	0
V52	161	0	128	6	9	1	13	10	32	11	7	10	5	67
V53	239	0	1	27	0	55	56	10	30	0	7	4	0	0
V54	134	0	32	1	44	2	37	11	44	16	5	6	31	0
V55	94	5	46	0	16	6	9	23	10	0	0	18	7	0
V56	4	53	6	19	0	7	4	0	0	4	21	8	0	0
V57	134	193	119	4	14	2	17	10	76	8	0	1	0	31
V58	300	0	72	6	0	0	48	20	0	0	1	0	9	1
V59	12	6	83	24	58	36	10	5	0	0	0	0	35	12
V60	38	52	111	0	1	0	0	0	9	0	9	0	0	21
V61	255	66	10	14	107	11	5	201	13	12	60	0	0	0
V62	3	0	58	0	0	5	3	21	0	2	1	2	8	0
V63	8	37	18	48	25	61	99	3	5	19	0	12	33	0
V64	7	0	1	9	0	12	25	0	0	18	0	0	1	13
V65	31	29	70	10	15	0	10	19	6	15	0	3	15	7
V66	63	2	0	13	10	22	47	9	25	145	1	0	23	12
V67	7	39	121	10	18	3	18	42	6	0	0	43	30	13
V68	0	1	3	117	0	18	0	0	0	0	0	0	0	0
V69	5	7	15	4	0	2	10	0	0	0	0	0	8	0
V70	430	40	46	86	0	0	0	0	48	0	7	0	0	0
V71	44	41	0	22	4	46	6	14	26	0	4	0	4	0
V72	13	257	149	0	0	0	0	0	0	0	18	32	0	0
V73	24	99	6	68	90	5	0	4	0	0	0	57	48	0
V74	3	4	71	40	0	12	1	0	3	0	5	0	0	0
V75	19	0	103	0	61	0	0	97	19	4	0	60	21	25
V76	95	8	32	19	109	15	5	0	5	4	0	13	0	4
V77	13	28	2	11	29	24	14	0	9	0	17	11	0	0
V78	63	55	16	11	2	32	0	0	8	0	0	0	0	2
V79	58	61	19	43	0	20	41	35	11	32	0	18	11	17
V80	84	23	122	2	13	0	0	19	1	0	7	10	0	24
V81	37	1	31	12	148	16	47	51	14	21	0	36	4	0
V82	106	60	6	10	30	5	18	0	32	32	18	8	3	0
V83	21	0	2	3	0	5	4	0	3	10	0	0	8	6
V84	19	191	0	1	55	0	43	16	0	23	9	16	17	4
V85	309	19	51	20	52	25	0	21	19	24	36	3	16	0
V86	66	0	35	18	26	16	0	48	29	0	6	11	43	0
V87	182	68	64	7	64	9	4	13	0	6	10	21	8	17
V88	69	0	1	16	10	4	0	14	0	0	0	3	6	0
V89	32	78	17	5	5	0	0	0	9	0	26	3	17	0
V90	172	0	18	10	0	35	0	0	14	0	0	1	0	0
V91	13	109	111	0	10	7	37	15	1	13	1	0	12	22
V92	145	15	10	4	21	0	120	8	30	34	4	8	18	0
V93	18	27	63	16	39	0	0	1	1	0	0	29	2	0
V94	17	18	2	0	8	0	1	3	0	0	0	15	4	10
V95	2	144	2	0	26	2	0	68	0	0	0	50	26	0
V96	4	0	107	30	48	30	3	0	3	15	5	43	6	17
V97	11	13	1	1	14	2	7	4	15	15	0	0	7	10
V98	178	37	49	0	1	0	4	0	26	9	15	12	7	20
V99	25	0	25	22	45	23	0	7	8	0	6	2	0	0
V100	278	3	1	19	10	13	25	4	120	25	0	0	7	0
