MutationType	ID83A	ID83B	ID83C
1:Del:C:0	3.48E-03	1.97E-02	1.59E-02
1:Del:C:1	1.53E-03	5.90E-03	4.73E-03
1:Del:C:2	2.10E-04	3.98E-04	1.51E-04
1:Del:C:3	2.72E-04	7.97E-04	4.91E-04
1:Del:C:4	1.94E-04	9.31E-04	7.59E-04
1:Del:C:5	1.10E-04	2.45E-04	5.69E-04
1:Del:T:0	1.46E-03	4.36E-03	3.93E-03
1:Del:T:1	7.58E-04	2.03E-03	1.79E-03
1:Del:T:2	7.11E-04	5.65E-03	4.54E-03
1:Del:T:3	9.46E-04	6.88E-03	4.64E-03
1:Del:T:4	8.26E-04	4.52E-03	2.41E-03
1:Del:T:5	1.11E-03	1.95E-03	4.93E-02
1:Ins:C:0	9.15E-04	5.19E-03	2.41E-03
1:Ins:C:1	8.21E-05	1.22E-04	1.76E-05
1:Ins:C:2	1.11E-04	1.88E-04	7.80E-06
1:Ins:C:3	6.52E-05	4.80E-05	7.97E-05
1:Ins:C:4	8.54E-05	1.55E-04	2.42E-04
1:Ins:C:5	1.70E-04	1.74E-03	1.27E-03
1:Ins:T:0	3.67E-04	7.97E-04	5.88E-04
1:Ins:T:1	2.81E-04	3.60E-04	2.03E-04
1:Ins:T:2	1.84E-04	1.22E-04	1.68E-04
1:Ins:T:3	1.30E-04	3.56E-04	3.36E-04
1:Ins:T:4	0.00E+00	1.43E-03	9.52E-04
1:Ins:T:5	5.38E-04	5.98E-02	4.99E-02
2:Del:R:0	4.12E-04	9.24E-04	6.55E-04
2:Del:R:1	3.15E-04	7.39E-04	5.41E-04
2:Del:R:2	9.62E-05	1.13E-04	1.79E-04
2:Del:R:3	3.53E-08	7.27E-05	1.73E-04
2:Del:R:4	2.49E-05	4.16E-08	8.86E-05
2:Del:R:5	5.69E-05	6.27E-08	4.65E-05
3:Del:R:0	5.11E-04	9.78E-04	3.04E-04
3:Del:R:1	1.37E-04	3.84E-04	2.74E-04
3:Del:R:2	5.14E-05	1.15E-04	2.01E-04
3:Del:R:3	2.43E-05	9.78E-05	8.14E-05
3:Del:R:4	6.05E-09	2.15E-08	1.53E-08
3:Del:R:5	6.05E-09	2.15E-08	1.53E-08
4:Del:R:0	3.05E-04	8.48E-04	2.04E-04
4:Del:R:1	8.79E-05	2.20E-04	2.18E-04
4:Del:R:2	7.07E-05	4.12E-05	9.49E-06
4:Del:R:3	1.61E-04	9.38E-04	3.33E-04
4:Del:R:4	6.05E-09	2.15E-08	1.53E-08
4:Del:R:5	7.51E-05	7.12E-09	9.37E-05
5:Del:R:0	4.77E-03	1.53E-02	5.37E-03
5:Del:R:1	6.99E-05	1.14E-04	2.45E-04
5:Del:R:2	3.31E-05	6.92E-05	1.45E-04
5:Del:R:3	3.78E-08	3.05E-05	4.27E-05
5:Del:R:4	6.05E-09	2.15E-08	1.53E-08
5:Del:R:5	2.58E-08	2.94E-05	6.05E-05
2:Ins:R:0	1.76E-04	1.59E-04	1.10E-04
2:Ins:R:1	1.78E-04	8.41E-04	2.22E-04
2:Ins:R:2	5.99E-05	2.32E-05	2.30E-04
2:Ins:R:3	7.22E-05	6.76E-05	4.83E-05
2:Ins:R:4	3.84E-05	2.22E-04	2.03E-04
2:Ins:R:5	2.70E-04	7.87E-04	6.46E-04
3:Ins:R:0	6.95E-05	1.55E-05	3.34E-08
3:Ins:R:1	8.22E-05	1.41E-04	7.61E-05
3:Ins:R:2	2.99E-08	5.98E-08	2.71E-05
3:Ins:R:3	6.31E-05	1.86E-04	7.35E-05
3:Ins:R:4	3.19E-03	2.13E-02	1.07E-02
3:Ins:R:5	9.77E-05	4.68E-05	1.56E-04
4:Ins:R:0	1.26E-04	1.18E-04	7.09E-05
4:Ins:R:1	1.72E-04	1.08E-04	1.40E-04
4:Ins:R:2	4.87E-05	3.96E-08	2.33E-08
4:Ins:R:3	3.45E-08	2.65E-05	3.30E-05
4:Ins:R:4	2.61E-05	3.79E-05	1.15E-04
4:Ins:R:5	1.28E-04	5.99E-05	1.63E-04
5:Ins:R:0	2.21E-08	8.86E-05	3.08E-05
5:Ins:R:1	4.16E-03	2.72E-02	1.31E-02
5:Ins:R:2	3.74E-08	3.39E-05	2.56E-05
5:Ins:R:3	1.01E-08	1.98E-05	4.90E-05
5:Ins:R:4	3.47E-05	7.43E-05	4.10E-05
5:Ins:R:5	4.15E-05	1.96E-05	4.97E-05
2:Del:M:1	1.91E-04	3.51E-04	1.57E-04
3:Del:M:1	3.31E-04	6.75E-04	3.28E-04
3:Del:M:2	1.52E-04	2.48E-04	3.18E-04
4:Del:M:1	4.22E-04	1.36E-03	4.00E-04
4:Del:M:2	1.33E-04	1.89E-04	1.65E-04
4:Del:M:3	1.22E-04	1.58E-04	1.23E-04
5:Del:M:1	2.22E-02	3.60E-04	5.16E-03
5:Del:M:2	3.31E-03	7.93E-03	2.01E-03
5:Del:M:3	1.40E-03	3.63E-03	1.09E-03
5:Del:M:4	5.11E-04	1.17E-03	4.31E-04
5:Del:M:5	1.22E-03	3.78E-04	4.56E-04
