Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
V1	53	3	18	0	14	26	109	0	0	28	7	0	2	0	1	0
V2	19	6	8	10	0	2	2	0	0	9	1	2	0	0	4	5
V3	1	14	54	2	6	2	0	18	4	9	15	4	13	6	0	0
V4	0	12	1	49	55	129	8	41	32	0	0	21	0	24	14	0
V5	123	37	0	31	47	3	2	62	9	0	0	35	73	11	39	0
V6	89	0	27	0	5	5	0	0	6	19	8	1	11	15	0	9
V7	54	29	347	15	8	14	24	39	3	55	59	0	2	0	0	1
V8	20	52	110	8	7	14	27	14	2	47	15	4	7	0	14	0
V9	216	40	12	16	75	30	48	18	75	16	5	2	4	0	0	0
V10	7	26	24	16	13	16	18	3	0	38	6	12	7	22	11	0
V11	50	0	50	0	0	6	0	0	0	26	28	1	11	0	0	6
V12	4	81	23	41	0	33	16	0	0	57	6	17	0	2	16	16
V13	4	11	12	53	4	14	76	0	2	0	4	23	4	0	0	0
V14	0	0	4	78	33	16	19	213	2	0	0	55	0	17	12	0
V15	102	0	28	1	2	0	0	0	7	0	12	1	2	6	0	18
V16	205	0	0	4	20	1	0	4	23	0	1	0	2	38	0	0
V17	0	0	59	0	31	0	0	0	16	0	26	0	26	0	0	0
V18	0	15	63	4	87	8	2	0	16	2	37	0	0	0	0	0
V19	9	2	60	3	22	13	22	0	21	23	4	0	1	0	9	0
V20	0	14	28	185	33	2	0	102	60	0	8	6	0	0	0	0
V21	38	175	12	31	0	8	10	13	0	0	1	38	1	39	0	0
V22	1	60	1	4	0	1	5	0	0	0	1	3	0	7	0	0
V23	177	136	1	24	13	15	30	15	4	18	0	6	7	0	0	0
V24	26	18	41	20	1	47	34	0	5	25	4	0	5	2	13	7
V25	22	0	98	1	3	0	0	0	0	0	11	0	0	0	0	3
V26	227	0	7	48	8	14	20	62	19	1	3	9	8	2	16	39
V27	11	1	48	0	38	0	0	0	26	0	25	0	20	0	0	0
V28	12	92	137	50	87	0	0	11	4	0	76	17	0	0	0	0
V29	4	9	0	1	7	0	0	1	1	0	0	0	3	1	0	1
V30	0	54	8	0	79	0	0	0	66	0	2	2	32	0	0	0
V31	9	0	1	51	7	8	18	113	9	3	5	46	0	4	10	0
