MutationType	ID83A	ID83B
1:Del:C:0	1.07E-02	1.42E-02
1:Del:C:1	3.27E-03	4.38E-03
1:Del:C:2	1.70E-04	1.92E-04
1:Del:C:3	4.99E-04	7.07E-04
1:Del:C:4	2.01E-04	4.47E-04
1:Del:C:5	2.85E-04	2.71E-04
1:Del:T:0	4.06E-03	5.66E-03
1:Del:T:1	1.34E-03	1.78E-03
1:Del:T:2	2.87E-03	4.05E-03
1:Del:T:3	3.41E-03	4.39E-03
1:Del:T:4	2.32E-03	3.66E-03
1:Del:T:5	1.41E-02	3.59E-03
1:Ins:C:0	1.07E-04	1.22E-04
1:Ins:C:1	1.22E-03	2.96E-03
1:Ins:C:2	1.30E-04	1.43E-04
1:Ins:C:3	1.74E-04	5.32E-04
1:Ins:C:4	2.25E-04	1.81E-04
1:Ins:C:5	1.05E-03	9.52E-04
1:Ins:T:0	4.51E-04	5.27E-04
1:Ins:T:1	3.59E-04	4.14E-04
1:Ins:T:2	7.03E-05	1.36E-04
1:Ins:T:3	2.76E-04	1.41E-04
1:Ins:T:4	5.17E-04	5.05E-04
1:Ins:T:5	3.79E-02	3.63E-02
2:Del:R:0	4.29E-04	8.55E-03
2:Del:R:1	3.05E-04	4.57E-04
2:Del:R:2	1.10E-04	8.75E-05
2:Del:R:3	9.06E-05	7.07E-05
2:Del:R:4	6.79E-05	1.37E-04
2:Del:R:5	5.16E-05	3.15E-05
3:Del:R:0	2.65E-04	4.24E-04
3:Del:R:1	2.80E-04	3.45E-04
3:Del:R:2	8.49E-04	3.20E-03
3:Del:R:3	4.40E-08	5.22E-05
3:Del:R:4	1.37E-05	7.46E-06
3:Del:R:5	2.31E-05	2.22E-05
4:Del:R:0	1.87E-04	2.58E-04
4:Del:R:1	1.23E-04	1.55E-04
4:Del:R:2	6.16E-05	5.12E-05
4:Del:R:3	5.41E-09	1.59E-08
4:Del:R:4	4.35E-08	3.77E-05
4:Del:R:5	5.41E-09	1.59E-08
5:Del:R:0	5.22E-03	7.28E-03
5:Del:R:1	1.17E-04	5.00E-05
5:Del:R:2	4.58E-05	6.60E-05
5:Del:R:3	5.41E-09	1.59E-08
5:Del:R:4	5.41E-09	1.59E-08
5:Del:R:5	4.71E-08	1.99E-05
2:Ins:R:0	2.79E-04	4.07E-04
2:Ins:R:1	2.01E-04	2.60E-04
2:Ins:R:2	5.34E-05	7.78E-05
2:Ins:R:3	5.96E-05	6.54E-05
2:Ins:R:4	1.10E-04	1.37E-04
2:Ins:R:5	8.33E-04	7.69E-04
3:Ins:R:0	6.23E-05	7.33E-05
3:Ins:R:1	5.15E-05	2.26E-05
3:Ins:R:2	2.26E-05	1.53E-05
3:Ins:R:3	1.32E-05	7.28E-08
3:Ins:R:4	2.05E-04	9.57E-04
3:Ins:R:5	1.12E-04	1.00E-04
4:Ins:R:0	1.09E-05	1.26E-04
4:Ins:R:1	1.10E-04	8.63E-05
4:Ins:R:2	2.42E-04	1.24E-03
4:Ins:R:3	2.24E-05	6.20E-08
4:Ins:R:4	3.10E-05	7.51E-05
4:Ins:R:5	7.42E-05	1.10E-04
5:Ins:R:0	3.42E-05	5.95E-05
5:Ins:R:1	2.16E-04	2.98E-04
5:Ins:R:2	3.99E-08	3.58E-05
5:Ins:R:3	3.01E-05	1.97E-08
5:Ins:R:4	1.54E-03	7.51E-03
5:Ins:R:5	2.16E-05	4.07E-05
2:Del:M:1	2.32E-04	2.84E-04
3:Del:M:1	7.08E-05	3.71E-02
3:Del:M:2	1.68E-04	1.83E-04
4:Del:M:1	1.71E-04	1.92E-04
4:Del:M:2	7.26E-05	1.62E-04
4:Del:M:3	1.24E-04	1.54E-04
5:Del:M:1	6.29E-03	8.29E-03
5:Del:M:2	2.04E-03	2.77E-03
5:Del:M:3	7.67E-04	1.30E-03
5:Del:M:4	4.92E-04	5.81E-04
5:Del:M:5	3.99E-04	4.60E-04
