Samples	ID1	ID2	ID8	ID9	ID83B	ID83F
V1	69	0	192	0	0	0
V2	23	9	13	13	10	0
V3	0	29	0	0	119	0
V4	0	0	191	105	0	90
V5	179	67	0	127	0	99
V6	145	0	0	0	50	0
V7	88	0	0	0	562	0
V8	29	69	94	0	149	0
V9	245	49	115	0	0	148
V10	13	38	78	36	33	21
V11	66	0	33	0	79	0
V12	16	99	110	58	29	0
V13	0	0	112	95	0	0
V14	0	0	0	387	0	62
V15	136	0	0	0	43	0
V16	251	0	0	0	0	47
V17	0	0	0	0	93	65
V18	0	0	0	0	98	136
V19	0	0	66	0	80	43
V20	0	0	0	356	0	82
V21	49	227	0	90	0	0
V22	0	83	0	0	0	0
V23	205	165	76	0	0	0
V24	36	28	131	0	53	0
V25	23	0	0	0	115	0
V26	335	0	0	148	0	0
V27	19	0	0	0	75	75
V28	0	102	0	85	186	113
V29	6	11	0	0	0	11
V30	0	72	0	0	0	171
V31	31	0	47	206	0	0
V32	42	0	0	0	50	0
V33	0	101	33	0	27	0
V34	0	0	76	0	148	0
V35	13	12	0	0	75	16
V36	0	0	59	0	61	112
V37	0	115	0	0	0	116
V38	0	10	0	32	22	37
V39	30	136	0	0	69	0
V40	0	0	308	0	0	0
V41	0	33	36	87	27	0
V42	261	0	75	0	116	129
V43	19	70	0	0	0	72
V44	0	255	0	0	0	0
V45	29	0	49	0	14	15
V46	0	80	0	38	41	0
V47	7	8	11	20	22	0
V48	0	76	169	103	0	0
V49	0	19	0	0	144	40
V50	0	0	0	0	193	0
V51	0	36	54	0	103	0
V52	23	170	0	0	0	36
V53	221	0	0	0	0	53
V54	0	442	0	0	0	0
V55	23	38	0	15	21	0
V56	30	75	82	0	23	0
V57	0	119	84	0	0	45
V58	28	0	216	0	0	0
V59	0	0	104	39	0	26
V60	0	75	0	0	0	0
V61	0	60	0	0	296	80
V62	0	230	0	0	137	0
V63	161	0	115	63	169	0
V64	24	34	46	0	0	0
V65	0	0	0	100	132	0
V66	0	0	42	0	105	0
V67	7	0	0	5	8	4
V68	141	257	58	0	40	0
V69	49	0	38	41	0	78
V70	0	0	0	0	143	0
V71	0	0	0	0	149	188
V72	103	0	58	0	29	0
V73	0	25	0	0	24	106
V74	0	0	39	91	16	57
V75	49	38	0	217	0	0
V76	204	165	0	0	0	0
V77	102	0	0	0	0	0
V78	0	0	149	53	0	53
V79	0	23	0	0	56	103
V80	199	0	156	0	85	0
V81	0	47	0	264	0	0
V82	28	19	44	0	0	0
V83	869	375	215	0	0	0
V84	52	0	0	0	0	37
V85	37	0	0	43	44	0
V86	37	0	85	0	112	0
V87	0	26	0	199	0	49
V88	26	27	0	140	112	143
V89	0	174	0	156	0	0
V90	265	0	242	121	134	0
V91	19	0	99	40	0	126
V92	136	0	0	87	37	0
V93	0	47	176	0	26	0
V94	91	56	133	0	58	0
V95	0	125	0	97	0	0
V96	276	0	142	0	0	0
V97	94	20	0	0	0	30
V98	90	112	0	93	57	0
V99	0	130	227	0	49	0
V100	0	7	21	0	6	33
