Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V1	1.94E+00	3.54E+00	3.55E+00	9.03E+00	3.96E+00	7.52E-01	6.87E-01	3.47E+00	0.00E+00	4.67E-01	0.00E+00	4.65E+00
V2	9.34E-01	2.58E-01	1.90E+00	4.47E-01	1.53E+00	1.47E+00	2.32E+00	1.70E+00	2.27E+00	1.44E+00	1.40E+00	7.67E-01
V3	7.18E-01	0.00E+00	1.78E+00	9.94E-01	4.85E+00	1.72E+00	1.92E+00	2.22E+00	3.18E+00	2.76E+00	4.09E+00	4.67E-01
V4	1.21E+00	9.00E-01	5.18E+00	1.57E+00	2.68E+00	8.60E+00	5.43E+00	3.92E+00	5.33E+00	1.61E+00	3.45E+00	1.16E+00
V5	3.06E-01	2.09E+01	6.65E+00	6.37E-01	1.06E+01	6.36E-01	1.00E-01	6.17E+00	1.02E+01	5.76E+00	6.65E+00	2.57E+01
V6	1.20E+00	2.21E-01	5.15E+00	1.07E+01	3.36E+00	0.00E+00	7.06E-01	6.20E+00	1.05E+00	0.00E+00	6.53E-01	8.78E+00
V7	2.26E+00	6.00E-01	0.00E+00	1.22E+01	4.29E+00	3.08E+00	1.10E+01	7.34E+00	9.84E+00	7.16E-01	1.62E+00	7.15E+00
V8	5.54E+00	0.00E+00	2.05E+00	1.49E+00	2.02E+00	0.00E+00	1.94E+00	2.79E+00	5.15E+00	2.67E+00	1.35E+00	3.77E+00
V9	1.76E+00	6.82E+00	2.89E+00	1.51E+00	1.28E+00	3.71E+00	4.74E+00	2.30E+00	4.93E+00	1.67E+00	1.38E+00	6.90E+00
V10	2.66E+00	1.11E+01	2.48E+01	2.24E+01	1.47E+01	5.02E+00	5.60E+00	2.52E+01	3.17E+00	8.50E+00	3.60E+00	1.25E+01
V11	5.84E+00	1.28E+00	3.48E-01	3.16E+00	1.00E-01	2.54E+00	2.08E+00	2.58E+00	4.15E+00	1.03E+00	9.98E-01	7.06E-01
V12	7.09E+00	1.98E+00	1.10E+01	0.00E+00	2.78E+00	2.53E+00	1.48E+00	1.16E+01	4.67E+00	2.53E+00	4.44E+00	5.10E+00
V13	2.37E+00	2.50E+00	0.00E+00	9.64E-01	8.79E-01	1.78E+00	2.28E+00	6.00E-01	2.20E+00	6.05E-01	1.07E+00	3.00E+00
V14	1.04E+00	3.12E+00	5.58E-01	1.00E-01	3.73E+00	2.49E+00	2.55E+00	1.09E+00	3.53E+00	6.05E+00	5.58E+00	4.98E+00
V15	5.93E-01	4.23E+00	4.77E+00	1.52E+00	2.13E-01	3.35E-01	0.00E+00	4.00E+00	3.00E-01	5.67E-01	0.00E+00	3.08E+00
V16	7.67E-01	2.94E+00	6.15E-01	1.15E+00	1.37E+00	7.25E+00	7.11E+00	1.53E+00	4.87E+00	1.78E+00	1.94E+00	2.84E+00
V17	0.00E+00	1.11E+00	1.88E+01	1.58E+00	1.26E+00	6.16E-01	0.00E+00	1.97E+01	4.99E-01	0.00E+00	2.00E-01	1.91E+00
V18	1.36E+00	2.49E-01	7.98E+00	1.61E+00	3.25E+00	1.17E+00	1.29E+00	7.92E+00	1.49E+00	3.38E+00	3.92E+00	1.56E+00
