MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
1:Del:C:0	0.00E+00	2.54E-04	6.87E-03	5.05E-02	4.36E-02	3.41E-02	2.95E-46	5.29E-03	2.57E-02	4.55E-03	1.80E-03	2.70E-02	5.02E-02	2.21E-02	4.89E-03
1:Del:C:1	1.04E-03	0.00E+00	3.86E-03	2.18E-02	3.41E-03	0.00E+00	6.55E-03	1.46E-02	2.69E-02	8.85E-03	2.56E-03	1.68E-03	4.26E-02	1.54E-02	4.95E-02
1:Del:C:2	1.90E-08	2.37E-07	2.96E-07	2.27E-05	9.20E-02	5.40E-02	2.83E-06	3.83E-07	5.85E-08	8.73E-08	3.78E-07	2.51E-02	2.37E-02	1.14E-07	1.64E-06
1:Del:C:3	4.34E-04	2.80E-06	2.28E-05	1.64E-03	1.07E-03	1.41E-03	2.20E-03	1.24E-03	5.18E-03	1.63E-03	2.96E-03	3.16E-03	1.04E-02	6.72E-03	6.15E-03
1:Del:C:4	3.43E-04	2.49E-03	9.10E-04	2.14E-46	2.89E-06	6.91E-02	1.18E-03	1.12E-07	4.47E-03	8.61E-08	5.09E-05	2.84E-03	2.38E-02	1.03E-02	1.36E-02
1:Del:C:5	7.22E-04	1.21E-03	5.77E-04	5.64E-05	1.13E-03	1.16E-08	5.25E-04	0.00E+00	0.00E+00	5.93E-04	1.15E-03	4.03E-03	0.00E+00	8.26E-03	1.46E-02
1:Del:T:0	8.74E-06	8.01E-08	7.41E-08	3.24E-03	8.89E-04	9.94E-04	2.46E-03	1.62E-02	2.45E-02	4.81E-03	1.43E-03	1.04E-02	8.02E-02	4.92E-03	1.72E-02
1:Del:T:1	5.18E-04	2.90E-04	3.49E-04	5.22E-03	7.31E-04	7.80E-04	1.22E-03	3.39E-02	1.27E-02	3.54E-03	3.51E-04	6.52E-03	9.46E-03	7.80E-03	1.94E-03
1:Del:T:2	5.85E-04	1.09E-03	4.10E-03	1.08E-02	1.58E-03	3.56E-04	9.26E-04	5.93E-06	2.58E-02	8.10E-04	9.72E-05	1.40E-46	1.47E-02	2.03E-02	3.27E-02
1:Del:T:3	2.28E-03	4.35E-03	5.27E-03	1.20E-02	4.44E-03	0.00E+00	2.33E-03	2.17E-02	4.06E-02	0.00E+00	1.40E-46	1.30E-02	2.48E-02	7.61E-03	1.39E-02
1:Del:T:4	8.60E-04	7.09E-03	3.49E-03	4.06E-03	2.36E-06	8.84E-04	0.00E+00	1.02E-06	2.63E-02	1.48E-07	0.00E+00	2.96E-03	1.45E-07	8.26E-02	8.65E-03
1:Del:T:5	7.07E-08	1.66E-02	9.64E-04	1.24E-07	9.08E-02	2.07E-08	4.65E-07	1.14E-06	9.53E-07	1.86E-06	8.00E-07	1.28E-07	8.86E-07	1.40E-02	1.12E-01
1:Ins:C:0	7.33E-08	4.36E-07	1.60E-05	1.08E-07	4.15E-07	1.73E-08	1.21E-03	1.19E-03	1.72E-08	8.16E-04	1.93E-08	1.71E-04	1.02E-03	3.63E-04	7.76E-04
1:Ins:C:1	5.81E-05	3.01E-08	9.97E-09	6.31E-08	5.03E-04	8.26E-05	7.12E-08	5.68E-04	9.14E-08	2.23E-07	1.02E-07	8.58E-04	1.46E-04	1.06E-03	6.36E-04
1:Ins:C:2	7.88E-08	2.75E-07	4.08E-08	1.76E-08	5.02E-08	4.56E-05	1.70E-04	6.12E-04	1.83E-05	2.12E-04	1.20E-07	1.47E-03	3.66E-04	9.93E-08	6.56E-05
1:Ins:C:3	2.61E-04	8.16E-08	2.94E-08	5.21E-08	2.54E-03	1.27E-07	2.18E-08	2.69E-08	9.66E-08	9.22E-08	4.82E-08	5.88E-04	6.26E-08	1.15E-07	8.71E-04
1:Ins:C:4	5.30E-04	8.70E-04	2.93E-04	2.44E-08	7.38E-04	2.25E-08	1.95E-04	1.21E-04	0.00E+00	0.00E+00	1.33E-03	2.32E-03	1.29E-08	3.09E-04	3.25E-03
