Samples	ID83A	ID83B
V1	2.59E+01	2.59E+01
V2	3.62E+00	3.62E+00
V3	8.27E+00	8.27E+00
V4	4.16E+01	4.16E+01
V5	3.81E+01	3.81E+01
V6	1.79E+01	1.79E+01
V7	3.65E+01	3.65E+01
V8	2.03E+00	2.03E+00
V9	8.89E+00	8.89E+00
V10	5.78E+01	5.78E+01
V11	4.86E+00	4.86E+00
V12	1.37E+01	1.37E+01
V13	3.88E+00	3.88E+00
V14	8.45E+00	8.45E+00
V15	1.40E+01	1.40E+01
V16	2.66E+01	2.66E+01
V17	2.46E+01	2.46E+01
V18	9.48E+00	9.48E+00
V19	9.27E+00	9.27E+00
V20	1.26E+01	1.26E+01
V21	1.16E+01	1.16E+01
V22	4.53E+01	4.53E+01
V23	2.58E+01	2.58E+01
V24	4.85E+01	4.85E+01
V25	3.95E+01	3.95E+01
V26	1.31E+01	1.32E+01
V27	2.91E+01	2.91E+01
V28	2.08E+01	2.08E+01
V29	0.00E+00	0.00E+00
V30	2.37E+00	2.37E+00
V31	9.09E+00	9.09E+00
V32	8.83E+00	8.83E+00
V33	5.81E+00	5.81E+00
V34	4.00E+01	4.00E+01
V35	1.62E+01	1.63E+01
V36	6.72E+01	6.72E+01
V37	1.84E+01	1.84E+01
V38	1.20E+01	1.19E+01
V39	1.03E+01	1.03E+01
V40	1.88E+01	1.88E+01
V41	1.00E+01	1.00E+01
V42	3.94E+01	3.94E+01
V43	7.99E+01	7.99E+01
V44	1.52E+01	1.52E+01
V45	4.18E+01	4.18E+01
V46	7.67E+01	7.67E+01
V47	3.46E+00	3.46E+00
V48	2.16E+01	2.16E+01
V49	7.25E+00	7.25E+00
V50	3.32E+01	3.32E+01
V51	5.49E+01	5.49E+01
V52	2.42E+01	2.42E+01
V53	3.00E+01	3.00E+01
V54	5.12E+01	5.12E+01
V55	1.92E+01	1.92E+01
V56	1.36E+01	1.36E+01
V57	9.99E+00	9.99E+00
V58	8.77E+00	8.77E+00
V59	2.86E+01	2.86E+01
V60	9.57E+00	9.57E+00
V61	6.88E+00	6.88E+00
V62	3.92E+01	3.92E+01
V63	1.86E+01	1.86E+01
V64	2.73E+00	2.73E+00
V65	1.87E+01	1.87E+01
V66	1.48E+01	1.48E+01
V67	1.47E+01	1.47E+01
V68	3.84E+01	3.84E+01
V69	2.66E+01	2.66E+01
V70	1.05E+01	1.05E+01
V71	6.12E+00	6.12E+00
V72	4.13E+00	4.14E+00
V73	2.48E+00	2.48E+00
V74	3.05E+01	3.05E+01
V75	2.56E+01	2.56E+01
V76	3.16E+01	3.16E+01
V77	1.73E+01	1.73E+01
V78	1.11E+01	1.11E+01
V79	5.12E+00	5.12E+00
V80	3.29E+00	3.29E+00
V81	3.57E+00	3.57E+00
V82	1.24E+01	1.24E+01
V83	2.94E+01	2.94E+01
V84	3.41E+01	3.41E+01
V85	1.93E+00	1.93E+00
V86	1.00E+02	1.00E+02
V87	6.44E+01	6.44E+01
V88	1.11E+01	1.11E+01
V89	9.36E+00	9.36E+00
V90	1.06E+01	1.06E+01
V91	3.70E+00	3.70E+00
V92	5.00E+01	5.00E+01
V93	5.65E+01	5.65E+01
V94	3.82E+01	3.82E+01
V95	7.75E+00	7.75E+00
V96	1.03E+01	1.03E+01
V97	1.89E+01	1.89E+01
V98	1.50E+01	1.50E+01
V99	3.99E+01	3.98E+01
V100	3.57E+01	3.57E+01
