Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
V1	17	29	23	0	6	194	0
V2	8	0	12	22	9	0	19
V3	12	0	14	78	20	10	0
V4	47	6	35	24	247	10	0
V5	3	163	44	135	4	0	0
V6	23	0	32	0	0	136	42
V7	101	0	0	0	50	210	104
V8	133	0	12	24	4	20	3
V9	34	63	10	37	44	7	30
V10	23	73	200	144	58	390	0
V11	170	20	0	0	12	14	32
V12	178	16	86	27	33	0	26
V13	90	16	0	3	11	8	17
V14	7	29	0	31	7	0	61
V15	2	75	30	0	1	22	0
V16	1	18	0	0	135	14	33
V17	0	9	140	9	3	15	0
V18	43	0	53	42	6	19	21
V19	112	0	2	83	0	3	0
V20	178	33	28	46	48	0	97
V21	8	41	33	73	29	24	30
V22	1	325	20	50	65	4	95
V23	6	146	48	67	81	113	0
V24	0	67	0	75	242	18	25
V25	9	4	0	22	174	11	28
V26	10	88	21	8	13	10	31
V27	9	12	102	7	176	45	0
V28	25	0	17	10	0	112	111
V29	147	0	0	0	0	0	0
V30	99	5	6	8	0	29	14
V31	20	0	14	74	0	0	44
V32	22	18	60	14	16	14	0
V33	23	0	21	0	20	2	20
V34	0	131	55	29	0	109	68
V35	144	8	0	0	16	117	44
V36	97	27	0	78	245	7	115
V37	36	101	40	51	5	0	46
V38	57	0	8	13	0	82	30
V39	1	29	65	33	26	27	84
V40	440	11	8	23	48	78	111
V41	7	1	0	28	15	1	46
V42	158	42	214	0	0	34	12
V43	13	30	0	93	358	5	58
V44	12	100	19	20	17	6	7
V45	56	17	0	0	163	35	127
V46	2	7	0	272	0	223	0
V47	110	2	13	0	0	34	0
V48	6	0	0	115	36	0	61
V49	46	15	53	0	30	24	12
V50	12	57	167	305	11	12	0
V51	1	257	6	14	6	124	0
V52	3	138	54	9	3	7	0
V53	5	54	176	0	7	38	69
V54	4	196	0	24	12	161	33
V55	59	115	14	3	0	0	10
V56	9	1	6	5	44	90	0
V57	13	0	41	18	46	6	16
V58	6	21	5	21	4	29	0
V59	175	163	73	89	0	25	4
V60	6	14	20	76	0	8	0
V61	424	58	0	26	0	9	3
V62	5	29	235	1	65	18	10
V63	3	57	0	6	0	62	26
V64	0	3	4	10	0	1	6
V65	0	52	88	21	0	55	0
V66	53	16	15	77	0	0	78
V67	19	32	49	26	124	16	0
V68	411	226	17	55	254	88	0
V69	92	1	28	12	132	66	0
V70	21	25	0	0	54	34	14
V71	2	3	2	24	9	19	13
V72	256	3	1	47	0	11	6
V73	29	14	0	2	0	0	0
V74	36	10	18	105	16	141	0
V75	115	0	1	0	67	14	127
V76	34	0	111	0	126	0	75
V77	1	102	0	6	3	0	34
V78	0	35	28	75	6	4	16
V79	0	0	8	22	5	19	7
V80	34	9	0	2	4	9	11
V81	114	0	18	0	16	32	14
V82	1	0	45	0	51	24	38
V83	35	180	1	6	9	5	8
V84	80	13	25	3	151	8	95
V85	5	1	6	1	6	1	11
V86	19	8	554	81	72	21	117
V87	40	7	14	451	11	21	0
V88	45	30	52	0	0	45	0
V89	15	0	31	27	23	1	32
V90	2	2	1	77	11	1	10
V91	5	35	17	0	32	12	11
V92	67	2	261	35	0	25	39
V93	0	0	0	76	0	266	28
V94	21	240	91	13	33	25	0
V95	52	4	1	43	17	9	1
V96	113	36	11	26	21	51	41
V97	9	20	120	0	0	3	0
V98	9	99	18	31	24	0	40
V99	75	53	240	54	0	1	7
V100	0	131	4	99	9	45	52
