Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V1	17	22	28	195	5	0	2	0	0
V2	8	12	0	0	6	18	14	0	12
V3	11	12	0	5	11	68	15	8	4
V4	49	37	5	11	237	17	0	1	12
V5	2	43	159	0	3	101	0	0	41
V6	17	29	0	116	0	2	7	62	0
V7	99	0	0	213	26	0	92	35	0
V8	130	12	0	19	0	19	8	0	8
V9	34	9	65	5	22	37	53	0	0
V10	23	200	72	385	40	139	28	0	1
V11	167	0	18	10	12	0	14	27	0
V12	174	85	15	0	26	18	19	8	21
V13	89	0	17	8	4	4	21	0	2
V14	8	0	28	0	7	17	24	0	51
V15	2	30	74	23	1	0	0	0	0
V16	1	0	19	16	101	0	54	0	10
V17	0	141	9	14	3	9	0	0	0
V18	41	49	0	15	4	32	14	22	7
V19	111	1	0	0	0	65	0	12	11
V20	173	31	33	0	43	26	42	7	75
V21	6	32	36	24	27	49	10	16	38
V22	2	22	326	7	40	46	85	1	31
V23	2	43	136	99	63	56	19	43	0
V24	0	0	66	14	183	62	85	0	17
V25	8	0	5	10	132	18	63	0	12
V26	6	18	78	6	15	0	5	37	16
V27	7	97	9	38	142	7	36	15	0
V28	18	16	0	93	9	13	32	94	0
V29	144	0	0	1	0	0	0	0	2
V30	97	6	3	27	0	5	1	12	10
V31	16	13	0	0	8	34	0	25	56
V32	20	57	14	10	15	9	0	16	3
V33	24	21	1	4	12	0	23	0	1
V34	0	49	108	86	2	15	0	117	15
V35	142	0	8	117	5	0	41	16	0
V36	95	0	27	16	195	46	96	0	94
V37	36	42	97	7	14	29	0	0	54
V38	52	7	0	71	0	14	11	35	0
V39	0	67	27	31	29	17	25	16	53
V40	429	9	6	75	52	10	32	52	54
V41	6	0	0	2	14	16	18	16	26
V42	152	208	37	30	0	0	3	24	6
V43	13	0	32	5	276	73	124	0	34
V44	11	18	98	6	10	16	14	3	5
V45	57	0	26	40	102	10	163	0	0
V46	1	0	2	214	0	195	0	0	92
V47	110	13	2	34	0	0	0	0	0
V48	6	0	0	0	33	77	24	0	78
V49	45	52	15	25	19	0	21	0	3
V50	8	172	51	0	10	264	5	54	0
V51	1	6	252	122	4	21	2	0	0
V52	3	53	131	6	3	6	0	8	4
V53	0	169	46	27	5	0	36	66	0
V54	0	0	178	140	12	27	13	60	0
V55	52	12	102	0	0	0	0	31	4
V56	8	4	1	86	31	3	13	0	9
V57	13	40	0	6	34	15	24	2	6
V58	6	5	20	29	4	18	0	0	4
V59	167	68	149	17	1	64	0	44	19
V60	4	18	10	6	0	51	0	16	19
V61	412	0	52	7	0	16	0	20	13
V62	4	231	27	16	53	1	17	10	4
V63	0	0	45	47	2	4	1	55	0
V64	0	4	2	1	0	6	0	4	7
V65	0	91	51	53	0	21	0	0	0
V66	41	12	1	0	0	23	0	74	88
V67	16	46	25	10	112	15	1	31	10
V68	384	3	190	56	207	33	32	146	0
V69	89	24	1	63	96	13	45	0	0
V70	20	0	24	34	36	0	26	0	8
V71	1	1	2	15	4	23	16	10	0
V72	251	1	2	12	0	32	1	0	25
V73	29	0	13	0	0	2	0	0	1
V74	38	19	11	142	16	100	0	0	0
V75	122	1	3	20	31	3	133	11	0
V76	35	110	1	0	80	11	109	0	0
V77	0	0	91	0	3	0	14	25	13
V78	0	25	28	0	4	53	9	34	11
V79	0	8	0	18	4	18	3	0	10
V80	33	0	9	9	0	3	13	2	0
V81	112	17	0	29	14	0	7	15	0
V82	1	45	0	24	30	2	53	4	0
V83	35	1	177	2	4	8	12	5	0
V84	77	23	13	7	115	3	89	31	17
V85	5	6	2	1	2	2	13	0	0
V86	13	546	1	14	57	57	70	76	38
V87	32	7	0	0	4	359	15	77	50
V88	43	50	27	43	0	0	0	7	2
V89	14	31	0	4	16	18	24	0	22
V90	1	1	2	0	5	62	15	0	18
V91	5	17	33	12	27	0	8	0	10
V92	65	254	1	33	0	11	2	0	63
V93	0	0	0	221	0	74	3	72	0
V94	21	89	233	23	22	14	18	0	3
V95	51	0	1	4	11	34	9	16	1
V96	105	10	30	43	19	22	20	44	6
V97	9	118	20	4	0	0	0	0	1
V98	7	17	92	0	19	18	21	21	26
V99	74	238	50	2	0	38	2	0	26
V100	0	6	121	48	17	64	3	11	70
