MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	0.00E+00	1.93E-03	1.94E-03	2.33E-03	1.39E-04	2.75E-03
1:Del:C:1	6.28E-04	1.47E-03	4.49E-04	2.27E-03	3.61E-04	8.85E-04
1:Del:C:2	5.68E-08	2.76E-04	1.93E-03	7.79E-04	1.46E-03	2.04E-03
1:Del:C:3	4.40E-04	4.00E-04	2.30E-04	8.32E-04	3.41E-04	2.04E-04
1:Del:C:4	1.58E-03	3.38E-35	1.87E-03	9.53E-04	1.11E-03	3.70E-03
1:Del:C:5	2.40E-04	2.63E-04	7.44E-04	1.93E-04	2.59E-04	1.13E-04
1:Del:T:0	6.47E-04	1.38E-03	0.00E+00	2.04E-03	1.10E-03	6.20E-04
1:Del:T:1	5.30E-04	9.40E-04	6.01E-04	9.22E-04	1.28E-04	5.87E-04
1:Del:T:2	5.42E-04	3.41E-04	1.17E-03	1.73E-03	5.01E-04	4.75E-04
1:Del:T:3	1.18E-03	9.02E-04	1.73E-03	1.44E-03	7.83E-04	0.00E+00
1:Del:T:4	1.32E-03	4.16E-05	1.79E-03	2.67E-03	7.17E-04	3.63E-04
1:Del:T:5	3.32E-08	1.33E-07	5.49E-03	1.03E-07	3.93E-07	2.51E-08
1:Ins:C:0	1.05E-07	2.74E-04	4.15E-07	8.83E-08	2.59E-07	2.61E-09
1:Ins:C:1	5.50E-05	2.07E-04	7.73E-08	1.96E-08	7.38E-09	1.44E-04
1:Ins:C:2	3.12E-08	9.57E-05	1.69E-05	7.23E-05	2.96E-08	5.61E-05
1:Ins:C:3	1.36E-04	0.00E+00	1.87E-08	1.19E-08	5.03E-09	1.48E-08
1:Ins:C:4	3.21E-04	9.47E-05	1.87E-04	1.20E-09	2.77E-04	6.84E-09
1:Ins:C:5	6.99E-04	1.93E-04	8.28E-04	1.00E-04	1.60E-05	2.46E-04
1:Ins:T:0	2.72E-04	4.73E-04	5.13E-04	6.96E-04	2.01E-04	3.85E-04
1:Ins:T:1	1.98E-04	4.82E-04	2.80E-04	6.68E-04	3.85E-04	1.22E-05
