Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
V1	0.00E+00	5.07E+00	9.52E-01	9.89E-01	6.11E-01	8.83E-01	0.00E+00	0.00E+00	7.92E-01	4.96E-01	6.00E-01	8.03E-01	1.85E+00	5.33E-01	0.00E+00	5.00E+00	9.17E-01
V2	5.40E+00	1.50E+00	1.62E+00	1.46E+00	7.06E-01	6.46E-01	0.00E+00	5.26E-01	8.49E-01	1.01E+00	0.00E+00	2.00E-01	1.81E+00	1.09E+00	5.92E+00	5.16E-01	5.00E-01
V3	3.52E+00	4.67E-01	0.00E+00	5.45E+00	5.54E+00	4.78E+00	2.29E+00	1.46E+00	0.00E+00	1.00E-01	9.48E-01	3.00E-01	0.00E+00	8.94E-01	4.29E+00	1.00E-01	5.94E+00
V4	1.80E+01	2.13E+00	6.34E+00	3.82E+00	1.31E+00	1.03E+00	5.50E+00	1.99E+00	4.12E+00	4.32E+00	1.05E+01	5.22E+00	2.54E+00	1.52E+01	1.93E+01	4.25E+00	1.42E+01
V5	5.07E+00	4.84E+00	6.90E+00	3.27E+00	9.78E-01	8.54E-01	4.11E+00	4.03E+00	5.26E+00	1.21E+00	6.20E+00	1.41E+01	4.48E+00	6.91E+00	3.75E+00	6.60E+00	9.54E+00
V6	1.29E+01	1.99E+00	2.24E-01	1.83E+00	0.00E+00	7.27E-01	0.00E+00	0.00E+00	0.00E+00	1.00E-01	9.69E-01	7.49E-01	1.77E+00	0.00E+00	1.30E+01	9.78E-01	8.84E-01
V7	7.97E+00	7.72E-01	7.42E-01	1.82E+00	4.99E+00	4.22E+00	6.85E+00	5.59E+00	1.03E+00	1.89E+00	8.16E+00	1.69E+00	2.43E+00	3.64E+00	6.90E+00	1.43E+00	3.52E+00
V8	1.27E+00	9.69E-01	8.06E-01	6.32E+00	7.61E-01	2.49E-01	2.40E+00	1.29E+00	4.08E+00	4.91E+00	1.96E+00	5.14E+00	2.76E+00	1.71E+00	1.32E+00	4.00E-01	1.11E+00
V9	3.84E+00	0.00E+00	3.99E+00	3.94E+00	8.69E-01	0.00E+00	1.99E+00	4.77E-01	3.82E+00	3.08E+00	2.15E+00	3.92E+00	4.09E+00	1.32E+00	3.91E+00	3.18E+00	8.14E-01
V10	1.62E+01	5.81E-01	1.98E+00	1.28E+00	3.27E-01	1.21E+00	0.00E+00	5.26E-01	6.67E-01	8.03E-01	4.76E-01	0.00E+00	0.00E+00	0.00E+00	1.72E+01	2.13E-01	4.08E+00
V11	2.45E+00	1.53E-01	2.08E+00	2.54E+00	2.21E-01	0.00E+00	2.77E-01	4.90E-01	3.92E+00	1.55E+00	4.82E-01	4.20E+00	1.23E+00	1.82E+00	1.47E+00	0.00E+00	2.19E+00
V12	2.57E+00	1.43E+00	3.71E+00	3.35E+00	1.72E+00	7.16E-01	3.69E+00	4.79E+00	4.90E+00	1.58E+00	3.47E+00	1.07E+00	1.69E+00	1.17E+01	5.81E+00	1.86E+00	4.65E+00
V13	0.00E+00	1.03E+00	2.34E+00	4.22E-01	8.31E-01	6.67E-01	2.91E-01	4.23E-01	1.18E+00	6.74E-01	4.23E-01	1.40E+00	5.04E-01	0.00E+00	0.00E+00	9.64E-01	1.93E+00
V14	5.96E-01	6.53E-01	1.44E+00	2.13E+00	2.50E+00	2.34E+00	1.80E-01	0.00E+00	2.43E+00	1.55E+00	0.00E+00	1.00E+00	1.00E+00	7.00E-01	7.22E-01	8.16E-01	3.66E+00
V15	5.03E+00	4.21E+00	3.62E+00	8.36E-01	0.00E+00	7.19E-01	1.17E+00	1.86E+00	9.29E-01	1.86E+00	2.78E+00	7.01E+00	1.93E+00	2.26E+00	6.16E+00	4.10E+00	1.50E+00
V16	1.53E-01	1.22E+00	5.21E-01	1.34E+00	1.15E+00	6.51E-01	4.96E-01	6.05E-01	9.33E-01	1.33E+00	0.00E+00	3.70E+00	4.12E+00	3.35E+00	8.97E-01	8.30E-01	1.20E+00
V17	3.14E-01	3.35E+00	2.98E+00	5.12E+00	0.00E+00	3.40E-01	0.00E+00	0.00E+00	1.02E+01	7.63E+00	0.00E+00	6.13E+00	4.30E+00	1.16E+00	4.00E-01	4.35E+00	4.01E-01
V18	1.41E+00	8.88E-01	1.11E+00	2.29E+00	3.53E+00	3.16E+00	5.21E-01	5.12E-01	5.17E-01	8.44E-01	1.36E+00	4.27E-01	5.33E-01	1.05E+00	1.16E+00	1.33E-01	3.36E+00
V19	6.51E+00	1.51E+00	4.07E-01	4.93E+00	1.28E+00	1.67E-01	2.80E+00	2.91E+00	5.07E+00	7.38E+00	4.18E+00	3.28E+00	6.64E+00	6.62E+00	8.32E+00	2.00E-01	3.48E+00
V20	5.68E+00	3.07E+00	8.14E-01	1.34E+00	1.50E+00	2.46E+00	2.74E+00	1.45E+00	1.25E+00	2.00E+00	8.44E-01	1.88E+00	1.77E+00	1.49E+00	6.54E+00	3.35E+00	1.57E+00
V21	6.01E-01	3.42E-01	1.02E+00	1.77E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.66E+00	2.98E+00	0.00E+00	2.19E+00	1.33E+00	2.18E+00	6.96E-01	4.23E-01	0.00E+00
V22	4.95E+00	4.88E+00	2.18E+00	3.87E+00	3.00E-01	2.60E-01	0.00E+00	0.00E+00	3.58E+00	5.51E+00	0.00E+00	5.93E+00	4.49E+00	7.84E+00	4.84E+00	3.90E+00	1.09E+00
V23	6.97E+00	3.98E+00	9.09E+00	3.84E+00	2.82E+00	1.99E+00	2.96E+00	2.41E+00	5.40E+00	2.22E+00	4.28E+00	5.21E-01	1.13E+00	9.25E+00	8.77E+00	8.58E+00	8.21E+00
V24	1.43E+01	1.64E+01	3.85E+00	2.81E+00	4.24E+00	4.49E+00	3.64E+00	2.60E+00	2.67E-01	1.59E+00	4.23E+00	2.39E+00	8.54E-01	5.04E+00	1.63E+01	1.54E+01	7.13E+00
