Samples	ID1	ID2	ID5	ID8	ID9	ID83A	ID83C	ID83G
V1	137	0	0	0	0	0	0	0
V2	10	50	0	0	31	55	0	0
V3	0	0	0	40	54	28	118	0
V4	39	98	0	146	103	169	0	0
V5	176	65	0	147	281	46	0	0
V6	25	0	0	0	0	156	0	0
V7	0	0	0	272	0	82	103	0
V8	0	0	0	47	164	0	0	0
V9	0	214	0	0	93	41	0	0
V10	0	0	0	0	0	220	0	0
V11	0	25	0	0	105	84	0	0
V12	0	111	0	116	70	22	0	0
V13	0	84	0	0	0	0	0	0
V14	0	29	0	0	50	0	38	0
V15	104	38	0	0	32	64	0	30
V16	17	16	0	0	55	0	0	0
V17	236	79	0	0	153	0	0	0
V18	0	10	0	0	35	10	56	0
V19	0	0	0	104	135	56	0	0
V20	20	0	0	42	54	57	45	0
V21	0	10	0	0	49	0	0	0
V22	124	47	0	0	94	143	0	0
V23	39	259	0	112	0	80	63	0
V24	171	90	0	135	0	208	119	0
V25	15	0	0	0	63	8	18	0
V26	30	37	0	68	211	0	0	0
V27	0	0	0	48	0	54	0	0
V28	131	0	0	47	41	0	53	0
V29	0	0	0	0	0	0	307	0
V30	0	254	0	0	0	0	0	0
V31	53	0	0	0	22	0	35	0
V32	0	37	0	0	70	0	91	0
V33	0	0	0	78	60	71	232	0
V34	0	66	0	0	28	58	0	0
V35	220	0	0	0	100	66	0	0
V36	0	0	0	184	0	264	266	0
V37	0	0	0	279	218	96	0	0
V38	0	195	0	0	91	0	0	0
V39	45	0	0	0	265	262	0	0
V40	0	0	0	0	25	0	41	0
V41	41	0	0	352	0	38	0	0
V42	344	0	0	0	128	0	0	0
V43	0	0	0	0	487	465	0	0
V44	0	0	0	0	39	69	94	31
V45	82	18	0	0	0	41	0	68
V46	0	12	0	0	14	5	7	0
V47	0	0	0	0	243	0	117	0
V48	152	0	0	108	0	109	81	80
V49	0	0	0	0	110	41	237	0
V50	0	40	0	0	50	43	240	0
V51	22	21	0	53	33	0	0	0
V52	0	14	0	0	0	58	47	0
V53	114	0	0	0	0	71	0	0
V54	0	28	0	0	74	62	0	49
V55	53	21	0	0	150	0	55	0
V56	47	0	0	202	0	58	0	0
V57	0	75	0	0	46	0	76	0
V58	0	15	0	0	157	0	0	0
V59	20	119	0	0	0	71	0	28
V60	87	24	0	0	83	0	0	0
V61	82	0	0	340	0	0	0	0
V62	0	238	0	159	0	0	75	0
V63	0	0	0	0	85	243	0	0
V64	236	0	0	0	0	0	0	0
V65	0	0	0	194	113	137	110	0
V66	0	0	0	0	0	0	84	0
V67	44	159	0	125	161	80	85	0
V68	0	35	0	65	0	0	20	0
V69	0	0	0	0	90	115	0	202
V70	50	0	0	0	83	24	0	0
V71	34	0	0	0	322	0	0	0
V72	128	0	0	0	0	22	0	0
V73	0	0	0	0	0	341	0	0
V74	347	0	0	0	0	0	127	0
V75	0	51	0	60	38	16	29	103
V76	0	0	0	0	0	138	181	0
V77	74	0	0	34	42	50	29	0
V78	0	0	0	141	128	45	65	0
V79	0	45	0	0	50	25	40	16
V80	0	0	0	37	102	0	0	0
V81	79	0	0	0	0	21	0	0
V82	17	0	0	0	24	12	34	0
V83	0	60	0	0	0	229	0	0
V84	99	49	0	34	0	0	36	0
V85	54	0	0	0	68	108	136	0
V86	37	8	0	30	0	8	0	0
V87	0	51	0	92	159	0	135	0
V88	0	46	0	82	0	0	0	123
V89	115	0	0	0	0	0	25	0
V90	175	0	0	0	75	0	0	0
V91	0	23	0	0	34	40	57	0
V92	31	0	0	0	75	107	0	0
V93	0	0	0	0	59	175	0	0
V94	0	68	0	67	0	30	0	0
V95	21	0	0	18	0	32	21	0
V96	107	0	0	0	0	38	113	0
V97	0	0	0	339	0	0	0	0
V98	0	53	0	0	87	38	200	0
V99	0	22	0	24	0	73	69	0
V100	25	0	0	0	0	0	0	0
