MutationType	ID1	ID2	ID5	ID8	ID9	ID83A	ID83C	ID83G
1:Del:C:0	0.00015989	0.00482412	0.02220211	0.03982756	0.33493988	0.00329610	0.15679926	0.00160725
1:Del:C:1	0.00077352	0.00002210	0.02854722	0.02391594	0.09999423	0.00000015	0.00001477	0.02621045
1:Del:C:2	0.00000000	0.00000311	0.02659693	0.00333055	0.00269066	0.00004985	0.00000003	0.00131195
1:Del:C:3	0.00190761	0.00247208	0.01415912	0.00540315	0.01062542	0.00111501	0.00077736	0.01007736
1:Del:C:4	0.00070599	0.00385698	0.00287342	0.00127571	0.01249690	0.00000000	0.30712411	0.00000000
1:Del:C:5	0.00337011	0.01461542	0.00260245	0.00093373	0.00004480	0.00106391	0.00082953	0.00006282
1:Del:T:0	0.00131160	0.00790597	0.10148115	0.03424369	0.10510537	0.00028823	0.00060892	0.01760833
1:Del:T:1	0.00000000	0.00000000	0.10609961	0.01045208	0.04429364	0.02156477	0.00100673	0.01259567
1:Del:T:2	0.00093645	0.00703642	0.11412846	0.00899203	0.08586196	0.00343460	0.00092271	0.00337000
1:Del:T:3	0.00229585	0.02023474	0.08896221	0.00982504	0.11325066	0.00059181	0.00000001	0.00008309
1:Del:T:4	0.00429142	0.04711993	0.05225953	0.00127378	0.09441274	0.00009515	0.00030479	0.00028222
1:Del:T:5	0.00000000	0.81469723	0.03061052	0.01062034	0.00092983	0.00000153	0.00000124	0.00059463
1:Ins:C:0	0.00000000	0.00000000	0.00054225	0.00276427	0.00000000	0.00000023	0.00000008	0.00536010
1:Ins:C:1	0.00000000	0.00022703	0.00124290	0.00216912	0.00000193	0.00048222	0.00000000	0.00355138
1:Ins:C:2	0.00000000	0.00002620	0.00315167	0.00152700	0.00035262	0.00000013	0.00000001	0.00090950
1:Ins:C:3	0.00084599	0.00043005	0.00060285	0.00011652	0.00000000	0.00000000	0.00000003	0.00020487
1:Ins:C:4	0.00178553	0.00291185	0.00019758	0.00055418	0.00000216	0.00015266	0.00086931	0.00099652
1:Ins:C:5	0.02429654	0.00901754	0.00043354	0.00048949	0.00007370	0.00000000	0.00028018	0.00139558
1:Ins:T:0	0.00228382	0.00132856	0.00636196	0.00450798	0.01261448	0.00000000	0.00059990	0.00072256
1:Ins:T:1	0.00004030	0.00000000	0.01346270	0.00486870	0.01038527	0.00108382	0.00000001	0.00069669
1:Ins:T:2	0.00019286	0.00064703	0.02972114	0.00142964	0.00231466	0.00199964	0.00005395	0.00040755
1:Ins:T:3	0.00424327	0.00108288	0.01884025	0.00108729	0.00160089	0.00004654	0.00005495	0.00041248
1:Ins:T:4	0.01664913	0.00348746	0.01126875	0.00082262	0.00158536	0.00037522	0.00019771	0.00237092
1:Ins:T:5	0.89090647	0.00313258	0.00143921	0.02016125	0.00577248	0.00000103	0.00000037	0.00000059
2:Del:R:0	0.00068605	0.00016381	0.02805441	0.00876922	0.01317475	0.00008712	0.00069401	0.01003934
2:Del:R:1	0.00121997	0.00356888	0.02456273	0.01030715	0.00319854	0.00000000	0.00017490	0.01395223
2:Del:R:2	0.00047275	0.00184957	0.00456262	0.00053203	0.00118970	0.00000000	0.00000002	0.00001561
2:Del:R:3	0.00042672	0.00073904	0.00039592	0.00002710	0.00009590	0.00003886	0.00017015	0.00000011
2:Del:R:4	0.00005460	0.00088193	0.00086756	0.00027403	0.00000000	0.00024108	0.00001898	0.00034648
2:Del:R:5	0.00000000	0.00000000	0.02142678	0.00083308	0.00000000	0.00000008	0.00000003	0.00039183
3:Del:R:0	0.00012804	0.00001250	0.01713637	0.01096410	0.00285810	0.00019546	0.00069709	0.00916571
3:Del:R:1	0.00501109	0.00500326	0.00590979	0.00134887	0.00430191	0.00210923	0.00036456	0.00121791
3:Del:R:2	0.00076938	0.00228989	0.00084271	0.00037657	0.00127572	0.00000000	0.00004802	0.00037161
3:Del:R:3	0.00037126	0.00040259	0.00062115	0.00025351	0.00030211	0.00000006	0.00000012	0.00009231
3:Del:R:4	0.00000000	0.00000000	0.00586708	0.00000268	0.00000000	0.00000026	0.00000044	0.00000026
3:Del:R:5	0.00000000	0.00000000	0.00837891	0.00009100	0.00000000	0.00000008	0.00006428	0.00000007
4:Del:R:0	0.00009970	0.00001210	0.01079126	0.00669131	0.00143277	0.00093698	0.00000000	0.00849463
4:Del:R:1	0.00090050	0.00211579	0.00284357	0.00162295	0.00459422	0.00014834	0.00021188	0.00338465
4:Del:R:2	0.00000323	0.00054329	0.00016464	0.00027262	0.00089602	0.00004164	0.00011900	0.00080333
4:Del:R:3	0.00000000	0.00000727	0.00387781	0.00002880	0.00002380	0.00000026	0.00000044	0.00000026
4:Del:R:4	0.00000000	0.00000000	0.00455725	0.00009730	0.00000000	0.00000026	0.00000044	0.00000026
4:Del:R:5	0.00002890	0.00021041	0.00158444	0.00000634	0.00001370	0.00000046	0.00000023	0.00000022
5:Del:R:0	0.00000835	0.00003850	0.01844795	0.23797886	0.00077205	0.00000030	0.00193542	0.46803333
5:Del:R:1	0.00019068	0.00297751	0.00041034	0.00057226	0.00047955	0.00000000	0.00000006	0.00027399
5:Del:R:2	0.00012636	0.00039753	0.00047093	0.00051684	0.00026497	0.00000001	0.00000063	0.00048148
5:Del:R:3	0.00001890	0.00015815	0.00025717	0.00000816	0.00000612	0.00000026	0.00000044	0.00000026
5:Del:R:4	0.00000311	0.00008470	0.00009730	0.00011290	0.00000725	0.00000026	0.00000044	0.00000026
5:Del:R:5	0.00003130	0.00002120	0.00058502	0.00004430	0.00002990	0.00000026	0.00000044	0.00000026
2:Ins:R:0	0.00040204	0.00033185	0.00634945	0.00191671	0.00116234	0.00000000	0.00010280	0.00263641
2:Ins:R:1	0.00000788	0.00027166	0.01838764	0.00166182	0.00210019	0.00000001	0.00000001	0.00260938
2:Ins:R:2	0.00022135	0.00103534	0.00720795	0.00030459	0.00076094	0.00009804	0.01704952	0.00042877
2:Ins:R:3	0.00051427	0.00038133	0.00117229	0.00017758	0.00035163	0.00010901	0.00000000	0.00093337
2:Ins:R:4	0.00291310	0.00197742	0.00006880	0.00001660	0.00003070	0.00000048	0.38882933	0.00016853
2:Ins:R:5	0.01812158	0.01363338	0.00099412	0.00176438	0.00000000	0.00003254	0.00003915	0.00285369
3:Ins:R:0	0.00000031	0.00005780	0.00379248	0.00066786	0.00025457	0.00000000	0.00009568	0.00093919
3:Ins:R:1	0.00025469	0.00122705	0.00612276	0.00067172	0.00082336	0.00008539	0.00570945	0.00082633
3:Ins:R:2	0.00004410	0.00021007	0.00114347	0.00013577	0.00011826	0.00000026	0.00000044	0.00000026
3:Ins:R:3	0.00016670	0.00000302	0.00001020	0.00003790	0.00000518	0.00000001	0.00000007	0.00000002
3:Ins:R:4	0.00008890	0.00014181	0.00001180	0.00012204	0.00001610	0.00000009	0.00000006	0.00000002
3:Ins:R:5	0.00124870	0.00186471	0.00010257	0.00003660	0.00000000	0.00005492	0.00000000	0.00000000
4:Ins:R:0	0.00000000	0.00001680	0.00243919	0.00077776	0.00016439	0.02130806	0.00013886	0.00103866
4:Ins:R:1	0.00074438	0.00120373	0.00361230	0.00110390	0.00071557	0.91113523	0.00000127	0.00069855
4:Ins:R:2	0.00007550	0.00001220	0.00037646	0.00007990	0.00004240	0.00000011	0.00000023	0.00000014
4:Ins:R:3	0.00015754	0.00013417	0.00000187	0.00000858	0.00002150	0.00000027	0.00029862	0.00015475
4:Ins:R:4	0.00031965	0.00024939	0.00000641	0.00020551	0.00000000	0.00000004	0.00000002	0.00034358
4:Ins:R:5	0.00100132	0.00219354	0.00063598	0.00088523	0.00000218	0.02138158	0.00163710	0.00026704
5:Ins:R:0	0.00000000	0.00000000	0.00475007	0.00031833	0.00016585	0.00007576	0.00004718	0.00042459
5:Ins:R:1	0.00144313	0.00013566	0.00479343	0.00976111	0.00125400	0.00055381	0.00000000	0.00890995
5:Ins:R:2	0.00025483	0.00000553	0.00029880	0.00010115	0.00010285	0.00029939	0.00000003	0.00000000
5:Ins:R:3	0.00023709	0.00009770	0.00016555	0.00007090	0.00008020	0.00000303	0.01892097	0.00004108
5:Ins:R:4	0.00026187	0.00000215	0.00012671	0.00000674	0.00005050	0.00000015	0.00000014	0.00041619
5:Ins:R:5	0.00011983	0.00011563	0.00062634	0.00019055	0.00000989	0.00028883	0.05816591	0.00000024
2:Del:M:1	0.00119782	0.00017555	0.02868795	0.00491367	0.00390097	0.00074956	0.00003791	0.00749251
3:Del:M:1	0.00008190	0.00000055	0.01315715	0.00929034	0.00301133	0.00118896	0.02163249	0.01649698
3:Del:M:2	0.00147959	0.00294406	0.00900421	0.00430269	0.00154330	0.00000000	0.00674068	0.00634040
4:Del:M:1	0.00008380	0.00014700	0.00873220	0.00580955	0.00192772	0.00000001	0.00000000	0.01023618
4:Del:M:2	0.00014548	0.00055061	0.00604719	0.00159159	0.00329745	0.00014573	0.00001500	0.00105972
4:Del:M:3	0.00016068	0.00069357	0.00344244	0.00109834	0.00254408	0.00001819	0.00009012	0.00178563
5:Del:M:1	0.00000082	0.00062496	0.00861707	0.28072426	0.00003540	0.00000007	0.00207991	0.09095198
5:Del:M:2	0.00000000	0.00011771	0.00785102	0.12361016	0.00022124	0.00209198	0.00000072	0.13298722
5:Del:M:3	0.00000000	0.00005670	0.00715797	0.04613041	0.00057091	0.00052700	0.00065021	0.06400526
5:Del:M:4	0.00003880	0.00046284	0.00249255	0.01636726	0.00044831	0.00017641	0.00051896	0.01812648
5:Del:M:5	0.00066512	0.00236732	0.00111237	0.01281488	0.00000000	0.00023117	0.00224924	0.01892802
