Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
V1	7.40E+00	1.04E+00	1.08E+00	3.68E+00	6.12E+00	3.52E+00	1.59E+00	4.82E+00
V2	3.22E+00	2.05E+00	7.12E-01	1.32E+00	3.06E-01	0.00E+00	8.46E-01	3.20E+00
V3	6.82E+00	0.00E+00	2.39E+00	3.20E+00	0.00E+00	3.27E-01	2.52E+00	5.37E+00
V4	3.07E+00	0.00E+00	6.63E-01	1.15E+01	5.82E-01	3.67E-01	1.23E+01	2.64E+00
V5	4.82E+00	2.32E+00	1.83E+00	4.21E+00	1.47E+00	3.94E-01	3.50E+00	5.68E+00
V6	5.71E+00	8.95E-01	9.57E-01	4.31E+00	3.11E+00	1.64E+01	1.43E+01	1.09E+01
V7	0.00E+00	1.63E-01	1.87E+00	9.99E+00	1.35E+00	1.51E+00	9.10E+00	1.26E+00
V8	1.14E+00	2.56E+00	1.14E+00	2.97E+00	2.94E+00	1.32E+00	2.09E+00	1.86E+00
V9	2.10E+01	3.00E+00	9.87E-01	5.70E+00	5.35E+00	0.00E+00	5.21E+00	1.79E+01
V10	1.60E+01	9.12E-01	2.18E+00	2.51E+01	3.37E+00	0.00E+00	2.42E+01	1.33E+01
V11	0.00E+00	0.00E+00	6.54E-01	1.04E+00	1.78E+00	3.92E+00	4.01E+00	2.49E+00
V12	3.27E+00	0.00E+00	1.83E+00	1.26E+00	5.58E+00	3.67E-01	1.39E+00	5.88E+00
V13	1.15E+01	4.28E-01	1.97E+00	6.25E+00	2.46E+00	0.00E+00	4.95E+00	1.02E+01
V14	1.49E+00	1.42E+00	3.71E-01	1.21E+00	7.42E-01	4.73E-01	6.11E-01	1.88E+00
V15	0.00E+00	1.63E+00	9.57E-01	5.21E-01	6.63E+00	1.08E+01	9.91E+00	8.24E+00
V16	0.00E+00	1.89E+00	2.46E+00	1.82E+01	7.46E-01	1.37E+01	1.85E+01	9.34E+00
V17	3.22E+00	1.21E+00	2.24E-01	0.00E+00	4.53E+00	1.49E+01	1.67E+01	1.21E+01
V18	1.98E+01	1.41E+00	1.15E+00	7.18E-01	7.48E+00	1.88E+01	1.82E+01	1.31E+01
V19	2.59E+00	3.56E+00	2.04E+00	0.00E+00	2.68E+00	8.41E+00	1.05E+01	5.66E+00
V20	1.25E+01	7.61E-01	3.38E+00	0.00E+00	5.43E+00	5.14E+00	5.01E+00	7.75E+00
