Samples	ID1	ID2	ID8	ID9	ID83A	ID83B
V1	0	0	0	107	182	0
V2	105	0	0	0	63	19
V3	0	174	0	0	65	43
V4	0	0	0	0	30	206
V5	104	40	0	0	112	76
V6	0	0	185	0	105	77
V7	0	90	0	0	0	106
V8	318	0	0	0	0	0
V9	60	0	0	71	125	67
V10	0	78	0	0	118	420
V11	0	6	37	17	0	10
V12	0	40	0	48	61	0
V13	0	37	0	36	160	85
V14	83	0	0	0	15	0
V15	26	19	80	176	0	0
V16	41	85	178	0	0	323
V17	0	0	193	62	24	0
V18	50	0	370	0	189	0
V19	104	67	140	0	25	0
V20	0	222	0	95	131	0
V21	227	48	0	0	0	72
V22	43	0	0	179	32	0
V23	0	84	0	62	0	67
V24	0	55	49	0	0	130
V25	0	78	243	0	30	0
V26	0	169	0	0	34	0
V27	0	81	108	0	175	0
V28	0	0	51	0	0	64
V29	0	22	0	0	53	13
V30	48	0	0	0	207	66
V31	38	0	105	0	0	201
V32	0	5	35	13	19	0
V33	56	214	0	99	35	0
V34	63	477	0	241	0	0
V35	60	0	147	0	0	0
V36	96	0	0	81	0	0
V37	235	0	108	0	220	0
V38	0	0	0	48	16	32
V39	31	15	42	0	77	0
V40	28	60	0	0	0	90
V41	0	88	0	0	0	515
V42	0	0	0	0	251	42
V43	20	0	0	0	0	76
V44	0	26	143	0	52	0
V45	0	0	19	33	0	0
V46	0	13	0	77	0	34
V47	0	29	0	28	48	0
V48	67	0	0	0	424	225
V49	504	0	0	0	0	0
V50	65	90	0	0	84	58
V51	0	0	110	0	154	61
V52	31	12	0	0	51	0
V53	0	189	81	0	0	84
V54	0	51	300	0	0	171
V55	0	0	115	0	384	0
V56	97	194	41	0	0	0
V57	0	100	0	35	0	0
V58	333	0	0	0	0	0
V59	13	0	0	0	28	0
V60	11	0	0	0	33	0
V61	0	0	0	0	310	0
V62	13	56	25	37	17	0
V63	42	78	0	0	122	20
V64	0	0	0	0	290	0
V65	0	0	0	216	79	0
V66	50	17	88	0	0	0
V67	51	51	0	76	68	0
V68	287	0	0	0	0	0
V69	0	0	0	0	80	73
V70	44	52	0	0	69	24
V71	50	0	0	28	28	70
V72	33	0	0	0	91	0
V73	0	26	0	122	0	0
V74	22	63	0	125	39	0
V75	242	55	0	83	97	56
V76	16	18	0	0	0	25
V77	0	0	0	0	218	34
V78	0	240	0	0	71	0
V79	0	132	0	0	0	207
V80	0	151	0	55	32	41
V81	16	41	16	0	10	0
V82	114	0	280	0	0	469
V83	27	18	0	43	12	0
V84	33	89	0	107	0	0
V85	31	0	17	20	0	13
V86	16	8	0	9	17	0
V87	66	64	63	153	0	32
V88	16	0	0	119	0	0
V89	29	0	0	0	0	88
V90	0	0	73	0	140	105
V91	0	18	0	25	0	73
V92	55	135	0	0	114	26
V93	0	0	0	264	0	38
V94	144	46	0	0	291	0
V95	68	20	0	0	0	0
V96	105	0	0	0	0	25
V97	0	0	0	99	0	0
V98	64	0	132	111	354	0
V99	186	35	0	121	31	37
V100	128	0	323	0	0	189
