Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V1	129	24	13	17	68	38
V2	63	18	106	0	0	0
V3	66	44	0	172	0	0
V4	30	206	0	0	0	0
V5	107	74	102	37	11	1
V6	96	70	13	11	32	145
V7	0	108	0	88	0	0
V8	7	29	195	9	49	29
V9	121	64	59	14	65	0
V10	112	396	9	71	25	3
V11	0	11	0	6	20	33
V12	56	14	0	36	43	0
V13	159	86	0	36	37	0
V14	12	7	66	2	7	4
V15	0	0	30	20	181	70
V16	0	331	47	86	0	163
V17	24	0	10	0	74	171
V18	180	5	56	19	38	311
V19	25	0	105	64	22	120
V20	120	1	8	197	84	38
V21	0	71	231	45	0	0
V22	29	8	39	8	152	18
V23	0	68	0	82	63	0
V24	12	128	0	52	0	42
V25	27	7	2	71	51	193
V26	29	16	5	141	4	8
V27	149	7	18	67	46	77
V28	11	56	2	1	6	39
V29	48	11	4	18	0	7
V30	207	66	48	0	0	0
V31	1	195	40	12	8	88
V32	19	0	2	5	15	31
V33	33	9	56	200	95	11
V34	0	0	68	468	245	0
V35	4	15	52	6	24	106
V36	7	0	89	10	71	0
V37	198	15	217	13	40	80
V38	15	30	0	0	41	10
V39	77	0	34	16	0	38
V40	0	86	27	55	10	0
V41	29	398	0	65	57	54
V42	223	37	0	13	0	20
V43	0	76	20	0	0	0
V44	51	12	6	26	2	124
V45	0	3	0	0	33	16
V46	0	31	0	11	69	13
V47	46	5	0	27	27	0
V48	371	196	59	35	11	44
V49	10	45	373	31	38	7
V50	72	50	57	76	14	28
V51	140	55	1	3	46	80
V52	43	0	28	10	13	0
V53	0	88	0	193	0	73
V54	6	143	40	43	82	208
V55	323	7	5	21	66	77
V56	0	0	102	194	0	36
V57	0	9	0	86	30	10
V58	24	0	309	0	0	0
V59	21	4	10	0	0	6
V60	30	0	10	0	4	0
V61	261	0	21	0	0	28
V62	17	0	14	56	39	22
V63	116	20	42	73	3	8
V64	250	5	13	7	3	12
V65	76	1	7	3	204	4
V66	6	2	47	15	14	71
V67	61	4	46	44	63	28
V68	0	0	260	0	0	27
V69	67	61	4	7	13	1
V70	63	22	41	46	0	17
V71	28	70	51	0	27	0
V72	90	0	34	0	0	0
V73	5	0	9	23	111	0
V74	39	0	23	61	126	0
V75	95	55	241	52	80	10
V76	0	25	17	17	0	0
V77	202	31	0	19	0	0
V78	55	24	8	176	21	27
V79	0	182	0	112	0	45
V80	29	37	16	133	49	15
V81	9	1	15	36	11	11
V82	1	459	119	33	10	241
V83	13	0	28	18	41	0
V84	9	0	33	83	104	0
V85	5	11	29	4	19	13
V86	16	2	17	7	8	0
V87	6	32	69	62	154	55
V88	0	0	15	0	107	13
V89	0	88	29	0	0	0
V90	131	99	15	10	2	61
V91	0	74	0	17	25	0
V92	112	26	55	128	5	4
V93	0	37	18	0	247	0
V94	279	0	139	42	0	21
V95	1	2	56	15	10	4
V96	0	24	106	0	0	0
V97	5	4	6	1	76	7
V98	346	0	68	21	113	113
V99	30	36	182	32	112	18
V100	3	190	137	7	18	285
