Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
V1	5.97E+00	9.20E-01	2.25E+00	1.92E+00	8.54E+00	1.33E+00	1.02E+00	2.35E+00	1.04E+01	3.04E+00	7.30E+00	4.71E-01	1.44E+00	2.19E+00	7.54E+00
V2	6.84E-01	4.04E+00	1.33E+00	2.18E+00	0.00E+00	2.24E-01	1.11E+00	3.24E+00	1.40E+00	9.70E+00	4.22E-01	1.25E+00	8.44E+00	5.76E+00	4.11E+00
V3	1.67E+00	4.73E+00	5.33E-01	6.32E-01	5.31E+00	5.12E-01	3.00E-01	3.21E+00	6.38E+00	4.10E+00	5.41E+00	3.13E+00	2.51E+00	2.50E+00	3.10E+00
V4	5.12E-01	1.07E+00	3.50E+00	2.92E+00	1.65E+00	4.07E+00	6.30E+00	3.83E+00	3.59E+00	1.53E+00	1.63E+00	3.64E+00	2.55E+00	4.35E+00	0.00E+00
V5	3.19E+00	0.00E+00	2.02E+00	1.69E+00	1.20E+01	8.36E-01	8.03E-01	4.01E-01	9.14E+00	0.00E+00	5.73E+00	1.52E+00	4.52E-01	8.03E-01	3.00E+00
V6	2.21E-01	8.85E-01	0.00E+00	0.00E+00	8.06E-01	0.00E+00	0.00E+00	0.00E+00	1.20E+00	4.22E-01	1.07E+00	4.73E-01	5.39E-01	0.00E+00	2.13E-01
V7	2.16E+00	2.69E+00	2.11E+00	2.29E+00	0.00E+00	5.70E+00	5.42E+00	1.38E+00	1.19E+00	2.86E+00	4.67E-01	5.97E+00	1.33E+00	3.77E+00	2.22E+00
V8	3.59E+00	2.89E+00	5.82E-01	7.02E-01	1.14E+00	1.49E+00	2.35E+00	3.59E-01	5.96E-01	5.78E-01	8.23E-01	2.25E+00	9.83E-01	1.98E+00	2.19E+00
V9	1.89E+00	5.10E+00	7.77E-01	0.00E+00	2.23E+00	7.90E-01	1.16E+00	2.60E-01	4.56E+00	1.22E+00	3.45E+00	3.42E+00	1.07E+00	3.10E+00	2.60E+00
V10	1.47E+00	2.49E-01	4.82E-01	6.36E-01	1.49E+01	7.78E-01	1.00E-01	1.69E+00	1.24E+01	1.29E+00	6.07E+00	1.29E+00	1.69E+00	2.79E+00	0.00E+00
V11	1.39E+00	1.12E+00	2.48E+00	4.48E+00	2.69E+00	3.26E+00	3.89E+00	1.25E+00	6.07E+00	3.60E+00	3.51E+00	4.62E+00	2.18E+00	2.39E+00	8.56E-01
V12	6.18E-01	1.17E+01	4.72E+00	4.11E+00	1.32E+01	5.83E+00	7.13E+00	2.47E+00	1.49E+01	2.83E+00	2.39E+00	7.49E+00	2.03E+00	2.03E+01	7.27E+00
V13	3.40E+00	2.29E+00	3.02E+00	1.51E+00	9.17E-01	1.24E+00	1.89E+00	1.87E+00	2.87E+00	1.53E+00	1.00E-01	1.99E+00	1.63E+00	3.99E+00	3.79E+00
V14	8.37E+00	6.00E-01	8.94E+00	1.04E+01	5.50E+00	5.17E-01	7.27E-01	1.00E-01	1.03E+01	6.00E-01	4.04E+00	5.29E+00	3.06E-01	2.22E+00	8.57E+00
V15	1.47E+00	5.39E+00	3.94E-01	5.62E-01	4.71E-01	8.18E+00	6.72E+00	1.69E+00	7.06E-01	1.68E+00	3.96E-01	8.76E+00	1.29E+00	3.38E+00	1.65E+00
