MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
1:Del:C:0	0.00E+00	8.72E-04	7.27E-04	1.67E-03	2.09E-06	4.21E-03	2.86E-02	1.31E-02	4.55E-03	1.20E-02	2.08E-03	6.47E-03	3.28E-02	1.39E-02	8.90E-03	2.82E-02	1.15E-03	6.39E-02	6.88E-03
1:Del:C:1	8.58E-07	5.37E-08	1.49E-08	4.85E-08	5.13E-08	2.11E-03	4.72E-05	2.41E-02	6.40E-03	2.32E-03	8.77E-08	1.37E-06	9.98E-02	2.56E-02	4.98E-02	5.86E-03	4.17E-03	5.62E-03	4.12E-02
1:Del:C:2	4.11E-04	1.03E-04	7.92E-09	0.00E+00	5.29E-04	5.24E-03	0.00E+00	1.53E-04	1.42E-03	1.13E-03	0.00E+00	0.00E+00	3.21E-07	1.22E-03	1.31E-07	1.61E-03	3.81E-03	1.55E-03	1.64E-03
1:Del:C:3	1.16E-03	0.00E+00	3.65E-04	3.18E-04	0.00E+00	2.87E-03	1.62E-03	3.91E-03	2.70E-03	1.22E-03	3.62E-04	5.85E-04	2.47E-03	9.11E-03	3.66E-03	5.45E-03	3.57E-03	2.66E-03	2.75E-03
1:Del:C:4	3.68E-04	1.12E-03	2.42E-04	0.00E+00	7.71E-04	2.26E-03	5.27E-03	5.17E-04	0.00E+00	0.00E+00	1.32E-08	0.00E+00	2.19E-03	8.92E-03	6.03E-03	8.99E-03	4.53E-03	1.59E-03	1.85E-04
1:Del:C:5	1.19E-04	1.99E-03	1.44E-04	6.08E-08	8.40E-04	9.86E-04	0.00E+00	1.69E-03	1.68E-03	4.92E-05	2.40E-03	1.42E-07	2.56E-03	8.52E-05	6.21E-05	2.27E-02	2.95E-03	3.49E-03	5.63E-03
1:Del:T:0	4.81E-04	2.47E-03	1.41E-03	8.90E-04	1.92E-03	5.02E-03	1.57E-02	2.36E-02	4.99E-03	4.77E-02	8.78E-04	3.23E-02	3.44E-02	2.16E-02	4.83E-02	1.58E-02	6.14E-03	2.28E-02	1.78E-02
1:Del:T:1	2.23E-05	0.00E+00	2.66E-04	5.62E-46	1.16E-03	2.07E-03	1.47E-02	2.43E-07	3.85E-03	3.89E-03	1.01E-03	8.19E-03	1.17E-02	2.85E-02	2.67E-02	2.33E-03	5.19E-03	2.66E-03	6.03E-03
1:Del:T:2	4.87E-09	5.62E-46	3.88E-02	1.87E-46	8.72E-05	8.67E-03	2.79E-03	2.94E-02	8.42E-04	7.16E-03	1.40E-46	1.72E-03	6.85E-02	2.11E-02	4.64E-03	1.78E-03	3.34E-02	5.36E-02	1.28E-06
1:Del:T:3	7.88E-04	2.83E-03	3.43E-03	1.40E-46	5.12E-03	4.34E-03	3.87E-03	1.91E-02	2.02E-03	1.02E-03	0.00E+00	0.00E+00	3.00E-02	1.31E-02	7.44E-02	8.01E-03	1.96E-02	9.15E-03	1.73E-03
1:Del:T:4	2.12E-03	8.66E-03	1.46E-03	4.83E-08	1.08E-03	0.00E+00	8.92E-03	1.10E-02	0.00E+00	0.00E+00	1.28E-07	5.16E-07	1.18E-03	6.92E-02	1.79E-02	2.04E-02	2.23E-02	4.82E-03	1.12E-45
1:Del:T:5	3.25E-08	9.91E-03	3.02E-07	6.13E-08	8.88E-08	3.39E-06	8.68E-08	4.03E-07	1.16E-03	6.98E-07	5.09E-08	3.92E-06	2.08E-07	3.91E-03	2.82E-06	6.26E-02	5.07E-07	3.90E-03	1.29E-06
1:Ins:C:0	3.51E-09	1.23E-08	4.25E-08	2.87E-07	1.07E-07	5.85E-04	2.33E-04	7.22E-07	1.69E-04	1.13E-03	1.20E-07	1.02E-03	1.72E-07	0.00E+00	1.06E-07	9.95E-04	1.31E-03	2.67E-03	6.87E-04
1:Ins:C:1	6.48E-05	0.00E+00	2.17E-08	1.53E-08	3.24E-04	4.73E-04	1.68E-07	6.35E-08	1.07E-03	3.31E-08	2.99E-04	5.49E-04	1.08E-03	2.82E-08	0.00E+00	0.00E+00	2.18E-03	7.05E-04	7.45E-04
1:Ins:C:2	9.72E-04	1.48E-04	2.54E-08	1.14E-08	0.00E+00	7.85E-04	6.89E-09	1.18E-04	5.53E-04	3.91E-04	3.10E-08	2.03E-03	2.28E-04	0.00E+00	8.72E-04	4.44E-04	2.92E-03	1.65E-04	1.15E-03
1:Ins:C:3	1.04E-04	5.64E-05	0.00E+00	2.11E-04	5.03E-05	6.13E-07	1.43E-07	9.98E-04	4.34E-04	5.61E-05	0.00E+00	2.96E-08	0.00E+00	2.15E-04	6.16E-08	1.27E-03	1.54E-03	1.74E-03	1.05E-03
1:Ins:C:4	8.86E-04	1.01E-05	3.40E-05	4.17E-03	5.39E-04	5.04E-05	2.69E-03	2.86E-02	6.64E-04	0.00E+00	1.95E-02	3.14E-02	1.29E-03	0.00E+00	0.00E+00	1.94E-03	8.04E-04	2.98E-03	0.00E+00
1:Ins:C:5	1.48E-03	9.10E-04	0.00E+00	0.00E+00	1.39E-03	1.77E-03	0.00E+00	2.30E-03	2.41E-07	0.00E+00	2.31E-03	2.05E-03	1.71E-03	0.00E+00	1.05E-07	9.71E-03	6.48E-02	2.49E-03	2.83E-02
1:Ins:T:0	0.00E+00	1.65E-06	3.33E-04	1.64E-02	0.00E+00	5.02E-03	4.34E-04	7.01E-03	1.51E-03	3.88E-04	4.09E-02	3.82E-02	8.62E-03	5.49E-03	2.99E-46	5.25E-08	6.83E-04	1.26E-02	7.36E-03
1:Ins:T:1	0.00E+00	0.00E+00	6.92E-03	9.32E-04	9.84E-03	1.55E-03	1.05E-04	2.23E-02	0.00E+00	2.01E-04	1.90E-03	5.79E-02	4.71E-03	6.89E-03	1.34E-02	2.64E-03	2.29E-02	5.15E-03	3.87E-03
1:Ins:T:2	1.07E-07	2.37E-04	1.34E-04	9.55E-05	4.48E-04	1.01E-03	0.00E+00	1.48E-03	1.68E-03	5.23E-04	2.26E-04	1.89E-04	1.69E-03	4.91E-04	8.08E-04	1.71E-03	5.80E-03	2.35E-03	3.24E-04
1:Ins:T:3	0.00E+00	5.03E-05	1.30E-09	1.35E-05	5.15E-04	8.97E-04	1.17E-03	1.51E-02	0.00E+00	1.40E-46	4.26E-03	1.05E-02	2.22E-04	2.06E-03	9.65E-07	1.82E-03	1.25E-02	1.50E-03	1.00E-02
1:Ins:T:4	2.32E-03	6.78E-04	0.00E+00	0.00E+00	1.18E-03	1.73E-04	0.00E+00	7.13E-05	3.73E-03	1.65E-07	0.00E+00	1.39E-03	6.90E-04	3.17E-04	8.39E-05	6.35E-03	9.11E-03	1.25E-02	2.77E-02
1:Ins:T:5	2.31E-02	3.46E-05	7.09E-08	3.07E-03	3.86E-04	1.66E-03	5.67E-07	8.61E-46	1.75E-03	4.36E-03	5.66E-03	1.64E-03	7.71E-03	7.88E-03	3.06E-03	8.48E-03	7.49E-02	1.00E-02	7.18E-02
2:Del:R:0	4.31E-04	1.93E-04	1.12E-03	0.00E+00	1.11E-03	4.14E-03	1.37E-03	4.31E-03	6.37E-03	2.98E-03	7.27E-08	7.30E-03	6.01E-03	1.01E-02	8.28E-03	1.85E-03	6.12E-03	2.97E-03	5.20E-03
2:Del:R:1	1.72E-04	8.42E-04	0.00E+00	0.00E+00	2.15E-04	1.67E-03	0.00E+00	3.93E-04	4.33E-03	2.59E-03	6.91E-04	4.89E-03	1.13E-03	4.31E-07	3.56E-04	1.76E-02	1.03E-02	3.67E-03	5.60E-03
2:Del:R:2	2.33E-04	4.39E-04	3.81E-04	1.40E-46	1.97E-04	4.30E-04	1.48E-03	3.25E-04	2.01E-04	1.20E-03	6.78E-04	2.05E-03	9.11E-04	0.00E+00	1.22E-07	3.68E-03	3.60E-04	4.80E-04	2.72E-03
2:Del:R:3	4.20E-46	2.06E-07	2.19E-08	3.49E-03	5.00E-04	1.08E-07	5.85E-08	2.24E-04	3.39E-03	4.51E-04	6.44E-02	8.56E-02	2.52E-07	1.44E-06	2.80E-46	8.04E-04	1.53E-06	1.15E-03	5.20E-03
2:Del:R:4	3.99E-03	1.49E-07	2.44E-02	2.66E-07	2.68E-02	2.72E-07	1.47E-07	9.40E-02	1.30E-07	4.77E-07	6.33E-07	2.25E-06	3.22E-02	1.61E-44	3.99E-07	1.74E-03	2.71E-02	1.41E-06	2.20E-08
2:Del:R:5	8.07E-05	7.52E-05	1.70E-07	9.16E-08	2.74E-08	1.92E-04	2.46E-24	9.66E-08	2.69E-04	5.03E-05	1.87E-07	1.40E-46	2.85E-07	2.04E-07	1.78E-07	2.19E-04	1.43E-06	1.08E-03	3.68E-07
3:Del:R:0	1.03E-03	6.24E-09	4.09E-04	0.00E+00	0.00E+00	3.49E-03	2.77E-04	0.00E+00	4.46E-03	4.47E-03	0.00E+00	1.81E-07	1.23E-02	1.27E-03	1.67E-07	0.00E+00	5.87E-03	1.07E-02	1.53E-03
3:Del:R:1	5.48E-04	7.94E-04	0.00E+00	0.00E+00	1.39E-03	2.19E-03	2.73E-04	5.61E-07	1.56E-05	2.84E-03	2.03E-03	1.01E-02	2.92E-03	1.19E-03	3.51E-08	6.54E-03	6.85E-03	4.62E-04	1.39E-02
3:Del:R:2	0.00E+00	1.42E-04	1.40E-46	2.03E-04	1.09E-08	1.08E-03	7.64E-04	6.33E-03	5.82E-04	0.00E+00	1.11E-03	1.74E-03	1.30E-07	1.25E-03	1.90E-03	1.90E-03	6.95E-03	1.49E-03	2.43E-03
3:Del:R:3	3.60E-07	5.14E-05	4.74E-09	0.00E+00	0.00E+00	1.07E-03	2.90E-04	0.00E+00	1.12E-03	2.17E-03	1.12E-07	4.97E-08	7.88E-05	5.54E-04	1.40E-09	8.88E-04	1.40E-07	7.68E-05	2.28E-03
3:Del:R:4	4.34E-08	7.19E-08	7.21E-08	1.83E-02	1.51E-07	1.28E-07	4.53E-07	2.91E-02	1.87E-46	3.15E-07	4.00E-02	4.57E-02	1.34E-06	1.80E-07	8.23E-07	2.59E-07	5.55E-07	3.28E-02	9.23E-07
3:Del:R:5	1.82E-08	1.74E-08	4.10E-08	2.50E-08	3.65E-08	3.85E-08	3.93E-08	1.62E-07	4.98E-08	1.27E-07	1.19E-07	1.46E-07	2.54E-07	1.19E-07	1.92E-07	1.26E-07	1.92E-07	7.75E-08	2.15E-07
4:Del:R:0	6.92E-04	9.32E-05	4.74E-05	0.00E+00	0.00E+00	2.00E-03	1.52E-03	2.73E-04	2.82E-03	1.95E-03	1.31E-05	3.33E-03	2.04E-08	9.20E-08	0.00E+00	8.08E-04	1.30E-03	1.70E-03	3.58E-03
4:Del:R:1	3.84E-04	1.57E-04	4.62E-05	0.00E+00	3.50E-04	1.07E-03	4.22E-04	3.21E-04	1.94E-03	1.86E-03	7.33E-08	6.89E-04	1.82E-03	1.74E-03	7.80E-03	7.07E-03	2.35E-03	1.68E-03	3.16E-03
4:Del:R:2	2.51E-05	5.74E-05	2.45E-04	2.86E-08	0.00E+00	5.50E-04	1.49E-04	8.22E-04	1.75E-04	7.57E-05	1.11E-07	2.75E-07	6.53E-04	0.00E+00	6.46E-04	2.31E-04	1.58E-03	2.67E-04	1.97E-04
4:Del:R:3	1.82E-08	1.74E-08	4.10E-08	2.50E-08	3.65E-08	3.85E-08	3.93E-08	1.62E-07	4.98E-08	1.27E-07	1.19E-07	1.46E-07	2.54E-07	1.19E-07	1.92E-07	1.26E-07	1.92E-07	7.75E-08	2.15E-07
4:Del:R:4	1.82E-08	1.74E-08	4.10E-08	2.50E-08	3.65E-08	3.85E-08	3.93E-08	1.62E-07	4.98E-08	1.27E-07	1.19E-07	1.46E-07	2.54E-07	1.19E-07	1.92E-07	1.26E-07	1.92E-07	7.75E-08	2.15E-07
