MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	6.27E-04	1.13E-03	1.35E-03	3.71E-03	5.69E-06	1.96E-02	3.34E-02
1:Del:C:1	3.70E-04	0.00E+00	0.00E+00	1.08E-03	2.16E-04	2.30E-02	1.19E-02
1:Del:C:2	1.35E-04	0.00E+00	3.16E-04	5.42E-04	1.15E-04	9.63E-04	7.32E-05
1:Del:C:3	2.46E-04	1.74E-04	5.18E-05	5.30E-04	5.29E-05	2.00E-03	1.62E-03
1:Del:C:4	1.96E-04	0.00E+00	8.13E-04	1.22E-04	2.55E-04	1.54E-03	1.58E-03
1:Del:C:5	2.90E-04	0.00E+00	5.65E-04	4.27E-04	5.79E-04	2.24E-03	3.65E-04
1:Del:T:0	6.12E-04	4.35E-04	1.99E-03	2.05E-03	5.81E-04	1.52E-02	6.33E-03
1:Del:T:1	2.86E-04	4.08E-04	4.78E-04	6.08E-04	6.76E-04	4.90E-03	2.27E-03
1:Del:T:2	6.78E-04	0.00E+00	7.12E-04	1.81E-03	6.28E-02	1.29E-01	7.87E-03
1:Del:T:3	6.02E-04	8.21E-05	1.36E-03	1.21E-03	1.22E-03	2.33E-02	1.11E-02
1:Del:T:4	5.47E-04	8.11E-05	2.37E-03	0.00E+00	7.54E-04	2.28E-02	1.38E-02
1:Del:T:5	3.78E-08	3.14E-08	5.00E-03	1.83E-06	5.21E-08	8.03E-02	1.22E-07
1:Ins:C:0	1.37E-08	4.35E-05	9.41E-09	3.01E-04	7.65E-08	3.63E-04	4.62E-04
1:Ins:C:1	8.08E-05	1.37E-04	0.00E+00	3.24E-04	1.50E-04	7.50E-04	2.11E-04
1:Ins:C:2	1.30E-04	2.81E-09	2.29E-04	2.32E-04	1.16E-08	2.18E-04	4.22E-04
1:Ins:C:3	1.66E-04	1.44E-04	1.50E-04	1.32E-04	5.36E-05	7.31E-05	8.89E-05
1:Ins:C:4	3.51E-04	1.52E-03	2.76E-04	2.37E-04	7.43E-04	7.24E-03	1.50E-03
1:Ins:C:5	1.09E-03	0.00E+00	1.15E-03	2.50E-04	1.10E-03	3.96E-03	9.04E-05
1:Ins:T:0	3.99E-04	6.29E-03	9.58E-04	9.55E-04	7.52E-04	2.92E-02	1.14E-03
