Samples	ID1	ID2	ID8	ID9	ID83A	ID83E
V1	78	0	0	0	52	158
V2	0	51	0	169	33	0
V3	21	52	0	110	0	72
V4	0	0	68	164	138	0
V5	30	0	0	0	44	198
V6	0	29	0	0	0	35
V7	17	88	108	0	36	0
V8	189	93	0	0	0	0
V9	0	179	0	0	0	48
V10	0	0	0	55	0	185
V11	0	0	94	0	134	64
V12	0	96	91	0	130	182
V13	155	0	0	0	63	0
V14	74	0	0	0	392	111
V15	19	83	104	0	0	0
V16	136	43	96	0	118	0
V17	43	0	0	145	127	75
V18	0	58	0	0	192	0
V19	44	40	0	0	171	0
V20	64	182	123	0	0	0
V21	0	0	0	181	53	113
V22	216	0	0	0	0	74
V23	0	0	0	0	199	0
V24	19	0	0	46	0	10
V25	58	139	0	0	0	0
V26	192	0	0	0	0	172
V27	0	0	148	0	0	0
V28	0	0	70	0	162	127
V29	0	0	0	111	209	0
V30	0	8	0	41	0	0
V31	0	203	473	0	0	0
V32	0	0	0	0	482	0
V33	88	0	0	112	0	0
V34	270	0	0	0	0	0
V35	0	332	0	189	0	0
V36	0	174	138	0	0	0
V37	0	0	295	50	0	0
V38	37	54	0	29	75	0
V39	40	94	0	195	80	0
V40	14	36	0	26	34	0
V41	64	73	0	178	0	0
V42	75	190	211	133	0	0
V43	58	0	0	112	55	106
V44	155	111	0	79	0	147
V45	0	103	109	0	108	0
V46	14	0	0	0	0	141
V47	93	0	0	0	351	0
V48	88	290	0	0	0	0
V49	29	0	0	159	0	216
V50	0	33	75	0	21	80
V51	0	0	0	0	290	0
V52	43	0	0	0	285	0
V53	0	705	0	0	0	0
V54	0	51	0	0	146	114
V55	319	46	0	0	56	0
V56	0	0	265	0	0	509
V57	0	0	276	0	0	0
V58	25	0	117	0	0	0
V59	0	0	0	0	0	561
V60	61	0	0	0	0	40
V61	14	62	106	0	26	0
V62	74	0	0	30	0	71
V63	249	40	0	0	81	0
V64	27	44	346	0	0	132
V65	0	0	32	15	0	33
V66	0	0	0	139	0	32
V67	0	10	0	0	108	0
V68	229	234	0	0	0	98
V69	0	0	143	0	31	54
V70	113	0	41	0	0	0
V71	137	0	0	0	136	0
V72	0	0	195	57	60	0
V73	0	27	27	147	0	0
V74	0	59	0	130	0	176
V75	10	0	0	50	0	0
V76	49	131	90	0	0	0
V77	0	109	0	80	138	0
V78	0	15	125	0	25	0
V79	91	110	79	0	68	0
V80	16	0	0	32	56	0
V81	8	0	0	0	0	0
V82	10	0	0	0	22	17
V83	12	0	0	114	0	34
V84	93	0	0	38	29	0
V85	0	129	0	0	0	0
V86	24	0	53	69	63	0
V87	448	0	0	0	0	64
V88	34	0	69	39	47	27
V89	106	34	132	0	0	0
V90	158	77	47	0	0	0
V91	0	81	0	165	96	0
V92	0	0	39	38	61	19
V93	0	0	33	27	37	23
V94	0	0	40	196	0	0
V95	52	71	39	0	0	0
V96	0	74	0	0	240	0
V97	89	34	167	0	0	0
V98	55	0	0	0	177	97
V99	20	0	78	0	72	50
V100	36	0	89	0	0	35
