MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
1:Del:C:0	4.09E-04	2.74E-08	1.13E-03	1.63E-07	4.20E-02	5.42E-02	4.11E-02	7.39E-04	1.55E-02	1.11E-07	1.14E-02	4.73E-06	9.32E-03
1:Del:C:1	1.83E-05	8.13E-08	0.00E+00	5.71E-04	1.23E-02	3.65E-02	1.49E-02	1.32E-03	9.76E-03	2.06E-03	2.94E-03	1.47E-07	2.69E-03
1:Del:C:2	1.38E-04	1.04E-04	9.00E-07	0.00E+00	2.15E-04	6.97E-04	1.31E-03	4.41E-04	2.32E-04	1.25E-03	5.55E-04	3.09E-04	1.42E-03
1:Del:C:3	5.42E-04	7.26E-04	0.00E+00	2.90E-04	3.11E-03	3.43E-03	1.79E-03	2.75E-04	4.17E-03	1.44E-03	2.53E-03	4.15E-03	1.56E-03
1:Del:C:4	2.91E-04	1.65E-03	0.00E+00	1.56E-03	4.60E-03	2.08E-03	5.46E-03	8.40E-03	1.68E-03	1.05E-03	3.21E-03	1.15E-02	4.92E-03
1:Del:C:5	7.89E-04	2.71E-04	7.83E-05	2.59E-03	0.00E+00	5.03E-04	1.19E-03	3.05E-03	8.76E-04	1.39E-03	1.38E-03	8.03E-03	1.11E-02
1:Del:T:0	7.82E-04	6.97E-04	0.00E+00	9.87E-04	1.99E-02	9.38E-03	2.21E-02	1.37E-03	3.66E-03	6.77E-03	4.37E-03	8.94E-03	6.04E-03
1:Del:T:1	5.47E-04	1.49E-04	2.90E-04	6.79E-04	9.60E-03	1.35E-02	1.42E-03	1.13E-04	4.65E-03	1.91E-03	2.00E-03	1.40E-46	1.43E-02
1:Del:T:2	1.21E-03	1.20E-03	6.36E-03	1.66E-03	3.17E-02	2.29E-02	9.37E-03	1.20E-02	3.57E-02	9.22E-04	1.92E-03	3.55E-03	4.80E-02
1:Del:T:3	1.19E-03	1.38E-03	1.36E-03	2.03E-03	5.22E-02	2.00E-02	4.23E-02	9.72E-04	3.04E-03	2.09E-03	3.66E-03	2.80E-46	6.95E-02
1:Del:T:4	0.00E+00	0.00E+00	2.15E-04	3.04E-03	1.28E-02	1.48E-02	1.23E-02	1.44E-03	2.78E-02	1.40E-46	3.09E-03	8.84E-03	2.19E-02
1:Del:T:5	2.28E-08	8.13E-08	2.80E-08	9.44E-03	5.60E-07	2.77E-07	3.55E-07	8.93E-07	8.20E-03	1.13E-03	8.09E-07	1.65E-07	9.00E-02
