Samples	ID83A	ID83B	ID83C
V1	21	23	30
V2	252	82	20
V3	83	44	81
V4	185	98	3
V5	96	36	61
V6	67	376	9
V7	197	2	0
V8	95	27	45
V9	114	0	25
V10	317	104	0
V11	0	218	0
V12	0	51	44
V13	140	33	0
V14	362	479	0
V15	62	45	227
V16	58	0	53
V17	132	71	15
V18	0	133	17
V19	0	86	64
V20	115	57	10
V21	312	0	0
V22	59	281	0
V23	63	1	207
V24	138	44	33
V25	79	7	236
V26	74	56	0
V27	74	23	243
V28	3	22	62
V29	275	0	21
V30	462	0	24
V31	70	0	31
V32	0	103	141
V33	173	40	10
V34	184	59	89
V35	137	99	366
V36	0	105	262
V37	0	145	18
V38	87	0	6
V39	15	26	9
V40	41	103	17
V41	194	123	111
V42	0	41	710
V43	140	299	27
V44	276	49	169
V45	154	35	8
V46	0	626	23
V47	26	68	28
V48	60	11	0
V49	92	71	2
V50	110	52	13
V51	70	187	118
V52	7	3	87
V53	9	155	5
V54	26	166	6
V55	38	33	226
V56	0	132	2
V57	116	81	78
V58	138	0	28
V59	22	0	611
V60	26	0	91
V61	262	46	0
V62	0	664	217
V63	434	134	80
V64	0	9	76
V65	261	92	53
V66	0	456	23
V67	321	122	0
V68	73	46	118
V69	28	877	13
V70	88	0	5
V71	5	354	77
V72	0	15	279
V73	203	0	39
V74	112	0	243
V75	178	141	24
V76	163	33	117
V77	218	238	9
V78	7	0	64
V79	107	0	278
V80	249	32	171
V81	89	8	75
V82	468	0	389
V83	218	0	17
V84	0	4	423
V85	16	60	13
V86	230	0	21
V87	46	54	126
V88	247	0	20
V89	232	6	92
V90	215	311	10
V91	158	4	55
V92	320	51	41
V93	4	115	25
V94	228	87	33
V95	33	132	28
V96	127	60	40
V97	66	13	17
V98	164	70	71
V99	50	37	55
V100	234	34	11
