Samples	ID83A	ID83B	ID83C	ID83D
V1	4.12E+00	3.61E+00	2.41E+00	8.03E-01
V2	1.67E+01	1.48E+01	9.02E+00	6.69E+00
V3	7.02E+00	1.20E+01	7.27E+00	2.65E+00
V4	2.00E+01	2.01E+01	3.36E+00	9.69E+00
V5	9.31E+00	5.96E+00	3.90E+00	8.25E+00
V6	2.51E+01	4.74E+00	6.75E+00	2.87E+01
V7	1.86E+01	1.89E+01	5.43E-01	1.16E+01
V8	8.13E+00	6.45E+00	2.49E+00	8.39E+00
V9	6.96E-01	1.28E+01	1.25E+01	2.61E+00
V10	4.90E+01	4.75E+01	1.17E+00	2.81E+01
V11	2.24E+00	2.11E+00	1.67E+01	1.82E+01
V12	1.19E+00	3.00E-01	4.81E+00	4.62E+00
V13	1.08E+01	6.19E+00	9.45E-01	1.12E+01
V14	4.90E+01	1.10E+01	2.67E-01	5.08E+01
V15	3.66E+00	7.39E+00	7.45E+00	2.64E+00
V16	5.67E+00	4.22E+00	3.29E+00	3.70E+00
V17	9.61E+00	5.24E+00	4.78E+00	1.04E+01
V18	0.00E+00	1.85E+00	1.16E+01	1.18E+01
V19	2.13E+00	1.03E+00	7.55E+00	7.03E+00
V20	9.25E+00	5.06E+00	3.11E+00	5.67E+00
V21	2.20E+01	2.09E+01	5.80E+00	1.28E+01
V22	1.37E+01	5.43E+00	5.75E+00	1.77E+01
V23	3.06E+00	7.42E+00	7.37E+00	2.21E+00
V24	2.01E+01	1.96E+01	1.43E+00	1.15E+01
V25	8.87E+00	9.18E+00	8.59E+00	6.75E+00
V26	8.80E+00	9.40E+00	1.18E+00	6.21E+00
V27	1.06E+01	1.04E+01	4.31E+00	7.18E+00
V28	1.08E+00	1.50E+00	2.86E+00	1.42E+00
V29	1.48E+00	3.30E+01	3.32E+01	2.03E+00
V30	1.31E+01	3.46E+01	3.79E+01	8.83E+00
V31	5.33E+00	5.65E+00	4.26E+00	3.50E+00
V32	2.59E+00	5.11E+00	8.79E+00	8.98E+00
V33	4.56E+00	8.51E+00	9.86E+00	2.68E+00
V34	1.82E+01	1.95E+01	1.36E+01	8.73E+00
V35	1.40E+01	7.70E+00	8.57E+00	1.24E+01
V36	1.03E+01	7.30E-01	7.06E+00	1.34E+01
V37	9.20E+00	2.77E-01	3.01E+00	1.17E+01
V38	3.24E+00	3.20E+00	2.58E+00	1.47E+00
V39	2.16E+00	2.10E+00	1.78E+00	9.83E-01
V40	5.09E+00	4.64E+00	5.70E+00	3.71E+00
V41	2.37E+01	2.48E+01	3.74E+00	1.44E+01
V42	1.05E+00	7.30E-01	8.51E+00	8.75E+00
V43	1.10E+01	1.97E+01	2.11E+01	2.48E+01
V44	1.42E+01	2.31E+01	2.22E+01	1.38E+01
V45	5.64E+00	6.90E+00	6.50E+00	3.66E+00
V46	4.10E+00	4.57E+00	5.34E+01	5.77E+01
V47	5.94E+00	6.21E+00	4.33E+00	2.35E+00
V48	6.33E+00	1.84E+00	9.43E-01	5.50E+00
V49	1.23E+01	3.49E+00	1.54E+00	1.08E+01
V50	5.25E+00	9.95E+00	9.29E+00	6.43E+00
V51	1.99E+01	2.46E+00	5.65E+00	2.17E+01
V52	3.20E+00	2.75E+00	1.80E+00	2.27E+00
V53	2.60E+00	4.19E+00	8.78E+00	1.01E+01
V54	5.91E+00	5.04E+00	1.08E+01	8.85E+00
V55	1.50E+01	8.95E-01	2.11E+00	1.45E+01
V56	5.28E+00	1.02E+00	4.86E+00	9.02E+00
V57	6.78E+00	9.77E+00	7.21E+00	7.38E+00
