MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	2.56E-03	7.75E-04	1.66E-03	3.95E-04	1.48E-03
1:Del:C:1	1.34E-03	3.58E-04	2.82E-04	2.73E-04	6.63E-04
1:Del:C:2	2.19E-04	1.24E-04	3.68E-04	2.12E-04	0.00E+00
1:Del:C:3	2.53E-04	1.44E-05	4.81E-04	2.75E-04	4.64E-04
1:Del:C:4	8.68E-04	0.00E+00	7.26E-04	3.19E-04	1.32E-03
1:Del:C:5	1.14E-04	9.20E-05	4.36E-04	2.53E-04	6.51E-04
1:Del:T:0	1.20E-03	3.69E-04	6.89E-04	5.18E-04	1.04E-03
1:Del:T:1	1.18E-03	2.27E-04	2.91E-04	3.18E-04	0.00E+00
1:Del:T:2	2.09E-03	1.63E-03	4.49E-04	8.38E-04	2.39E-03
1:Del:T:3	1.51E-03	7.69E-04	1.01E-03	4.58E-04	1.12E-03
1:Del:T:4	1.62E-03	2.30E-04	2.29E-04	6.74E-05	6.77E-04
1:Del:T:5	6.83E-08	2.33E-08	8.26E-08	2.53E-08	6.40E-03
1:Ins:C:0	8.20E-05	0.00E+00	7.29E-05	4.59E-05	8.25E-05
1:Ins:C:1	2.61E-09	1.23E-04	1.77E-04	7.74E-09	1.43E-04
1:Ins:C:2	1.41E-04	2.81E-09	1.47E-04	7.47E-05	1.14E-04
1:Ins:C:3	1.38E-03	2.96E-03	1.44E-07	4.96E-08	1.74E-07
1:Ins:C:4	4.16E-08	1.73E-04	1.15E-04	2.76E-04	3.46E-04
1:Ins:C:5	2.22E-04	0.00E+00	3.38E-04	9.92E-04	4.06E-04
1:Ins:T:0	9.40E-04	2.58E-04	3.07E-04	6.26E-04	4.61E-04
1:Ins:T:1	5.69E-04	5.62E-05	1.20E-03	1.63E-04	9.04E-04
1:Ins:T:2	2.99E-04	1.70E-04	0.00E+00	1.32E-04	0.00E+00
1:Ins:T:3	2.67E-04	1.31E-04	7.71E-04	5.53E-04	6.36E-04
1:Ins:T:4	2.93E-04	2.12E-04	0.00E+00	5.83E-04	5.37E-04
1:Ins:T:5	4.62E-08	3.24E-04	1.42E-07	2.10E-03	1.15E-07
2:Del:R:0	3.90E-04	3.59E-04	2.68E-04	2.98E-05	7.29E-05
2:Del:R:1	4.32E-04	4.29E-04	5.39E-04	1.94E-04	4.58E-04
2:Del:R:2	1.45E-04	0.00E+00	4.10E-05	1.30E-04	3.72E-04
2:Del:R:3	2.94E-05	5.13E-05	6.14E-09	5.69E-05	2.39E-04
2:Del:R:4	6.35E-09	2.11E-09	3.73E-05	2.43E-08	1.07E-04
2:Del:R:5	2.75E-08	3.67E-08	3.93E-05	3.33E-08	4.95E-08
3:Del:R:0	3.26E-04	5.40E-04	9.05E-04	5.81E-04	1.02E-03
3:Del:R:1	3.67E-04	0.00E+00	1.09E-05	5.11E-04	4.97E-04
3:Del:R:2	1.99E-04	4.08E-05	2.02E-04	1.85E-04	2.99E-04
3:Del:R:3	4.64E-05	9.53E-05	5.28E-09	7.79E-05	1.82E-04
3:Del:R:4	2.64E-09	1.99E-09	4.30E-09	2.40E-09	7.17E-09
3:Del:R:5	3.65E-08	4.52E-08	7.32E-08	3.79E-08	8.77E-05
4:Del:R:0	2.55E-04	2.02E-04	2.51E-04	0.00E+00	1.42E-05
4:Del:R:1	5.10E-04	2.37E-04	1.20E-04	3.35E-04	0.00E+00
4:Del:R:2	1.17E-04	1.20E-04	4.86E-05	4.40E-09	1.37E-04
4:Del:R:3	2.64E-09	1.99E-09	4.30E-09	2.40E-09	7.17E-09
4:Del:R:4	2.64E-09	1.99E-09	4.30E-09	2.40E-09	7.17E-09
4:Del:R:5	1.72E-06	1.94E-03	2.90E-04	7.71E-04	8.31E-04
5:Del:R:0	7.81E-04	1.01E-03	1.11E-03	4.11E-04	0.00E+00
5:Del:R:1	1.92E-04	5.49E-05	2.29E-05	4.18E-07	2.98E-04
5:Del:R:2	9.22E-05	1.15E-06	8.97E-05	1.27E-08	1.68E-04
5:Del:R:3	2.64E-09	1.99E-09	4.30E-09	2.40E-09	7.17E-09
5:Del:R:4	2.64E-09	1.99E-09	4.30E-09	2.40E-09	7.17E-09
5:Del:R:5	2.64E-09	1.99E-09	4.30E-09	2.40E-09	7.17E-09
2:Ins:R:0	1.26E-07	1.35E-03	1.56E-04	2.46E-04	4.24E-04
2:Ins:R:1	2.57E-04	1.72E-04	4.35E-05	1.57E-04	1.71E-04
