Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.74,0.7,NO,N/A,59.81%,77.92%,131.56%,60.15%,99.4,0.5283,1.3767,0.218,0.579,0.759,0.33
3,0.67,0.47,NO,N/A,44.97%,63.98%,113.34%,50.06%,98.91,0.4111,1.2146,0.147,0.555,0.838,0.363
4,0.73,0.64,NO,N/A,34.99%,47.82%,118.2%,40.28%,96.78,0.319,1.332,0.094,0.527,0.896,0.396
5,1.0,1.0,YES,1.18e-03,20.78%,32.93%,116.08%,22.25%,95.03,0.2089,1.2751,0.041,0.521,0.954,0.4
6*,1.0,1.0,YES,Most Stab Sigs,16.43%,27.2%,60.74%,16.57%,51.51,0.143,0.3118,0.02,0.116,0.977,0.866
7,0.79,-0.3,NO,N/A,15.37%,27.75%,48.85%,16.17%,41.43,0.1543,0.3212,0.018,0.071,0.98,0.914
8,0.63,-0.32,NO,N/A,14.71%,26.57%,54.65%,15.35%,41.62,0.1489,0.3847,0.017,0.084,0.981,0.905
9,0.61,-0.48,NO,N/A,14.34%,24.69%,48.37%,14.18%,35.53,0.1397,0.3118,0.016,0.064,0.983,0.927
10,0.55,-0.37,NO,N/A,11.77%,23.11%,46.12%,13.14%,36.09,0.1304,0.3266,0.013,0.066,0.985,0.924
11,0.57,-0.77,NO,N/A,11.66%,23.12%,48.08%,13.33%,37.39,0.1308,0.3115,0.014,0.072,0.985,0.913
12,0.53,-0.14,NO,N/A,10.7%,20.32%,43.85%,11.38%,36.62,0.1223,0.3209,0.01,0.069,0.988,0.921
13,0.52,-0.38,NO,N/A,9.26%,19.1%,42.47%,10.22%,35.43,0.1165,0.2751,0.009,0.063,0.99,0.929
14,0.45,-0.53,NO,N/A,9.17%,19.57%,44.18%,10.38%,37.43,0.1173,0.3243,0.009,0.073,0.99,0.918
15,0.42,-0.8,NO,N/A,8.29%,18.13%,43.24%,9.07%,36.08,0.1131,0.3167,0.008,0.063,0.991,0.929
16,0.46,-0.75,NO,N/A,7.02%,17.57%,51.27%,9.03%,37.11,0.1081,0.3888,0.006,0.064,0.994,0.929
17,0.46,-0.75,NO,N/A,6.96%,16.66%,47.86%,8.63%,41.04,0.107,0.3356,0.006,0.087,0.994,0.901
18,0.45,-0.69,NO,N/A,6.09%,15.25%,46.59%,8.05%,37.8,0.1004,0.3426,0.005,0.073,0.995,0.917
19,0.42,-0.65,NO,N/A,6.43%,15.17%,41.5%,7.96%,30.57,0.0996,0.2855,0.005,0.048,0.995,0.946
20,0.43,-0.79,NO,N/A,5.62%,14.71%,37.84%,7.41%,27.25,0.0963,0.3046,0.004,0.036,0.996,0.959
