MutationType	ID1	ID2	ID8	ID9	ID83B	ID83D
1:Del:C:0	0.00015989	0.00482412	0.03982756	0.33493988	0.00284572	0.01042908
1:Del:C:1	0.00077352	0.00002210	0.02391594	0.09999423	0.00278590	0.00000006
1:Del:C:2	0.00000000	0.00000311	0.00333055	0.00269066	0.00052334	0.00024908
1:Del:C:3	0.00190761	0.00247208	0.00540315	0.01062542	0.00003942	0.00212563
1:Del:C:4	0.00070599	0.00385698	0.00127571	0.01249690	0.00000000	0.02852993
1:Del:C:5	0.00337011	0.01461542	0.00093373	0.00004480	0.00011121	0.00279787
1:Del:T:0	0.00131160	0.00790597	0.03424369	0.10510537	0.00006776	0.00225468
1:Del:T:1	0.00000000	0.00000000	0.01045208	0.04429364	0.00023496	0.00041142
1:Del:T:2	0.00093645	0.00703642	0.00899203	0.08586196	0.05897317	0.00096407
1:Del:T:3	0.00229585	0.02023474	0.00982504	0.11325066	0.00372262	0.00845471
1:Del:T:4	0.00429142	0.04711993	0.00127378	0.09441274	0.00084194	0.00110088
1:Del:T:5	0.00000000	0.81469723	0.01062034	0.00092983	0.00000027	0.00000022
1:Ins:C:0	0.00000000	0.00000000	0.00276427	0.00000000	0.00000001	0.00000000
1:Ins:C:1	0.00000000	0.00022703	0.00216912	0.00000193	0.00040816	0.00024975
1:Ins:C:2	0.00000000	0.00002620	0.00152700	0.00035262	0.00000002	0.00000000
1:Ins:C:3	0.00084599	0.00043005	0.00011652	0.00000000	0.47301841	0.00000014
1:Ins:C:4	0.00178553	0.00291185	0.00055418	0.00000216	0.00066577	0.00017502
1:Ins:C:5	0.02429654	0.00901754	0.00048949	0.00007370	0.00000000	0.00167381
1:Ins:T:0	0.00228382	0.00132856	0.00450798	0.01261448	0.00085514	0.00000000
1:Ins:T:1	0.00004030	0.00000000	0.00486870	0.01038527	0.00000000	0.04271662
1:Ins:T:2	0.00019286	0.00064703	0.00142964	0.00231466	0.00397417	0.00005110
1:Ins:T:3	0.00424327	0.00108288	0.00108729	0.00160089	0.00021810	0.01326281
1:Ins:T:4	0.01664913	0.00348746	0.00082262	0.00158536	0.00047699	0.00000000
1:Ins:T:5	0.89090647	0.00313258	0.02016125	0.00577248	0.00000051	0.00000048
2:Del:R:0	0.00068605	0.00016381	0.00876922	0.01317475	0.00136175	0.00051577
2:Del:R:1	0.00121997	0.00356888	0.01030715	0.00319854	0.00675084	0.00374886
2:Del:R:2	0.00047275	0.00184957	0.00053203	0.00118970	0.00000000	0.00000004
2:Del:R:3	0.00042672	0.00073904	0.00002710	0.00009590	0.00006780	0.00000001
2:Del:R:4	0.00005460	0.00088193	0.00027403	0.00000000	0.00000000	0.00017642
2:Del:R:5	0.00000000	0.00000000	0.00083308	0.00000000	0.00000010	0.00000014
3:Del:R:0	0.00012804	0.00001250	0.01096410	0.00285810	0.00189512	0.06147825
3:Del:R:1	0.00501109	0.00500326	0.00134887	0.00430191	0.00000000	0.00000949
3:Del:R:2	0.00076938	0.00228989	0.00037657	0.00127572	0.00005768	0.00085456
