Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
V1	292	133	117	82	85	31	2	0
V2	0	19	2	0	287	6	19	0
V3	84	0	0	0	8	154	147	3
V4	3	0	2	0	10	0	0	0
V5	190	117	3	114	30	20	22	0
V6	21	23	27	33	0	18	142	0
V7	165	1	62	0	33	15	65	3
V8	30	0	98	0	103	64	30	110
V9	6	10	81	6	4	24	3	6
V10	34	5	181	5	7	50	62	39
V11	21	115	99	157	191	180	115	0
V12	2	0	7	0	0	1	0	32
V13	8	96	30	53	19	0	5	0
V14	115	89	20	85	20	0	22	0
V15	132	0	47	0	25	46	1	58
V16	40	227	107	156	10	0	10	0
V17	43	38	19	10	5	0	0	21
V18	5	0	105	1	0	0	190	9
V19	16	7	0	34	1	20	17	13
V20	5	371	5	0	9	4	163	10
V21	32	20	47	44	17	3	15	3
V22	28	70	7	143	41	0	5	0
V23	6	0	3	0	1	0	68	0
V24	166	0	120	0	5	1	124	0
V25	16	0	2	0	1	7	114	30
V26	273	2	6	0	25	0	0	0
V27	0	42	101	60	7	0	9	86
V28	53	0	0	0	33	63	64	53
V29	2	0	4	0	0	27	0	23
V30	196	52	0	76	84	69	62	7
V31	0	126	45	124	16	0	3	0
V32	39	31	6	26	42	37	18	64
V33	1	218	178	107	8	0	3	0
V34	42	123	24	66	7	47	11	0
V35	29	0	283	5	31	62	12	17
V36	36	20	0	30	1	58	18	1
V37	1	0	1	0	6	3	3	9
V38	0	2	18	66	44	31	2	5
V39	33	0	32	0	36	1	0	22
V40	1	3	1	17	62	17	13	42
V41	4	8	16	21	34	45	0	13
V42	36	75	69	119	35	25	15	0
V43	2	28	5	12	15	0	1	0
V44	29	0	190	0	153	7	0	7
V45	1	13	0	5	36	68	0	23
V46	0	1	0	0	28	11	48	1
V47	0	0	146	3	3	49	2	11
V48	7	143	0	543	11	46	72	0
V49	58	0	24	0	155	0	5	17
V50	0	28	0	3	30	125	74	84
V51	0	110	5	0	11	187	9	0
V52	2	28	11	109	7	16	1	0
V53	41	8	58	36	5	0	1	0
V54	23	116	11	44	240	187	21	0
V55	48	2	73	47	76	2	5	43
V56	41	3	9	0	0	77	121	1
V57	115	154	21	46	50	10	7	0
V58	352	64	0	62	94	43	2	9
V59	0	71	49	118	25	0	19	0
V60	8	33	2	17	2	0	0	3
V61	0	4	7	68	45	100	1	0
V62	0	186	44	182	10	0	31	12
V63	0	274	112	27	8	45	54	126
V64	31	17	16	6	21	32	100	12
V65	0	7	102	4	11	0	1	9
V66	135	0	1	1	24	4	85	6
V67	22	0	0	0	36	0	0	4
V68	46	59	3	3	6	383	0	27
V69	44	1	0	2	4	80	0	0
V70	24	0	8	6	0	17	6	4
V71	8	87	326	145	123	0	1	18
V72	19	35	0	39	14	86	23	29
V73	2	23	4	0	0	82	29	12
V74	14	0	17	0	17	12	5	3
V75	12	38	7	2	20	58	6	18
V76	6	102	139	56	242	2	18	0
V77	2	0	6	0	0	2	5	0
V78	0	5	2	8	20	31	85	38
V79	114	0	0	0	0	44	6	89
V80	1	34	98	11	14	0	98	11
V81	116	0	0	0	92	0	1	0
V82	68	37	0	79	64	105	56	7
V83	23	0	54	1	50	41	37	0
V84	16	63	57	61	4	27	203	0
V85	45	0	26	153	22	4	98	40
V86	0	5	0	6	33	15	4	7
V87	96	46	8	0	24	17	0	53
V88	89	15	14	35	22	126	166	42
V89	63	18	0	2	53	116	1	29
V90	12	0	197	0	8	0	51	56
V91	9	45	10	24	53	2	3	8
V92	5	102	103	36	44	20	7	0
V93	6	24	26	64	128	53	37	0
V94	13	0	22	0	7	11	6	19
V95	18	66	38	26	27	0	11	0
V96	56	15	27	34	67	56	4	9
V97	44	13	0	9	4	18	0	3
V98	30	0	82	0	85	222	21	38
V99	362	79	34	98	2	0	7	0
V100	1	17	49	0	63	2	6	44
