Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	2.29E+00	4.20E+00	1.77E+00	5.63E-01	2.00E+00	2.50E+00	3.49E+00	2.21E-01	7.61E-01	2.32E+00	2.67E-01	3.10E+00	6.41E+00	4.46E+00
V2	5.85E+00	2.48E+00	1.46E+01	2.56E+00	3.02E+00	2.10E+00	1.43E+00	3.67E+00	2.16E+00	2.74E+00	2.22E+00	1.33E+01	2.60E+00	4.10E+00
V3	2.10E+00	1.85E+00	2.49E+00	5.43E+00	2.57E+00	1.16E+00	4.16E-01	5.50E+00	1.90E+00	2.77E+00	1.82E+00	1.58E+00	1.45E+00	0.00E+00
V4	1.53E+00	0.00E+00	2.10E+00	2.92E+00	3.43E+00	1.27E+00	6.96E-01	3.76E+00	4.07E+00	1.26E+00	1.52E+00	3.58E+00	0.00E+00	4.05E+00
V5	2.75E+00	0.00E+00	1.02E+00	5.45E+00	2.13E-01	1.43E+00	5.47E-01	8.88E+00	5.80E+00	7.10E+00	0.00E+00	1.90E+00	0.00E+00	3.35E+00
V6	1.80E+00	3.70E+00	1.16E+00	1.85E+00	2.77E+00	2.79E+00	1.96E+00	1.70E+00	5.47E-01	2.48E+00	2.47E+00	2.57E+00	1.89E+00	2.53E+00
V7	3.98E+00	2.31E+00	2.90E+00	1.13E+00	9.43E-01	1.46E+00	2.44E+00	1.07E+00	1.24E+00	1.90E+00	8.57E-01	2.89E+00	2.59E+00	2.77E+00
V8	1.08E+00	2.99E+00	1.89E+00	8.57E-01	7.37E-01	3.50E+00	1.12E+01	1.23E+00	7.22E-01	9.40E+00	1.07E+00	1.56E+00	2.37E+00	8.31E-01
V9	2.40E+00	1.48E+00	7.78E-01	4.00E-01	1.62E+00	0.00E+00	1.35E+00	4.90E-01	0.00E+00	1.78E+00	1.22E+00	1.32E+00	1.70E+00	2.54E+00
V10	1.09E+00	2.35E+00	2.49E+00	7.52E-01	9.88E+00	4.08E+00	3.97E+00	7.42E-01	3.80E+00	5.23E+00	1.08E+01	3.50E+00	2.46E+00	1.04E+00
V11	1.59E+00	1.99E+00	2.67E-01	0.00E+00	2.76E+00	2.69E+00	3.09E+00	0.00E+00	2.67E-01	1.69E+00	4.06E+00	2.38E+00	3.66E+00	1.41E+00
