MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
1:Del:C:0	4.41E-03	5.03E-04	1.34E-03	1.16E-07	2.94E-02	1.37E-02	1.73E-03	3.34E-02	1.25E-07	2.89E-03	5.10E-03	2.40E-02	3.08E-02	1.76E-02
1:Del:C:1	0.00E+00	1.24E-03	2.34E-03	0.00E+00	4.34E-03	9.42E-04	2.63E-03	1.92E-02	4.98E-04	7.48E-03	3.46E-03	3.84E-02	1.61E-02	3.31E-02
1:Del:C:2	7.34E-05	2.51E-04	1.29E-08	4.46E-05	8.37E-04	1.15E-03	0.00E+00	1.52E-03	1.50E-04	5.99E-04	1.62E-04	4.30E-03	0.00E+00	3.07E-03
1:Del:C:3	1.11E-03	6.41E-04	4.61E-04	2.71E-04	1.09E-03	1.72E-03	3.82E-04	4.44E-03	1.00E-03	3.73E-03	3.93E-03	4.48E-03	5.45E-03	3.88E-03
1:Del:C:4	8.33E-04	5.11E-05	4.81E-04	1.85E-04	2.82E-03	6.15E-04	0.00E+00	4.42E-03	0.00E+00	4.93E-04	1.56E-03	1.14E-02	4.22E-03	1.96E-03
1:Del:C:5	8.18E-03	2.16E-08	1.45E-03	0.00E+00	2.01E-05	9.72E-04	0.00E+00	6.79E-07	6.61E-07	1.57E-02	1.27E-02	1.62E-03	2.78E-07	3.53E-03
1:Del:T:0	3.09E-03	4.18E-04	1.64E-03	2.97E-04	6.94E-03	7.45E-03	0.00E+00	2.47E-02	0.00E+00	8.79E-03	4.77E-03	4.40E-02	2.55E-02	3.45E-02
1:Del:T:1	1.99E-04	1.06E-04	1.44E-03	7.32E-05	5.43E-03	1.34E-03	2.25E-04	7.36E-03	1.22E-04	1.77E-03	5.12E-04	4.32E-03	7.61E-03	2.53E-03
1:Del:T:2	2.69E-03	3.38E-03	1.40E-03	2.79E-04	8.63E-03	9.00E-04	2.96E-05	1.25E-02	7.56E-05	7.06E-03	4.81E-03	9.22E-04	2.15E-02	2.21E-02
1:Del:T:3	4.81E-03	0.00E+00	1.54E-04	3.72E-08	1.94E-02	3.28E-03	2.73E-03	3.81E-02	2.93E-07	4.24E-03	1.13E-02	2.63E-03	1.72E-02	1.11E-02
1:Del:T:4	9.63E-03	4.15E-03	4.99E-04	0.00E+00	1.02E-02	0.00E+00	8.66E-03	1.79E-02	1.40E-03	2.39E-03	2.71E-03	3.48E-07	9.47E-02	1.40E-02
1:Del:T:5	2.44E-02	3.23E-03	6.89E-08	1.90E-03	3.62E-08	1.31E-03	2.03E-08	1.38E-07	4.51E-07	2.54E-07	6.68E-02	3.48E-07	1.15E-01	7.72E-02
1:Ins:C:0	2.18E-08	7.98E-04	8.47E-08	1.47E-07	2.82E-08	8.99E-04	1.92E-08	2.31E-08	1.39E-08	1.69E-03	1.90E-06	5.41E-04	6.66E-08	1.26E-07
1:Ins:C:1	3.12E-04	2.50E-04	5.72E-05	1.50E-04	1.77E-04	5.16E-04	7.25E-09	1.10E-03	3.33E-04	6.20E-04	2.96E-04	1.28E-03	1.87E-04	6.68E-04
1:Ins:C:2	1.79E-04	3.36E-06	6.14E-05	2.10E-08	6.95E-05	7.25E-05	7.80E-07	3.59E-04	1.08E-04	4.20E-04	1.96E-04	1.72E-03	1.61E-07	1.73E-03
1:Ins:C:3	0.00E+00	4.00E-03	2.78E-04	0.00E+00	5.51E-04	0.00E+00	1.58E-03	4.42E-05	5.63E-04	2.96E-04	0.00E+00	1.64E-08	3.80E-04	1.25E-03
1:Ins:C:4	1.53E-03	6.01E-09	1.10E-04	8.04E-04	3.15E-04	6.42E-04	1.35E-07	0.00E+00	9.40E-04	3.57E-03	9.14E-03	7.15E-03	4.54E-04	1.20E-03
1:Ins:C:5	9.98E-04	3.37E-04	4.14E-03	2.87E-04	5.47E-04	4.87E-04	1.40E-46	1.09E-03	5.65E-04	1.43E-02	2.80E-02	1.75E-02	7.73E-04	9.61E-03
1:Ins:T:0	2.63E-04	1.15E-03	7.71E-04	3.54E-04	2.66E-03	1.28E-03	4.28E-04	3.00E-03	4.57E-04	2.57E-03	1.64E-03	3.27E-03	3.10E-03	8.49E-03
1:Ins:T:1	0.00E+00	2.25E-08	2.22E-04	9.13E-05	2.16E-03	6.67E-04	1.23E-07	6.71E-03	1.11E-04	3.03E-03	1.13E-03	4.50E-03	5.92E-03	3.91E-03
1:Ins:T:2	4.52E-04	0.00E+00	2.18E-08	1.10E-08	0.00E+00	6.26E-04	9.68E-04	9.79E-04	1.94E-08	6.69E-04	8.60E-04	1.33E-03	1.32E-03	2.35E-04
1:Ins:T:3	1.13E-04	1.69E-04	9.82E-04	1.01E-04	2.89E-05	1.73E-07	1.90E-04	3.57E-04	0.00E+00	8.54E-05	9.11E-08	1.38E-04	3.54E-08	4.59E-04
1:Ins:T:4	8.29E-04	3.50E-04	1.88E-03	0.00E+00	0.00E+00	1.88E-04	0.00E+00	3.46E-08	3.56E-04	1.80E-05	2.20E-04	1.66E-02	4.86E-04	1.10E-02
1:Ins:T:5	8.67E-29	4.56E-04	1.02E-02	1.56E-06	1.48E-03	3.77E-03	1.58E-07	2.60E-03	1.74E-07	1.18E-03	1.09E-02	1.00E-02	1.51E-06	1.06E-01
2:Del:R:0	1.09E-05	1.01E-04	4.53E-04	0.00E+00	2.71E-03	2.25E-03	0.00E+00	4.33E-03	2.95E-04	1.22E-03	0.00E+00	8.97E-03	1.20E-03	7.07E-03
2:Del:R:1	8.24E-04	0.00E+00	7.67E-04	0.00E+00	0.00E+00	2.20E-03	8.59E-04	2.12E-03	0.00E+00	4.76E-04	1.07E-03	6.01E-03	1.04E-02	3.49E-03
2:Del:R:2	5.90E-04	1.38E-08	3.92E-08	3.07E-04	2.31E-08	0.00E+00	2.49E-08	4.93E-04	2.85E-06	9.90E-04	1.74E-03	6.36E-04	1.40E-07	7.98E-04
2:Del:R:3	6.42E-08	4.51E-08	5.87E-08	3.39E-07	1.41E-07	8.10E-07	3.07E-08	4.80E-08	3.04E-02	3.57E-08	1.29E-02	2.56E-07	1.52E-07	1.16E-07
2:Del:R:4	2.11E-04	1.35E-08	3.37E-08	1.52E-04	1.36E-07	0.00E+00	1.13E-08	5.98E-08	2.92E-04	1.89E-08	2.51E-04	3.68E-07	1.35E-04	8.44E-05
2:Del:R:5	2.04E-08	3.59E-08	5.56E-08	3.21E-08	5.39E-05	1.62E-04	7.38E-05	3.54E-04	3.48E-08	1.70E-04	3.90E-08	2.00E-04	4.85E-04	6.98E-08
3:Del:R:0	2.16E-04	1.92E-04	4.89E-04	7.96E-09	0.00E+00	3.23E-03	0.00E+00	6.08E-04	4.45E-08	4.44E-03	6.65E-08	8.02E-03	3.20E-05	2.77E-03
3:Del:R:1	1.04E-03	1.64E-04	7.48E-04	2.12E-05	1.52E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.10E-02	2.33E-03	3.65E-04	3.13E-04	7.19E-03
3:Del:R:2	5.56E-04	4.38E-04	1.79E-04	1.00E-08	2.80E-04	5.97E-04	1.63E-04	1.85E-04	1.63E-08	3.77E-03	1.65E-03	4.20E-04	3.59E-04	1.69E-03
3:Del:R:3	3.61E-04	8.08E-08	3.06E-08	0.00E+00	8.23E-05	3.53E-05	7.06E-09	8.62E-04	2.10E-04	5.69E-04	2.44E-07	0.00E+00	3.05E-04	7.08E-04
