MutationType	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1:Del:C:0	16	3	26	2	25	27	27	1	3	11	76	11	4	5	13	20	11	2	3	13	16	21	2	21	59	31	1	0	97	21	1	31	3	2	12	5	15	14	6	30	1	33	5	11	17	6	17	0	75	16	21	16	1	6	2	18	1	3	11	105	15	4	55	21	52	0	48	0	33	5	3	22	113	3	4	6	26	1	45	5	38	9	29	9	26	0	1	5	9	89	48	4	21	1	10	1	82	6	14	3
1:Del:C:1	1	0	3	2	13	12	8	0	1	8	26	8	1	0	2	1	6	3	0	10	4	11	4	3	8	7	0	0	12	10	0	4	2	0	5	4	12	6	4	6	3	8	2	3	3	5	19	12	18	19	15	2	2	2	0	8	2	0	4	16	7	3	9	9	7	0	20	0	5	2	1	9	19	1	2	4	11	1	11	1	16	3	3	7	10	0	1	2	5	19	7	0	4	0	1	1	26	3	8	0
1:Del:C:2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	1	0
1:Del:C:3	0	0	1	1	4	1	1	0	2	2	2	0	0	1	0	2	0	0	0	1	1	1	1	0	4	0	0	0	1	2	0	0	0	0	4	0	4	0	1	1	1	0	2	2	2	1	2	2	3	1	3	1	1	0	2	2	0	2	1	2	3	1	2	1	1	0	4	0	4	1	0	0	3	0	0	0	1	0	1	1	1	0	2	1	1	0	1	0	2	1	1	0	1	1	1	0	3	0	2	0
1:Del:C:4	3	1	0	0	2	1	0	0	1	0	3	1	2	0	1	0	0	0	0	1	3	3	1	1	1	2	0	0	1	0	0	1	1	1	0	0	2	0	0	0	0	0	0	1	2	0	0	2	9	0	2	2	0	0	0	2	0	1	0	7	0	0	2	0	1	0	8	0	0	0	0	2	2	1	0	0	0	0	0	0	1	2	1	2	0	0	1	1	0	3	5	0	0	0	1	0	6	0	0	2
1:Del:C:5	0	0	2	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	2	1	0	0	0	2	0	0	6	2	0	2	0	0	0	0	3	1	0	0	0	2	4	4	1	0	6	6	1	1	0	1	3	0	0	0	0	1	0	0	18	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	1	1	0	0	0	1	0	1	1	6
1:Del:T:0	5	0	4	3	11	16	7	3	9	8	38	2	2	3	3	6	15	1	5	1	10	11	6	4	13	9	0	0	21	3	0	6	9	1	14	2	15	6	6	19	0	9	2	12	5	4	10	6	20	15	31	9	3	0	4	25	2	4	1	20	8	1	14	15	19	1	40	0	12	2	1	9	14	1	1	5	10	5	10	1	17	4	14	4	2	0	1	2	3	41	8	0	9	0	7	0	27	1	8	1
1:Del:T:1	2	1	0	1	5	2	6	0	6	4	11	4	0	2	4	2	1	0	1	1	3	6	0	3	10	1	0	0	8	2	0	6	2	0	3	0	1	7	0	0	0	4	1	3	1	2	2	2	11	5	5	0	0	0	1	7	0	1	0	10	0	0	4	3	6	0	15	0	7	0	0	6	5	1	0	1	5	2	6	0	4	2	2	0	2	0	0	0	0	6	6	0	3	0	3	0	5	2	1	0
1:Del:T:2	7	1	4	1	6	6	3	1	4	4	13	7	3	1	4	4	11	3	0	2	3	7	3	10	3	7	0	0	12	3	2	2	1	0	1	3	4	4	0	1	0	10	4	6	2	1	5	2	18	7	12	7	2	1	4	11	0	3	1	21	8	3	8	5	19	3	14	0	13	4	0	0	16	0	1	1	3	1	3	3	7	2	11	4	9	0	0	2	3	17	3	4	1	0	4	0	16	2	8	2
1:Del:T:3	10	1	12	2	14	4	16	2	6	7	20	2	2	2	4	4	5	2	0	4	5	28	1	15	21	6	0	0	29	2	0	8	1	2	10	3	6	13	0	3	2	4	3	7	9	0	10	3	29	17	22	11	0	2	16	19	0	5	2	45	4	0	28	8	15	1	15	0	16	2	1	5	27	1	3	0	12	2	6	2	10	7	13	3	12	0	2	9	3	23	15	0	1	0	2	1	44	3	13	0
