Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
V1	3.00E+00	1.33E+00	1.05E+00	3.04E+00	1.81E+00	3.00E-01	1.70E+00	0.00E+00	0.00E+00	0.00E+00	3.42E-01	1.61E+00	1.46E+00	6.63E-01	7.00E-01	2.00E-01	3.00E-01	6.63E-01	2.67E+00
V2	2.01E+00	2.09E+00	7.42E-01	1.85E+00	2.34E+00	0.00E+00	1.18E+00	5.33E-01	0.00E+00	4.58E-01	4.22E-01	4.71E-01	0.00E+00	0.00E+00	1.40E+00	0.00E+00	9.80E-01	1.51E+00	0.00E+00
V3	2.67E-01	1.81E+00	2.62E+00	0.00E+00	2.13E-01	7.26E+00	2.92E+00	3.73E+00	2.31E+00	4.65E+00	5.39E+00	6.00E-01	1.44E+00	2.71E+00	0.00E+00	2.80E+00	5.96E-01	4.76E+00	2.24E-01
V4	5.26E+01	8.76E+00	7.00E-01	2.76E+00	2.35E+00	1.56E+00	9.87E-01	1.61E+00	0.00E+00	1.05E+00	2.11E+00	3.42E+00	7.30E-01	0.00E+00	1.52E+01	0.00E+00	9.49E+00	3.61E+00	5.63E+01
V5	3.95E+00	2.80E+00	1.83E+00	9.22E-01	1.75E+00	3.04E+00	0.00E+00	1.71E+00	2.93E+00	3.96E+00	1.62E+00	2.06E+00	1.03E+00	7.92E-01	3.00E+00	2.50E+00	3.58E+00	2.90E+00	3.76E+00
V6	1.83E+00	4.29E+00	2.35E+00	1.38E+00	1.86E+00	1.50E+00	2.90E+00	1.10E+00	7.03E-01	1.00E-01	2.05E+00	1.63E+00	0.00E+00	2.43E+00	3.16E+00	4.01E-01	4.71E-01	5.86E+00	3.24E+00
V7	2.49E-01	1.87E+00	2.17E+00	0.00E+00	2.83E+00	4.23E-01	6.00E-01	1.58E+00	2.41E+00	6.40E-01	1.67E+00	2.24E-01	3.94E-01	3.51E+00	3.11E+00	3.35E+00	1.86E+00	2.20E+00	0.00E+00
V8	2.20E+00	2.75E+00	7.56E+00	9.24E-01	8.92E+00	2.42E+00	1.66E+00	1.25E+00	1.21E+01	1.00E+00	1.29E+00	2.40E+00	2.49E+00	1.46E+01	4.18E+00	1.05E+01	0.00E+00	2.28E+00	6.93E+00
V9	3.01E+00	1.08E+00	1.40E+00	4.06E+00	2.42E+00	2.69E-01	8.62E-01	3.06E-01	6.86E-01	4.33E-01	0.00E+00	3.03E+00	3.89E-01	1.97E+00	4.00E-01	1.00E-01	4.42E-01	6.83E-01	2.96E+00
V10	9.34E+00	3.09E+00	2.03E+00	7.31E-01	2.98E+00	8.97E-01	2.99E+00	7.89E-01	2.92E+00	2.09E+00	8.47E-01	1.13E+00	3.32E+00	1.11E+00	2.94E+00	3.30E+00	1.45E+00	3.15E+00	9.40E+00
