Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V1	68	65	6	0	39	44
V2	82	67	14	0	33	0
V3	1	0	12	89	14	68
V4	579	92	76	44	0	6
V5	37	6	18	85	48	10
V6	15	39	45	16	51	82
V7	1	4	18	8	80	5
V8	13	53	19	21	314	0
V9	19	162	11	0	0	25
V10	125	16	28	14	79	15
V11	45	0	62	20	120	101
V12	2	22	89	208	73	8
V13	27	241	38	12	89	108
V14	172	0	1	57	1	21
V15	26	79	23	15	0	39
V16	1	150	0	67	0	1
V17	49	8	26	9	72	3
V18	45	0	42	45	255	69
V19	21	9	84	199	3	3
V20	1	63	49	11	1	90
V21	53	2	19	14	92	78
V22	74	50	7	3	10	30
V23	88	6	20	66	5	9
V24	25	72	2	84	69	0
V25	0	35	3	55	11	28
V26	52	71	13	72	32	61
V27	263	428	19	65	128	0
V28	10	23	427	11	2	9
V29	75	4	2	55	0	10
V30	22	131	2	2	0	18
V31	10	6	0	8	0	93
V32	52	0	56	27	73	340
V33	9	38	26	7	71	0
V34	22	40	15	0	7	2
V35	12	0	104	5	1	0
V36	45	82	8	0	51	3
V37	84	53	25	48	71	114
V38	58	0	66	17	0	1
V39	131	32	187	21	39	25
V40	10	52	178	128	42	76
V41	190	89	69	4	7	0
V42	4	3	0	187	53	42
V43	167	154	128	0	0	86
V44	4	29	0	0	1	8
V45	50	247	40	4	0	4
V46	13	1	8	91	6	4
V47	1	64	108	64	1	31
V48	1	25	134	14	63	21
V49	123	24	0	33	17	27
V50	92	7	36	191	0	137
V51	7	67	0	141	46	0
V52	1	230	0	39	83	0
V53	2	1	31	11	0	4
V54	27	0	36	1	6	47
V55	137	0	5	0	12	75
V56	4	7	23	48	9	13
V57	317	6	76	11	46	0
V58	2	49	13	4	0	0
V59	12	10	20	122	109	17
V60	249	26	38	29	23	5
V61	61	66	31	0	0	21
V62	78	0	7	31	144	29
V63	116	86	84	19	13	0
V64	86	2	186	75	24	6
V65	49	11	0	37	76	104
V66	2	0	243	42	135	183
V67	88	14	52	0	1	113
V68	2	8	14	5	55	0
V69	59	8	28	69	7	25
V70	0	9	2	0	17	143
V71	17	33	6	1	28	16
V72	25	78	17	0	20	289
V73	23	2	5	44	137	27
V74	219	277	100	185	149	0
V75	73	0	2	92	24	89
V76	36	86	0	112	33	0
V77	17	0	45	4	1	2
V78	0	91	23	26	21	90
V79	21	13	27	1	214	37
V80	19	0	35	20	132	26
V81	98	82	90	10	14	5
V82	283	28	50	97	227	0
V83	6	19	17	25	13	66
V84	8	314	150	3	0	59
V85	39	0	219	76	32	59
V86	9	9	0	50	13	28
V87	11	26	102	82	0	175
V88	5	78	218	4	29	0
V89	81	8	6	20	6	50
V90	2	40	6	20	72	0
V91	10	0	2	7	67	31
V92	20	182	30	219	0	13
V93	27	77	18	137	39	86
V94	1	7	102	5	0	20
V95	338	221	90	18	0	8
V96	45	108	38	120	0	1
V97	39	61	10	16	35	0
V98	62	25	10	25	29	15
V99	36	99	165	18	0	75
V100	1	36	0	0	9	12
