MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	9.69E-04	1.05E-04	6.29E-04	2.38E-02	1.64E-02	4.23E-03	3.53E-04	1.83E-02
1:Del:C:1	1.42E-04	7.47E-04	7.99E-05	1.47E-03	9.46E-03	4.13E-03	0.00E+00	9.59E-03
1:Del:C:2	1.01E-04	5.93E-05	1.59E-05	4.81E-04	1.14E-03	5.11E-04	7.54E-05	9.32E-04
1:Del:C:3	5.75E-04	1.24E-03	5.32E-04	3.68E-03	2.06E-03	1.06E-03	7.59E-03	4.71E-03
1:Del:C:4	2.33E-04	2.38E-03	0.00E+00	1.28E-03	6.27E-04	5.23E-07	1.08E-04	1.30E-03
1:Del:C:5	2.55E-04	2.36E-03	5.73E-08	1.49E-08	1.28E-03	5.96E-04	2.80E-04	8.91E-03
1:Del:T:0	7.21E-04	1.54E-03	9.59E-04	1.55E-02	2.11E-02	8.12E-03	1.41E-03	2.12E-02
1:Del:T:1	6.27E-04	4.47E-04	6.08E-03	1.90E-03	1.23E-02	2.66E-03	1.34E-03	8.06E-03
1:Del:T:2	2.86E-04	1.68E-03	0.00E+00	7.14E-03	1.67E-02	1.37E-03	9.03E-04	1.08E-02
1:Del:T:3	0.00E+00	2.17E-03	8.01E-04	9.97E-03	1.79E-02	1.73E-03	7.95E-04	1.78E-02
1:Del:T:4	3.12E-04	5.93E-03	1.57E-03	4.08E-03	5.17E-03	2.81E-03	2.79E-04	2.95E-02
1:Del:T:5	3.50E-04	9.37E-03	4.14E-03	7.29E-08	2.40E-08	8.26E-07	2.17E-07	9.38E-02
1:Ins:C:0	1.70E-07	3.11E-07	4.80E-02	5.89E-08	1.87E-03	1.19E-07	2.68E-08	3.25E-02
1:Ins:C:1	0.00E+00	2.27E-05	0.00E+00	2.50E-04	5.24E-04	5.22E-04	3.52E-05	2.84E-04
1:Ins:C:2	2.40E-05	5.28E-05	3.94E-05	2.90E-08	7.15E-04	2.99E-04	2.30E-08	2.62E-03
1:Ins:C:3	1.26E-08	1.76E-04	1.61E-08	1.26E-04	1.29E-04	2.50E-04	3.01E-05	6.98E-08
1:Ins:C:4	4.29E-04	4.02E-04	2.47E-04	0.00E+00	4.73E-04	0.00E+00	0.00E+00	3.32E-03
1:Ins:C:5	2.46E-03	1.19E-03	1.85E-05	2.50E-08	4.58E-08	1.06E-03	1.98E-04	3.13E-02
1:Ins:T:0	4.95E-04	2.08E-04	8.61E-05	1.19E-03	1.16E-03	6.24E-04	3.21E-04	1.63E-03
1:Ins:T:1	0.00E+00	0.00E+00	3.87E-04	1.53E-03	1.23E-03	1.22E-03	1.51E-05	3.19E-03
1:Ins:T:2	1.76E-04	4.19E-04	5.85E-04	3.48E-04	2.94E-04	3.10E-04	1.18E-08	1.33E-03
1:Ins:T:3	3.53E-04	2.78E-04	3.42E-04	3.12E-04	4.68E-04	9.47E-05	1.36E-04	1.96E-03
1:Ins:T:4	1.32E-03	7.70E-04	4.99E-04	9.77E-05	4.29E-04	1.08E-04	1.66E-08	1.62E-02
1:Ins:T:5	6.90E-03	2.37E-04	5.58E-04	1.98E-06	6.32E-03	1.35E-07	5.51E-05	3.09E-03
2:Del:R:0	2.71E-04	3.39E-04	0.00E+00	1.11E-03	2.30E-03	2.05E-03	0.00E+00	2.49E-03
2:Del:R:1	3.15E-04	9.10E-04	0.00E+00	8.20E-04	1.40E-03	1.31E-03	2.50E-04	2.36E-03
2:Del:R:2	2.00E-04	3.93E-04	1.38E-07	2.05E-04	8.46E-05	1.40E-04	0.00E+00	1.58E-03
2:Del:R:3	6.80E-05	3.00E-08	5.28E-05	4.55E-09	0.00E+00	1.16E-04	1.43E-04	2.94E-04
2:Del:R:4	1.16E-04	1.58E-04	7.51E-08	2.44E-07	2.81E-04	5.44E-05	2.89E-08	1.57E-03
2:Del:R:5	1.67E-08	1.70E-07	2.76E-05	1.31E-08	5.08E-04	4.31E-04	2.54E-08	5.25E-04
3:Del:R:0	4.20E-05	4.47E-04	4.97E-04	4.67E-04	2.05E-03	2.04E-03	6.02E-04	4.17E-03
3:Del:R:1	3.89E-04	1.56E-03	2.54E-04	9.09E-04	1.06E-03	1.52E-04	4.44E-04	2.55E-03
3:Del:R:2	2.60E-04	7.21E-04	3.95E-04	5.64E-05	3.21E-04	8.14E-04	2.19E-03	6.95E-04
3:Del:R:3	0.00E+00	1.04E-04	1.87E-08	2.39E-04	2.46E-06	1.19E-04	2.98E-07	2.29E-04
3:Del:R:4	6.36E-05	1.26E-04	6.59E-05	5.90E-05	0.00E+00	2.17E-04	8.32E-04	1.02E-08
3:Del:R:5	2.64E-08	4.80E-08	5.36E-08	5.50E-05	2.73E-07	1.90E-07	5.36E-08	1.15E-07
4:Del:R:0	0.00E+00	5.05E-04	1.77E-04	2.54E-04	1.22E-03	1.23E-03	0.00E+00	1.95E-03
4:Del:R:1	1.45E-04	6.76E-04	0.00E+00	7.53E-04	1.03E-03	5.26E-04	1.59E-05	2.05E-03
4:Del:R:2	5.39E-05	2.42E-04	3.64E-08	3.88E-05	1.18E-04	9.12E-05	1.40E-04	3.95E-04
4:Del:R:3	4.15E-08	4.28E-08	6.43E-08	7.04E-08	8.76E-05	2.71E-05	5.71E-08	5.41E-04
4:Del:R:4	2.45E-08	3.00E-08	6.63E-08	5.48E-08	2.96E-04	3.00E-05	5.91E-08	9.84E-05
4:Del:R:5	6.13E-09	9.49E-05	2.48E-08	4.49E-08	3.82E-07	7.97E-05	3.75E-08	4.49E-04
5:Del:R:0	1.87E-46	6.09E-08	5.17E-02	4.04E-03	9.94E-02	3.02E-02	1.49E-03	5.21E-02
5:Del:R:1	0.00E+00	5.86E-04	2.20E-04	2.48E-04	1.80E-04	3.76E-04	3.33E-04	2.01E-03
5:Del:R:2	3.82E-08	3.43E-08	4.73E-08	9.46E-05	8.46E-05	1.29E-04	4.78E-08	2.73E-04
5:Del:R:3	3.00E-08	4.36E-08	6.63E-08	1.26E-04	4.58E-05	6.40E-08	1.63E-07	1.84E-07
5:Del:R:4	4.34E-07	4.06E-08	7.42E-08	6.55E-08	9.79E-05	3.33E-05	5.00E-08	9.99E-05
5:Del:R:5	7.23E-09	2.12E-08	2.46E-08	2.59E-08	4.11E-08	2.57E-08	1.29E-08	1.49E-07
2:Ins:R:0	1.14E-04	1.92E-04	6.93E-09	3.95E-04	6.66E-04	5.45E-04	4.20E-07	8.67E-04
2:Ins:R:1	1.13E-08	1.11E-04	0.00E+00	4.39E-04	7.54E-04	5.37E-04	2.48E-04	1.56E-03
2:Ins:R:2	1.42E-08	1.07E-05	8.95E-05	1.32E-04	1.86E-04	9.78E-09	3.88E-08	4.37E-04
2:Ins:R:3	1.66E-04	1.69E-04	3.31E-08	2.16E-08	2.17E-04	3.31E-05	7.79E-10	7.75E-04
2:Ins:R:4	2.75E-04	3.83E-04	3.42E-04	1.05E-08	1.84E-04	0.00E+00	2.23E-08	1.82E-03
2:Ins:R:5	1.91E-03	3.33E-03	5.36E-04	4.45E-04	3.14E-08	9.47E-04	2.09E-04	2.39E-02
3:Ins:R:0	2.69E-08	3.07E-08	6.83E-08	6.41E-08	8.07E-08	4.52E-05	6.54E-08	4.39E-05
3:Ins:R:1	1.01E-04	7.57E-04	6.15E-04	1.31E-08	3.00E-03	1.92E-07	1.56E-02	2.56E-03
3:Ins:R:2	3.16E-08	1.79E-04	4.45E-05	1.00E-07	4.25E-05	3.09E-05	6.31E-08	3.46E-05
3:Ins:R:3	9.11E-05	6.74E-09	1.41E-05	5.73E-05	3.66E-04	8.49E-05	2.42E-08	5.87E-04
3:Ins:R:4	0.00E+00	1.26E-04	4.87E-05	3.21E-08	1.52E-08	2.46E-08	1.41E-08	1.18E-03
