MutationType	ID1	ID2	ID8	ID9	ID14	ID83F	ID83G
1:Del:C:0	0.00015989	0.00482412	0.03982756	0.33493988	0.01201601	0.00082036	0.01884290
1:Del:C:1	0.00077352	0.00002210	0.02391594	0.09999423	0.00194623	0.00000000	0.00894827
1:Del:C:2	0.00000000	0.00000311	0.00333055	0.00269066	0.00068370	0.00010603	0.00201179
1:Del:C:3	0.00190761	0.00247208	0.00540315	0.01062542	0.00048747	0.11830719	0.01584673
1:Del:C:4	0.00070599	0.00385698	0.00127571	0.01249690	0.00207192	0.00036414	0.00037694
1:Del:C:5	0.00337011	0.01461542	0.00093373	0.00004480	0.00237028	0.00052675	0.00240188
1:Del:T:0	0.00131160	0.00790597	0.03424369	0.10510537	0.01830980	0.00406975	0.01737970
1:Del:T:1	0.00000000	0.00000000	0.01045208	0.04429364	0.00085256	0.00332576	0.02383854
1:Del:T:2	0.00093645	0.00703642	0.00899203	0.08586196	0.01085642	0.00100249	0.00215451
1:Del:T:3	0.00229585	0.02023474	0.00982504	0.11325066	0.01718395	0.00166677	0.00628662
1:Del:T:4	0.00429142	0.04711993	0.00127378	0.09441274	0.01334790	0.00030836	0.01372002
1:Del:T:5	0.00000000	0.81469723	0.01062034	0.00092983	0.03861700	0.00000078	0.00000016
1:Ins:C:0	0.00000000	0.00000000	0.00276427	0.00000000	0.45438696	0.00000021	0.00076498
1:Ins:C:1	0.00000000	0.00022703	0.00216912	0.00000193	0.01277743	0.00002621	0.00130878
1:Ins:C:2	0.00000000	0.00002620	0.00152700	0.00035262	0.00065885	0.00000000	0.00151874
1:Ins:C:3	0.00084599	0.00043005	0.00011652	0.00000000	0.00156440	0.00025037	0.00000004
1:Ins:C:4	0.00178553	0.00291185	0.00055418	0.00000216	0.00153950	0.00000000	0.00198901
1:Ins:C:5	0.02429654	0.00901754	0.00048949	0.00007370	0.00229300	0.00038265	0.00689111
1:Ins:T:0	0.00228382	0.00132856	0.00450798	0.01261448	0.03261201	0.00087017	0.00242347
1:Ins:T:1	0.00004030	0.00000000	0.00486870	0.01038527	0.00316588	0.00006447	0.00397077
1:Ins:T:2	0.00019286	0.00064703	0.00142964	0.00231466	0.00177461	0.00000001	0.00121392
1:Ins:T:3	0.00424327	0.00108288	0.00108729	0.00160089	0.00117384	0.00011744	0.00080582
1:Ins:T:4	0.01664913	0.00348746	0.00082262	0.00158536	0.00478500	0.00000001	0.00683856
1:Ins:T:5	0.89090647	0.00313258	0.02016125	0.00577248	0.23274755	0.00000036	0.06449009
2:Del:R:0	0.00068605	0.00016381	0.00876922	0.01317475	0.00066200	0.00000000	0.00422474
2:Del:R:1	0.00121997	0.00356888	0.01030715	0.00319854	0.00660004	0.00040819	0.00331779
2:Del:R:2	0.00047275	0.00184957	0.00053203	0.00118970	0.00270193	0.00000000	0.00046051
2:Del:R:3	0.00042672	0.00073904	0.00002710	0.00009590	0.00039280	0.00068662	0.00009519
