Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
V1	63	6	47	0	31	39	36
V2	77	14	42	0	0	13	50
V3	0	12	0	86	48	38	0
V4	586	77	87	47	0	0	0
V5	36	18	7	85	43	0	15
V6	13	44	32	13	76	48	22
V7	0	19	0	8	54	0	35
V8	0	23	0	0	167	0	230
V9	18	11	162	0	0	26	0
V10	124	28	6	14	19	39	47
V11	45	63	3	18	163	34	22
V12	0	92	0	212	56	0	42
V13	17	36	175	6	36	123	122
V14	172	0	0	57	0	23	0
V15	24	22	70	14	18	26	8
V16	0	0	121	63	0	0	35
V17	47	26	5	9	44	4	32
V18	42	42	6	45	232	14	75
V19	22	89	0	208	0	0	0
V20	0	49	45	0	0	95	26
V21	51	19	3	13	87	57	28
V22	72	6	42	2	37	5	10
V23	88	20	7	65	14	0	0
V24	19	0	45	82	0	32	74
V25	0	0	28	53	0	35	16
V26	47	13	48	68	7	73	45
V27	246	19	294	53	9	19	263
V28	9	425	17	10	1	11	9
V29	77	0	0	56	13	0	0
V30	20	2	115	1	13	8	16
V31	11	0	0	0	0	106	0
V32	49	54	1	23	133	277	11
V33	6	27	27	6	40	2	43
V34	20	15	29	0	0	5	17
V35	13	109	0	0	0	0	0
V36	41	8	57	0	0	26	57
V37	80	24	42	45	96	75	33
V38	58	67	0	17	0	0	0
V39	129	188	25	20	41	11	21
V40	7	176	37	123	27	78	38
V41	187	69	68	0	0	0	35
V42	0	0	0	188	0	70	31
V43	161	127	137	1	14	79	16
V44	3	0	21	0	0	9	9
V45	51	41	243	0	0	0	10
V46	12	8	0	91	0	7	5
V47	0	107	50	61	0	32	19
V48	0	135	19	13	62	0	29
V49	121	0	16	32	0	36	19
V50	89	35	4	185	18	128	4
V51	0	0	47	141	0	17	56
V52	0	0	145	30	0	25	153
V53	2	31	0	11	5	0	0
V54	27	37	0	0	0	53	0
V55	134	5	0	0	29	61	0
V56	3	23	5	47	3	16	7
V57	326	79	0	0	29	0	22
V58	0	14	54	0	0	0	0
V59	8	20	4	122	61	23	52
V60	248	38	19	29	14	4	18
V61	60	31	65	0	0	23	0
V62	80	0	0	33	134	0	42
V63	113	84	63	17	0	0	41
V64	88	190	0	77	24	0	0
V65	44	0	0	36	0	145	52
V66	0	244	0	39	166	125	31
V67	83	50	12	0	41	82	0
V68	0	16	0	0	32	0	36
V69	58	28	0	67	0	30	13
V70	0	0	8	0	60	103	0
V71	16	6	25	0	27	9	18
V72	23	15	68	0	143	180	0
V73	21	0	0	47	125	0	45
V74	206	101	189	178	27	27	202
V75	73	0	0	89	62	56	0
V76	32	0	53	112	0	0	70
V77	19	50	0	0	0	0	0
V78	0	22	59	21	0	100	49
V79	16	28	0	0	182	0	87
V80	17	36	0	22	123	0	34
V81	96	91	61	0	0	12	39
V82	287	52	0	99	124	0	123
V83	0	16	10	23	0	77	20
V84	4	146	264	1	37	32	50
V85	38	219	2	74	53	35	4
V86	8	0	5	48	0	36	12
V87	11	99	24	79	0	183	0
V88	1	219	54	2	6	3	49
V89	78	5	9	18	38	23	0
V90	0	6	31	19	43	0	41
V91	9	2	3	6	79	3	15
V92	17	30	155	211	9	7	35
V93	24	17	60	130	55	63	35
V94	0	103	0	0	0	23	9
V95	346	93	203	0	0	0	33
V96	44	38	97	119	0	0	14
V97	36	11	36	13	2	5	58
V98	61	10	20	24	33	3	15
V99	35	164	95	19	0	80	0
V100	0	0	25	0	0	16	17
