MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	6.67E-04	4.57E-04	6.97E-04	2.04E-03	3.34E-03	6.08E-04	7.30E-03
1:Del:C:1	1.67E-04	4.90E-04	1.56E-07	1.46E-03	3.28E-03	0.00E+00	4.52E-03
1:Del:C:2	7.00E-05	5.49E-05	1.75E-05	4.61E-04	5.29E-04	8.00E-05	1.01E-03
1:Del:C:3	6.13E-04	5.75E-04	5.00E-04	1.03E-03	9.23E-04	8.22E-03	2.10E-03
1:Del:C:4	2.83E-04	3.77E-04	0.00E+00	6.07E-04	3.20E-04	3.64E-04	2.06E-04
1:Del:C:5	2.48E-04	6.09E-04	1.44E-08	2.96E-08	8.90E-04	2.68E-04	1.29E-03
1:Del:T:0	6.80E-04	8.37E-04	3.07E-04	2.41E-03	4.77E-03	1.26E-03	6.54E-03
1:Del:T:1	5.16E-04	5.37E-04	3.01E-03	1.61E-03	1.94E-03	1.22E-03	5.89E-03
1:Del:T:2	3.07E-04	6.44E-04	1.34E-04	2.07E-03	1.11E-03	5.43E-04	1.18E-03
1:Del:T:3	0.00E+00	1.55E-03	1.06E-03	2.67E-03	1.00E-03	8.52E-04	1.97E-03
1:Del:T:4	4.17E-04	1.79E-03	1.74E-03	1.66E-03	1.40E-46	2.06E-04	3.74E-03
1:Del:T:5	5.33E-04	4.54E-03	5.09E-04	2.80E-08	3.44E-03	2.50E-07	1.60E-07
1:Ins:C:0	1.40E-07	2.26E-07	4.40E-02	8.11E-08	1.21E-07	1.19E-07	7.65E-04
1:Ins:C:1	9.25E-09	4.97E-05	2.99E-05	1.96E-04	4.48E-04	1.77E-05	6.65E-04
1:Ins:C:2	5.63E-05	8.40E-05	4.93E-05	1.23E-08	6.17E-04	0.00E+00	4.79E-04
1:Ins:C:3	5.19E-08	8.90E-05	1.23E-08	1.32E-04	7.33E-08	1.56E-04	2.93E-08
1:Ins:C:4	4.86E-04	3.12E-04	2.48E-04	1.59E-05	0.00E+00	0.00E+00	9.98E-04
1:Ins:C:5	1.70E-03	6.54E-04	5.92E-07	1.33E-05	1.05E-03	2.13E-04	6.43E-03
1:Ins:T:0	5.35E-04	2.33E-04	5.57E-05	7.88E-04	5.70E-04	3.53E-04	1.95E-03
1:Ins:T:1	0.00E+00	0.00E+00	4.08E-04	7.65E-04	1.52E-03	5.06E-05	1.40E-03
1:Ins:T:2	1.86E-04	3.23E-04	1.53E-04	3.38E-04	4.91E-04	8.28E-09	7.69E-04
1:Ins:T:3	2.50E-04	3.43E-04	3.15E-04	3.38E-04	1.30E-05	1.17E-04	4.49E-04
1:Ins:T:4	1.13E-03	4.40E-04	2.81E-04	1.02E-04	1.86E-04	8.86E-09	6.29E-03
1:Ins:T:5	2.51E-03	2.60E-04	1.27E-03	4.08E-04	6.21E-04	1.27E-07	6.36E-02
2:Del:R:0	3.89E-04	2.58E-04	0.00E+00	6.12E-04	1.40E-03	0.00E+00	2.14E-03
2:Del:R:1	3.02E-04	4.91E-04	0.00E+00	4.63E-04	1.39E-03	2.63E-04	2.14E-03
2:Del:R:2	1.91E-04	3.99E-04	4.24E-09	1.86E-04	4.34E-04	0.00E+00	4.61E-04
2:Del:R:3	5.26E-05	1.62E-08	6.17E-08	6.68E-09	9.89E-06	1.71E-04	9.52E-05
2:Del:R:4	1.22E-04	1.37E-04	7.57E-08	1.62E-08	2.02E-04	1.55E-08	1.79E-04
2:Del:R:5	1.06E-08	3.39E-08	2.14E-05	1.29E-08	3.57E-04	2.47E-08	5.90E-04
3:Del:R:0	1.55E-28	0.00E+00	4.34E-04	3.65E-04	2.37E-03	8.24E-04	2.77E-03
3:Del:R:1	3.17E-04	3.91E-04	2.98E-04	5.66E-04	4.89E-04	4.61E-04	8.77E-04
3:Del:R:2	2.39E-04	3.74E-04	4.07E-04	7.74E-07	4.32E-04	3.09E-03	1.45E-03
3:Del:R:3	0.00E+00	8.76E-05	1.09E-08	1.50E-04	0.00E+00	6.39E-05	1.31E-08
3:Del:R:4	7.25E-05	1.37E-07	1.14E-04	3.76E-07	4.35E-07	8.87E-04	8.37E-08
3:Del:R:5	3.02E-08	4.56E-08	6.02E-08	3.91E-05	2.93E-05	5.14E-08	3.65E-05
