MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
1:Del:C:0	1.82E-07	5.04E-04	1.40E-46	3.28E-02	8.57E-03	4.17E-08	2.26E-03	8.45E-03	1.60E-02	1.16E-02	5.13E-02	3.78E-02	3.70E-02	2.01E-02	5.09E-03	2.89E-02	5.14E-02
1:Del:C:1	6.35E-04	0.00E+00	2.98E-08	1.94E-02	1.12E-03	1.54E-04	6.04E-08	8.40E-08	2.72E-02	1.25E-02	4.58E-46	4.04E-02	1.12E-02	6.24E-02	7.78E-03	8.57E-03	1.43E-02
1:Del:C:2	9.70E-07	0.00E+00	1.10E-04	5.62E-04	7.01E-04	8.07E-04	0.00E+00	1.37E-03	1.35E-03	3.67E-03	2.31E-03	1.01E-03	1.96E-03	2.67E-03	0.00E+00	5.00E-03	1.03E-03
1:Del:C:3	0.00E+00	2.75E-04	6.17E-04	8.33E-04	1.29E-03	1.60E-03	0.00E+00	2.52E-03	2.32E-03	6.61E-04	4.48E-03	6.63E-03	6.22E-03	2.12E-03	1.31E-03	3.05E-03	3.09E-03
1:Del:C:4	0.00E+00	2.68E-04	0.00E+00	2.57E-03	1.40E-46	4.87E-04	3.84E-04	0.00E+00	1.23E-03	7.38E-03	4.50E-03	3.70E-03	4.15E-03	3.93E-03	5.22E-03	1.08E-02	1.50E-03
1:Del:C:5	0.00E+00	5.08E-04	1.73E-03	0.00E+00	0.00E+00	1.07E-03	4.14E-04	1.70E-04	2.65E-03	7.21E-03	4.34E-03	4.14E-04	3.07E-03	3.32E-03	6.56E-03	4.23E-03	1.35E-03
1:Del:T:0	2.11E-08	6.48E-04	9.05E-04	8.77E-03	7.60E-29	1.32E-11	1.43E-03	4.22E-03	1.40E-46	2.80E-02	2.77E-02	2.92E-02	5.98E-03	3.58E-02	9.19E-03	2.97E-02	1.50E-02
1:Del:T:1	0.00E+00	1.50E-04	1.96E-04	7.98E-03	1.51E-03	1.40E-46	0.00E+00	2.99E-46	1.28E-02	3.55E-03	2.28E-02	1.43E-02	7.67E-03	2.16E-02	8.99E-03	2.23E-02	8.24E-03
1:Del:T:2	0.00E+00	2.11E-04	1.47E-03	1.06E-02	5.42E-07	1.40E-46	1.68E-07	0.00E+00	3.52E-02	4.25E-03	4.64E-02	1.91E-02	5.88E-02	2.16E-02	6.32E-03	2.79E-02	2.51E-03
1:Del:T:3	0.00E+00	8.13E-04	2.60E-03	1.54E-02	0.00E+00	5.47E-04	2.65E-03	1.23E-03	2.74E-02	9.72E-03	5.11E-03	5.59E-02	1.63E-02	3.36E-02	4.09E-03	1.29E-02	9.47E-03
1:Del:T:4	5.77E-04	6.63E-08	1.86E-03	1.36E-02	0.00E+00	9.75E-03	7.27E-03	0.00E+00	4.52E-02	2.80E-46	1.60E-02	1.01E-02	5.93E-02	8.58E-03	4.80E-03	3.58E-02	1.89E-02
1:Del:T:5	1.35E-07	1.28E-07	1.83E-02	2.90E-22	3.95E-07	4.74E-07	4.02E-03	3.47E-07	3.20E-02	1.70E-06	6.37E-08	6.64E-07	3.56E-03	4.28E-03	6.08E-02	7.79E-07	1.08E-01
1:Ins:C:0	4.33E-08	2.42E-05	5.74E-08	6.54E-05	8.76E-04	0.00E+00	4.08E-08	1.87E-06	1.28E-03	1.79E-03	9.66E-04	2.44E-04	7.15E-08	2.25E-03	2.86E-03	8.46E-05	0.00E+00
1:Ins:C:1	1.93E-08	0.00E+00	3.56E-04	0.00E+00	3.97E-04	3.70E-03	1.69E-03	2.91E-04	1.40E-03	4.05E-05	1.25E-07	1.80E-03	1.69E-03	9.45E-04	1.70E-03	8.24E-03	1.34E-03
1:Ins:C:2	2.74E-08	3.55E-06	7.42E-08	8.49E-08	3.58E-04	0.00E+00	1.09E-08	1.95E-04	1.63E-03	3.69E-04	8.54E-05	1.97E-04	1.98E-04	1.75E-03	2.85E-08	1.16E-03	9.87E-08
1:Ins:C:3	1.02E-04	2.26E-03	4.47E-08	5.51E-08	1.41E-07	2.81E-02	6.70E-02	2.02E-07	4.40E-02	2.87E-06	8.23E-08	2.21E-07	4.54E-18	3.64E-08	8.51E-03	1.89E-07	2.88E-03
1:Ins:C:4	1.42E-04	5.70E-04	2.07E-03	1.90E-08	2.57E-04	0.00E+00	1.58E-08	0.00E+00	7.79E-03	5.64E-04	6.25E-04	0.00E+00	1.69E-04	1.58E-03	7.18E-03	1.20E-03	2.81E-07
1:Ins:C:5	4.10E-03	2.56E-07	1.20E-02	8.27E-08	4.37E-07	9.42E-07	3.51E-03	7.41E-09	3.75E-03	1.76E-03	5.46E-03	1.95E-07	1.54E-02	4.01E-03	2.25E-08	5.00E-02	6.26E-03
1:Ins:T:0	3.11E-08	0.00E+00	5.17E-08	6.45E-04	1.85E-03	0.00E+00	5.41E-08	6.13E-07	2.28E-03	7.46E-03	5.20E-03	1.18E-02	3.57E-03	9.89E-03	1.36E-03	5.92E-03	1.19E-02
1:Ins:T:1	0.00E+00	1.46E-04	3.83E-04	2.13E-03	1.01E-03	0.00E+00	0.00E+00	2.64E-03	5.70E-03	2.39E-03	4.19E-03	3.12E-03	1.65E-03	4.35E-03	1.16E-02	6.25E-04	4.40E-04
