Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V1	8.41E-01	2.21E-01	6.50E-01	4.00E-01	7.46E-01	0.00E+00	0.00E+00	4.23E-01	3.00E-01	0.00E+00	0.00E+00	1.34E+00	2.24E-01	1.60E+00	1.32E+00	8.03E-01	6.54E-01	0.00E+00	6.29E-01	5.17E-01
V2	1.77E+00	3.46E+00	1.64E+01	1.32E+00	3.81E+00	2.32E+00	3.69E+00	2.06E+00	9.09E-01	1.02E+00	2.27E+00	1.44E+00	1.32E+00	2.46E+00	3.47E+00	4.28E+00	4.99E+00	1.92E+00	4.27E-01	1.83E+01
V3	2.44E+00	0.00E+00	2.56E+00	1.54E+00	3.04E+00	4.58E-01	7.31E-01	3.73E+00	0.00E+00	3.30E+00	5.21E-01	9.04E-01	4.01E-01	1.23E+00	8.31E-01	6.40E-01	2.00E-01	1.36E+00	8.62E-01	2.09E+00
V4	3.27E-01	4.57E+00	2.91E+00	1.14E+00	5.62E-01	1.09E+00	1.57E+00	3.27E-01	5.00E-01	0.00E+00	1.16E+00	9.89E-01	3.42E-01	1.35E+00	5.47E-01	2.31E+00	5.03E+00	0.00E+00	8.79E-01	2.84E+00
V5	4.33E-01	3.12E+00	2.39E+00	4.98E+00	3.14E-01	8.39E+00	3.39E+00	2.13E-01	2.66E+00	0.00E+00	4.27E+00	6.38E+00	5.52E+00	5.22E+00	1.77E+00	1.41E+01	3.80E+00	8.38E+00	7.54E+00	4.19E+00
V6	1.29E+00	1.08E+00	6.84E+00	2.62E+00	4.93E+00	1.92E+00	1.99E+00	8.72E+00	3.07E+00	6.59E+00	1.22E+00	1.45E+00	9.98E-01	2.23E+00	2.42E+00	2.09E+00	1.57E+00	1.48E+00	2.29E+00	7.32E+00
V7	6.87E-01	6.80E-01	2.21E-01	1.65E+01	3.35E-01	0.00E+00	0.00E+00	0.00E+00	1.27E+01	0.00E+00	1.03E+00	2.33E+01	1.11E+01	3.27E+00	8.81E+00	1.00E-01	0.00E+00	2.91E-01	0.00E+00	4.80E+00
V8	3.33E+00	1.49E+00	3.37E+00	5.43E-01	3.18E+00	2.91E-01	4.73E-01	3.48E+00	2.10E+00	4.27E-01	0.00E+00	1.54E+00	2.21E-01	4.73E-01	2.20E+00	0.00E+00	1.11E+00	2.80E+00	2.00E-01	3.40E+00
V9	2.12E+00	8.84E-01	4.82E-01	5.98E+00	4.04E+00	3.08E+00	2.07E+00	4.19E+00	3.42E+00	2.39E+00	2.63E+00	6.70E+00	8.50E+00	7.92E+00	2.67E+00	3.89E+00	0.00E+00	2.74E+00	2.37E+00	2.94E+00
V10	8.95E-01	0.00E+00	1.46E+01	9.97E+00	1.11E+00	0.00E+00	6.11E-01	1.04E+00	1.03E+01	5.86E-01	2.49E-01	1.48E+01	7.81E+00	1.80E+00	3.33E+00	2.69E-01	0.00E+00	7.57E-01	4.50E+00	1.48E+01
