Samples	ID83A	ID83B
V1	2.08E+01	2.08E+01
V2	3.43E+00	3.43E+00
V3	4.42E+00	4.42E+00
V4	6.10E+00	6.10E+00
V5	1.41E+01	1.41E+01
V6	6.13E+00	6.13E+00
V7	2.73E+01	2.73E+01
V8	1.73E+01	1.73E+01
V9	1.59E+00	1.59E+00
V10	2.61E+01	2.61E+01
V11	2.07E+00	2.07E+00
V12	1.73E+00	1.73E+00
V13	3.75E+00	3.75E+00
V14	4.91E+01	4.91E+01
V15	5.41E+00	5.41E+00
V16	1.51E+01	1.51E+01
V17	4.88E+00	4.88E+00
V18	9.03E+00	9.03E+00
V19	3.25E+01	3.25E+01
V20	2.61E+01	2.61E+01
V21	7.68E+01	7.68E+01
V22	1.77E+01	1.77E+01
V23	1.00E+01	1.00E+01
V24	4.63E+00	4.63E+00
V25	2.78E+01	2.78E+01
V26	1.15E+00	1.15E+00
V27	1.20E+01	1.20E+01
V28	2.08E+00	2.08E+00
V29	3.19E+01	3.19E+01
V30	4.83E+00	4.83E+00
V31	8.96E+00	8.96E+00
V32	9.33E+00	9.33E+00
V33	9.38E+00	9.45E+00
V34	9.47E+00	9.47E+00
V35	2.86E+00	2.86E+00
V36	1.49E+01	1.49E+01
V37	1.08E+01	1.08E+01
V38	2.50E+01	2.50E+01
V39	9.56E+00	9.58E+00
V40	1.00E+01	1.00E+01
V41	8.11E+00	8.11E+00
V42	4.22E+00	4.22E+00
V43	8.71E+00	8.71E+00
V44	5.72E+00	5.72E+00
V45	5.47E-01	5.47E-01
V46	4.30E+01	4.30E+01
V47	2.03E+00	2.03E+00
V48	1.27E+01	1.27E+01
V49	3.90E+00	3.90E+00
V50	3.40E+01	3.40E+01
V51	9.55E+00	9.55E+00
V52	5.48E+00	5.48E+00
V53	8.88E+00	8.88E+00
V54	2.60E+01	2.60E+01
V55	1.29E+01	1.29E+01
V56	3.22E+00	3.23E+00
V57	0.00E+00	0.00E+00
V58	1.72E+01	1.72E+01
V59	1.08E+01	1.08E+01
V60	6.77E+00	6.77E+00
V61	7.11E+00	7.11E+00
V62	1.23E+01	1.23E+01
V63	6.68E+00	6.68E+00
V64	9.32E-01	9.32E-01
V65	1.15E+01	1.15E+01
V66	1.56E+00	1.56E+00
V67	1.56E+00	1.56E+00
V68	1.30E+00	1.30E+00
V69	3.09E+01	3.09E+01
V70	1.00E-01	1.00E-01
V71	2.00E-01	2.00E-01
V72	9.77E+00	9.77E+00
V73	4.45E+01	4.45E+01
V74	6.34E+00	6.34E+00
V75	1.70E+01	1.70E+01
V76	1.07E+00	1.07E+00
V77	1.90E+01	1.90E+01
V78	7.31E+00	7.31E+00
V79	1.34E+01	1.34E+01
V80	3.97E+00	3.97E+00
V81	1.77E+00	1.77E+00
V82	1.63E+01	1.63E+01
V83	1.27E+01	1.27E+01
V84	9.75E-01	9.75E-01
V85	7.94E+00	7.94E+00
V86	1.70E+01	1.70E+01
V87	7.99E+00	7.99E+00
V88	4.69E+00	4.69E+00
V89	3.00E-01	3.00E-01
V90	7.59E+00	7.59E+00
V91	2.53E+01	2.53E+01
V92	7.21E+00	7.21E+00
V93	3.68E+00	3.68E+00
V94	2.11E+01	2.11E+01
V95	2.23E+01	2.23E+01
V96	2.94E+01	2.94E+01
V97	2.76E+01	2.76E+01
V98	2.46E+01	2.46E+01
V99	3.89E+01	3.89E+01
V100	5.12E-01	5.12E-01
