Samples	ID1	ID2	ID8	ID9	ID83A	ID83F
V1	163	0	63	157	185	0
V2	0	0	0	0	373	0
V3	26	0	226	0	97	0
V4	84	23	123	60	0	0
V5	0	119	0	0	138	104
V6	0	11	0	52	22	20
V7	0	261	0	0	289	85
V8	159	0	0	0	0	0
V9	7	0	0	18	47	0
V10	0	234	0	0	0	55
V11	0	66	50	71	0	170
V12	24	0	92	0	26	0
V13	0	14	14	19	46	0
V14	111	377	0	0	0	0
V15	7	13	15	43	48	0
V16	132	63	98	0	48	0
V17	0	16	28	38	47	0
V18	0	46	21	37	42	14
V19	19	172	0	66	0	0
V20	230	0	167	0	62	0
V21	31	0	0	492	41	0
V22	67	0	0	152	43	39
V23	29	27	0	44	96	0
V24	44	0	0	0	204	131
V25	0	87	0	146	105	0
V26	11	0	43	0	0	38
V27	21	50	0	53	47	20
V28	43	0	0	0	112	0
V29	0	242	0	0	0	0
V30	56	32	338	0	31	0
V31	49	67	41	0	22	0
V32	71	48	0	37	59	35
V33	33	112	182	45	0	0
V34	35	86	162	0	67	0
V35	0	13	0	71	0	74
V36	44	45	63	80	54	0
V37	0	0	0	90	99	31
V38	229	32	0	0	0	0
V39	19	34	30	75	0	0
V40	100	50	0	48	0	53
V41	65	0	0	89	0	0
V42	0	35	0	0	24	71
V43	76	0	0	0	28	17
V44	50	48	28	0	0	0
V45	0	0	286	0	0	0
V46	145	165	0	172	0	0
V47	22	0	21	0	40	0
V48	49	55	0	89	57	36
V49	47	0	104	0	0	0
V50	21	257	0	0	40	0
V51	0	0	0	79	41	24
V52	0	41	0	0	107	39
V53	0	0	106	68	97	0
V54	62	47	0	163	139	0
V55	140	62	0	0	138	0
V56	21	0	48	0	18	0
V57	46	117	180	0	0	441
V58	82	67	0	46	105	0
V59	112	0	0	0	0	32
V60	0	32	199	50	113	100
V61	0	0	0	69	22	57
V62	161	0	0	0	0	282
V63	96	0	0	0	158	60
V64	0	0	0	23	0	48
V65	24	0	33	112	23	36
V66	26	11	0	0	12	105
V67	8	12	0	0	21	79
V68	94	0	0	0	299	0
V69	235	0	0	0	0	47
V70	0	0	0	0	125	0
V71	11	0	16	0	0	36
V72	93	0	113	0	0	59
V73	0	348	0	114	0	0
V74	29	20	167	0	156	0
V75	168	25	76	0	0	58
V76	0	0	0	0	103	37
V77	0	0	0	415	0	475
V78	0	52	157	0	433	0
V79	0	0	0	122	88	0
V80	43	0	0	32	0	29
V81	0	34	245	0	0	80
V82	142	19	0	0	25	0
V83	10	0	65	107	15	0
V84	0	0	0	0	43	0
V85	0	0	0	90	134	0
V86	157	123	0	0	0	0
V87	44	0	0	96	403	0
V88	0	64	36	0	28	122
V89	0	52	122	0	0	44
V90	29	38	69	33	74	0
V91	0	0	0	407	0	297
V92	78	0	98	68	81	0
V93	43	0	0	44	76	107
V94	0	0	0	200	283	76
V95	149	31	0	161	206	0
V96	44	58	0	180	49	0
V97	74	24	0	205	0	0
V98	219	46	77	60	70	0
V99	0	73	0	222	0	0
V100	0	84	389	0	0	0
