Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
V1	0	0	41	0	71	108	0	48	12	0
V2	24	0	107	0	58	5	1	25	1	17
V3	25	8	16	2	31	0	6	18	0	0
V4	9	79	161	24	35	18	47	51	0	0
V5	26	1	66	4	22	0	5	0	0	12
V6	1	74	14	38	28	0	0	0	0	0
V7	1	40	0	0	89	56	0	0	24	0
V8	159	22	0	9	0	3	0	0	9	35
V9	30	3	41	38	0	3	7	24	26	48
V10	27	10	163	4	0	14	0	0	28	91
V11	113	148	0	73	0	0	49	0	23	8
V12	73	0	4	2	37	24	0	3	10	6
V13	102	31	0	49	36	25	33	0	11	16
V14	11	7	140	0	8	0	29	0	1	0
V15	28	0	103	97	0	29	11	0	13	114
V16	56	19	2	7	89	71	44	0	0	0
V17	24	261	6	7	65	115	45	0	37	0
V18	37	61	11	91	24	0	16	54	3	0
V19	56	161	71	27	37	0	41	31	0	20
V20	113	1	0	8	78	0	3	0	0	33
V21	2	120	225	262	22	24	85	0	9	0
V22	19	0	49	0	18	0	32	32	9	51
V23	16	0	1	56	36	0	0	0	3	6
V24	351	102	68	4	140	13	0	55	7	0
V25	4	84	0	231	18	0	8	0	0	0
V26	123	89	0	2	10	20	8	0	39	0
V27	72	44	7	9	10	0	42	0	0	0
V28	32	9	0	196	126	127	15	0	0	51
V29	1	28	0	12	1	1	20	0	0	0
V30	193	93	43	43	33	16	8	0	3	74
V31	24	36	125	23	205	0	46	0	1	55
V32	168	0	16	134	70	71	0	59	3	0
V33	49	56	0	0	134	0	0	4	8	29
V34	7	37	0	0	22	45	0	0	6	42
V35	39	262	135	3	165	205	96	79	55	0
V36	0	0	6	3	4	53	0	0	46	0
V37	0	80	200	3	4	21	0	18	10	0
V38	0	1	356	227	9	32	93	68	0	0
V39	145	226	0	40	20	0	52	0	3	0
V40	0	24	11	23	10	185	45	3	0	0
V41	322	0	14	37	11	163	0	169	67	0
V42	0	34	0	22	119	4	0	0	12	0
V43	18	0	7	63	7	0	3	23	0	0
V44	133	0	0	130	11	102	0	2	16	59
V45	51	47	30	11	15	0	18	0	9	0
V46	58	0	0	9	1	23	2	0	27	0
V47	147	60	26	45	45	0	0	0	0	22
V48	0	18	7	4	3	47	1	21	3	0
V49	131	28	64	16	19	233	0	0	38	0
V50	23	55	0	5	2	22	0	0	7	0
V51	7	145	15	130	5	32	10	65	6	0
V52	52	9	68	131	32	10	0	0	0	0
V53	18	57	113	34	28	0	52	0	0	0
V54	81	0	44	6	4	0	0	0	29	0
V55	200	16	0	22	6	0	30	13	11	0
V56	3	2	0	6	1	186	0	3	44	33
V57	21	0	0	74	98	0	0	0	0	0
V58	0	86	86	5	62	47	0	10	24	0
V59	6	127	56	0	220	39	0	0	27	92
V60	234	35	18	45	6	155	19	9	57	0
V61	6	0	0	2	4	0	0	9	1	0
V62	69	212	0	15	0	17	0	29	46	0
V63	85	83	180	33	10	17	43	0	0	0
V64	3	24	1	26	1	0	0	0	0	0
V65	2	19	2	0	98	0	7	1	0	13
V66	45	245	0	345	163	7	51	0	14	0
V67	1	102	56	287	29	3	20	0	0	0
V68	66	0	2	93	129	80	14	13	12	0
V69	22	0	1	1	16	3	0	0	5	0
V70	1	336	5	229	58	0	108	0	1	0
V71	3	36	54	1	7	14	0	3	0	0
V72	2	68	1	156	0	17	0	0	0	0
V73	86	37	3	0	79	0	4	12	1	0
V74	119	20	89	10	2	4	0	65	0	0
V75	0	14	87	22	129	55	37	11	0	0
V76	16	1	19	1	15	11	0	0	21	1
V77	8	91	115	43	5	63	58	0	0	0
V78	0	16	0	1	130	13	14	23	7	20
V79	0	14	21	115	8	9	22	15	7	0
V80	48	0	0	0	4	7	10	0	0	0
V81	5	8	0	116	3	12	0	31	2	0
V82	25	97	0	0	54	162	13	0	19	0
V83	15	0	91	51	5	0	1	37	10	0
V84	28	38	0	3	39	28	33	15	17	17
V85	169	1	0	0	1	11	0	6	24	9
V86	0	3	84	0	198	16	4	19	0	0
V87	31	15	3	2	0	68	33	0	21	0
V88	73	5	0	26	30	28	0	24	23	26
V89	9	2	168	15	49	47	26	23	24	0
V90	39	110	0	64	0	97	80	0	30	0
V91	0	16	45	10	19	0	0	0	0	36
V92	0	0	125	24	15	55	0	0	24	0
V93	156	18	1	2	3	1	21	0	6	0
V94	0	140	241	6	17	1	59	0	44	0
V95	15	75	0	8	69	50	0	20	33	0
V96	10	84	106	0	10	63	0	1	28	0
V97	31	0	301	0	4	16	10	0	18	3
V98	0	15	88	40	12	0	13	2	1	0
V99	2	92	32	39	46	0	0	76	0	14
V100	195	43	127	130	48	0	0	0	7	3
