Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
V1	4	0	0	48	67	93	43	0	0	0	3	22	0
V2	32	0	0	106	53	0	9	0	0	15	0	23	0
V3	1	6	0	15	28	6	0	0	4	0	46	0	0
V4	0	81	19	168	33	42	0	20	18	0	36	7	0
V5	15	1	3	56	24	0	2	0	0	0	22	13	0
V6	0	70	36	2	28	0	0	0	17	0	2	0	0
V7	1	23	0	0	59	23	32	27	0	42	0	0	3
V8	141	15	12	0	5	0	0	9	0	6	31	0	18
V9	42	0	41	36	0	8	0	7	16	25	0	13	32
V10	43	10	11	129	24	0	30	0	47	2	0	0	41
V11	67	145	67	0	0	0	29	23	0	0	83	0	0
V12	72	0	1	4	38	16	15	3	2	0	0	0	8
V13	93	33	48	0	38	40	0	17	0	1	18	0	15
V14	10	12	0	136	7	1	11	13	4	0	2	0	0
V15	17	0	108	89	31	27	13	7	0	0	60	26	17
V16	54	17	2	0	84	41	19	64	0	0	0	7	0
V17	23	260	2	6	64	88	66	33	0	0	0	6	12
V18	48	55	82	0	0	5	3	4	54	45	0	0	1
V19	6	142	20	74	17	0	0	41	0	39	105	0	0
V20	115	0	12	0	78	0	0	3	0	16	6	0	6
V21	1	120	253	197	16	0	13	93	38	0	0	4	14
V22	33	0	5	44	19	5	10	11	0	25	3	51	4
V23	6	0	55	0	36	0	0	0	0	0	18	0	3
V24	356	90	0	58	113	13	0	0	29	44	0	30	7
V25	4	85	227	0	18	0	0	3	6	0	0	0	2
V26	119	83	0	0	2	0	36	13	0	14	0	0	24
V27	71	48	7	0	9	7	0	24	13	0	0	5	0
V28	38	4	194	0	135	68	52	58	0	0	7	0	0
V29	1	29	12	0	0	0	0	21	0	0	0	0	0
V30	202	68	51	38	6	0	0	34	0	88	0	10	9
V31	36	36	30	117	201	0	7	31	0	31	0	26	0
V32	171	0	119	0	65	34	20	25	36	0	0	40	11
V33	52	41	3	0	103	0	0	0	0	66	0	0	15
