MutationType	ID83A	ID83B	ID83C
1:Del:C:0	1.28E-02	1.48E-02	1.08E-02
1:Del:C:1	3.51E-03	3.08E-03	1.90E-03
1:Del:C:2	2.06E-04	2.27E-04	2.19E-04
1:Del:C:3	4.69E-04	5.31E-04	5.19E-04
1:Del:C:4	5.29E-04	4.74E-04	6.62E-04
1:Del:C:5	2.87E-04	2.95E-04	5.51E-04
1:Del:T:0	3.68E-03	3.20E-03	2.77E-03
1:Del:T:1	1.91E-03	1.25E-03	1.47E-03
1:Del:T:2	2.64E-03	2.31E-03	2.91E-03
1:Del:T:3	3.87E-03	3.15E-03	2.87E-03
1:Del:T:4	3.63E-03	3.72E-03	3.29E-03
1:Del:T:5	8.07E-04	5.54E-03	3.16E-02
1:Ins:C:0	1.49E-08	2.91E-04	2.25E-04
1:Ins:C:1	1.60E-07	2.71E-04	1.20E-04
1:Ins:C:2	3.92E-05	2.84E-04	7.26E-05
1:Ins:C:3	3.96E-05	5.80E-05	8.75E-05
1:Ins:C:4	9.74E-05	1.18E-04	2.32E-04
1:Ins:C:5	6.40E-04	7.29E-04	5.37E-04
1:Ins:T:0	5.58E-04	6.85E-04	5.44E-04
1:Ins:T:1	2.19E-04	5.66E-04	3.26E-04
1:Ins:T:2	7.26E-05	8.25E-05	1.42E-04
1:Ins:T:3	2.21E-04	2.10E-04	2.41E-04
1:Ins:T:4	7.86E-04	6.71E-04	4.81E-04
1:Ins:T:5	3.31E-02	3.62E-02	2.27E-02
2:Del:R:0	5.45E-04	5.57E-04	3.43E-04
2:Del:R:1	1.95E-04	8.65E-04	3.88E-04
2:Del:R:2	4.91E-05	1.28E-04	1.63E-04
2:Del:R:3	4.49E-09	3.64E-08	6.42E-05
2:Del:R:4	6.51E-03	1.05E-02	2.15E-03
2:Del:R:5	5.74E-05	1.86E-04	9.24E-05
3:Del:R:0	2.13E-04	9.78E-04	5.45E-04
3:Del:R:1	3.99E-04	4.26E-04	2.85E-04
3:Del:R:2	5.13E-03	3.96E-03	4.23E-04
3:Del:R:3	1.55E-04	1.45E-04	1.55E-04
3:Del:R:4	7.95E-09	6.10E-09	5.71E-09
3:Del:R:5	1.54E-04	2.01E-04	9.27E-09
4:Del:R:0	1.73E-04	8.11E-04	4.27E-04
4:Del:R:1	2.47E-04	1.38E-04	1.93E-04
4:Del:R:2	9.19E-05	1.14E-04	1.25E-04
4:Del:R:3	4.54E-03	7.38E-03	1.45E-03
4:Del:R:4	7.95E-09	6.10E-09	5.71E-09
4:Del:R:5	3.22E-08	3.51E-08	3.18E-05
5:Del:R:0	1.06E-03	2.21E-02	1.21E-02
5:Del:R:1	3.58E-03	6.20E-03	8.69E-04
5:Del:R:2	2.12E-02	1.67E-02	1.05E-03
5:Del:R:3	7.95E-09	6.10E-09	5.71E-09
5:Del:R:4	1.15E-08	4.34E-05	8.13E-06
5:Del:R:5	7.95E-09	6.10E-09	5.71E-09
2:Ins:R:0	5.08E-05	3.01E-04	1.54E-04
2:Ins:R:1	1.45E-04	1.21E-04	1.67E-04
2:Ins:R:2	6.84E-05	8.08E-05	1.43E-04
2:Ins:R:3	1.81E-05	4.73E-05	6.44E-05
2:Ins:R:4	1.82E-04	1.50E-04	1.52E-04
2:Ins:R:5	7.82E-04	6.83E-04	4.28E-04
3:Ins:R:0	3.77E-05	1.18E-04	4.04E-05
3:Ins:R:1	1.08E-04	3.20E-04	9.21E-05
3:Ins:R:2	7.98E-06	7.44E-05	4.90E-05
3:Ins:R:3	7.95E-09	6.10E-09	5.71E-09
3:Ins:R:4	5.20E-05	3.12E-05	2.12E-05
3:Ins:R:5	8.32E-05	3.88E-05	1.24E-04
4:Ins:R:0	1.07E-04	8.33E-05	1.38E-04
4:Ins:R:1	1.07E-04	2.80E-04	1.72E-04
4:Ins:R:2	1.85E-05	4.18E-05	3.55E-08
4:Ins:R:3	3.12E-08	3.74E-08	3.69E-05
4:Ins:R:4	7.18E-08	2.89E-06	5.82E-05
4:Ins:R:5	1.05E-04	1.55E-04	9.96E-05
5:Ins:R:0	1.67E-05	4.40E-05	4.44E-08
5:Ins:R:1	1.27E-03	1.32E-03	6.18E-04
5:Ins:R:2	7.95E-09	6.10E-09	5.71E-09
5:Ins:R:3	1.10E-05	2.31E-05	5.53E-05
5:Ins:R:4	2.80E-05	2.97E-05	2.66E-05
5:Ins:R:5	1.22E-05	2.40E-05	7.09E-06
2:Del:M:1	4.11E-02	3.36E-02	1.12E-03
3:Del:M:1	1.41E-04	6.76E-04	3.96E-04
3:Del:M:2	1.69E-04	3.78E-04	2.10E-04
4:Del:M:1	4.38E-05	4.93E-04	2.89E-04
4:Del:M:2	1.68E-04	2.64E-04	1.65E-04
4:Del:M:3	2.06E-04	1.27E-04	1.10E-04
5:Del:M:1	5.10E-04	2.70E-02	1.48E-02
5:Del:M:2	3.88E-04	1.12E-02	6.21E-03
5:Del:M:3	4.88E-05	4.21E-03	2.49E-03
5:Del:M:4	1.26E-04	1.26E-03	7.81E-04
5:Del:M:5	1.09E-05	1.44E-03	8.29E-04
