Samples	ID1	ID2	ID8	ID9	ID83C	ID83E
V1	74	0	76	130	0	0
V2	63	35	140	0	0	0
V3	36	36	34	0	0	0
V4	35	22	234	0	107	26
V5	26	31	79	0	0	0
V6	32	0	0	0	81	42
V7	95	0	0	75	40	0
V8	0	237	0	0	0	0
V9	16	56	72	25	0	51
V10	31	64	242	0	0	0
V11	0	138	0	0	191	85
V12	42	84	0	33	0	0
V13	43	114	0	52	41	53
V14	0	0	196	0	0	0
V15	34	61	133	45	0	122
V16	92	60	0	103	33	0
V17	71	30	0	165	294	0
V18	26	55	48	0	71	97
V19	45	74	110	0	183	32
V20	98	138	0	0	0	0
V21	0	0	293	0	170	286
V22	38	46	93	33	0	0
V23	39	19	0	0	0	60
V24	141	386	109	0	104	0
V25	19	0	0	0	89	237
V26	0	146	0	46	99	0
V27	0	100	0	0	84	0
V28	145	46	0	157	0	208
V29	0	0	0	12	37	14
V30	57	228	59	0	104	58
V31	231	39	158	0	54	33
V32	69	190	51	78	0	133
V33	155	65	0	0	60	0
V34	39	20	0	58	42	0
V35	170	63	215	292	299	0
V36	0	0	0	112	0	0
V37	0	0	252	0	84	0
V38	0	0	473	76	0	237
V39	0	168	0	0	273	45
V40	0	0	0	255	46	0
V41	0	418	124	241	0	0
V42	130	0	0	0	38	23
V43	8	25	22	0	0	66
V44	29	158	0	124	0	142
V45	16	62	42	0	61	0
V46	0	73	0	47	0	0
V47	56	172	0	0	64	53
V48	0	0	22	62	20	0
V49	0	148	80	301	0	0
V50	0	27	0	26	61	0
V51	0	26	66	0	178	145
V52	32	55	80	0	0	135
V53	28	18	143	0	77	36
V54	0	102	62	0	0	0
V55	0	298	0	0	0	0
V56	0	0	0	278	0	0
V57	98	22	0	0	0	73
V58	65	0	112	55	88	0
V59	360	0	0	0	207	0
V60	0	277	0	251	0	50
V61	4	10	5	0	0	3
V62	0	106	0	0	282	0
V63	0	91	221	0	105	34
V64	0	0	0	0	26	29
V65	117	0	0	0	25	0
V66	175	51	0	0	281	363
V67	29	0	68	0	111	290
V68	133	75	0	106	0	95
V69	21	27	0	0	0	0
V70	65	0	0	0	419	254
V71	7	0	69	0	42	0
V72	0	0	0	0	78	166
V73	84	97	0	0	41	0
V74	0	155	154	0	0	0
V75	141	0	120	94	0	0
V76	17	19	25	24	0	0
V77	0	0	143	87	109	44
V78	173	0	0	51	0	0
V79	0	0	41	39	0	131
V80	0	54	0	15	0	0
V81	0	0	0	0	0	177
V82	55	27	0	184	104	0
V83	0	26	130	0	0	54
V84	52	43	0	70	53	0
V85	0	221	0	0	0	0
V86	210	0	114	0	0	0
V87	0	36	0	111	26	0
V88	43	103	0	55	0	34
V89	52	0	234	77	0	0
V90	0	45	0	167	139	69
V91	31	9	54	0	15	17
V92	14	0	144	62	0	23
V93	0	177	0	0	31	0
V94	0	0	327	0	181	0
V95	80	26	0	80	84	0
V96	0	0	134	76	92	0
V97	0	31	352	0	0	0
V98	10	0	104	0	17	40
V99	53	25	84	0	96	43
V100	49	216	152	0	0	136
