NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	46.652	16.985	11.509	10.741	0.083	0.992	70000.0
2	46.844	16.88	11.166	10.263	0.082	0.993	50000.0
3	50.29	18.159	12.351	11.423	0.09	0.991	30000.0
4	47.068	17.529	11.256	10.666	0.086	0.992	70000.0
5	45.582	16.441	10.915	10.02	0.085	0.993	60000.0
6	46.438	16.912	11.058	10.333	0.083	0.993	60000.0
7	45.714	16.309	10.775	9.571	0.081	0.994	50000.0
8	46.175	16.67	11.024	10.041	0.083	0.993	60000.0
9	41.816	15.014	10.116	9.227	0.081	0.994	90000.0
10	46.872	16.972	11.357	10.458	0.083	0.992	40000.0
