MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
1:Del:C:0	7.98E-04	2.00E-03	3.20E-07	4.31E-07	2.27E-03	4.16E-02	1.70E-03	3.74E-02	3.25E-03	3.48E-06	1.25E-02	1.65E-07	5.60E-02	1.33E-06	2.65E-02	1.01E-02	3.71E-02	1.70E-06
1:Del:C:1	0.00E+00	2.94E-08	1.10E-06	0.00E+00	4.34E-04	1.87E-02	7.47E-04	1.47E-02	1.91E-02	4.76E-03	1.08E-06	5.22E-03	2.60E-02	2.77E-03	2.61E-02	8.83E-04	3.41E-02	4.41E-03
1:Del:C:2	0.00E+00	3.30E-05	9.17E-09	3.06E-04	7.38E-08	5.36E-04	0.00E+00	7.16E-04	1.52E-03	8.24E-04	2.85E-03	4.85E-03	2.78E-03	1.93E-04	3.06E-03	1.36E-03	1.93E-03	7.22E-04
1:Del:C:3	5.56E-04	6.73E-04	1.30E-02	4.33E-09	9.49E-09	3.61E-03	1.20E-03	4.32E-03	1.00E-03	2.45E-07	1.56E-03	2.09E-03	2.76E-03	1.86E-07	1.41E-02	1.65E-03	1.86E-02	4.31E-03
1:Del:C:4	2.72E-08	5.70E-04	1.57E-07	1.23E-08	1.49E-03	2.18E-03	1.28E-03	8.23E-03	2.67E-05	6.71E-04	6.62E-03	3.07E-03	1.39E-02	5.03E-03	1.20E-02	1.34E-04	2.68E-02	4.47E-03
1:Del:C:5	2.14E-03	7.58E-04	0.00E+00	0.00E+00	1.19E-02	3.75E-09	4.48E-03	1.61E-03	1.43E-03	1.90E-03	4.03E-08	0.00E+00	2.32E-03	3.23E-05	1.40E-46	2.35E-02	7.94E-03	2.12E-03
1:Del:T:0	2.23E-03	1.40E-46	0.00E+00	1.42E-02	6.39E-03	2.43E-02	1.27E-02	1.87E-02	8.87E-03	1.30E-02	3.23E-02	1.39E-02	3.41E-02	0.00E+00	6.71E-02	3.69E-03	2.47E-02	2.01E-02
1:Del:T:1	1.19E-08	3.82E-08	3.38E-08	3.91E-08	5.08E-08	9.37E-03	4.40E-08	1.28E-02	1.46E-06	5.88E-07	4.97E-03	1.80E-07	4.21E-02	3.08E-07	3.86E-02	7.44E-08	2.08E-02	6.23E-03
1:Del:T:2	6.57E-14	2.77E-07	8.66E-09	2.45E-07	2.88E-08	2.36E-02	3.80E-03	1.32E-02	7.98E-08	7.47E-03	1.17E-02	3.27E-02	1.26E-02	1.67E-02	4.96E-02	6.56E-03	9.19E-03	2.08E-02
1:Del:T:3	3.56E-03	5.62E-03	9.08E-04	2.27E-02	3.12E-02	2.26E-02	5.78E-03	5.99E-03	3.09E-03	1.86E-02	4.78E-02	4.42E-02	1.99E-02	2.00E-02	3.98E-02	1.37E-02	2.43E-02	1.28E-02
1:Del:T:4	5.49E-03	2.49E-03	2.07E-02	9.65E-04	8.03E-03	1.66E-02	1.05E-01	5.39E-03	4.69E-03	1.36E-03	5.54E-02	1.96E-02	2.65E-02	2.80E-02	2.46E-02	2.90E-02	4.86E-02	6.70E-03
1:Del:T:5	6.95E-03	2.01E-03	1.09E-02	9.78E-04	4.89E-02	1.40E-46	8.13E-02	3.91E-07	3.27E-46	1.70E-02	3.54E-02	9.94E-03	4.88E-03	1.12E-03	2.90E-02	6.62E-02	8.93E-03	5.52E-02
1:Ins:C:0	4.06E-08	1.79E-07	6.29E-08	1.47E-07	1.02E-04	2.77E-04	5.29E-07	2.03E-08	1.24E-03	3.87E-04	2.90E-06	2.78E-08	0.00E+00	1.58E-03	3.33E-04	2.85E-03	1.72E-08	1.89E-03
1:Ins:C:1	5.03E-05	1.08E-08	2.32E-08	1.85E-04	2.08E-04	4.45E-04	2.23E-04	1.96E-04	1.35E-03	1.55E-03	2.45E-04	3.19E-03	2.15E-04	2.34E-08	1.52E-04	1.28E-03	3.54E-04	4.45E-04
