Samples	ID1	ID2	ID8	ID9	ID83A	ID83D
V1	0	21	0	198	130	0
V2	16	104	0	135	0	0
V3	22	58	0	0	187	34
V4	0	142	0	207	0	37
V5	15	63	0	33	0	84
V6	108	347	0	0	0	0
V7	199	727	0	0	143	0
V8	39	49	0	127	0	58
V9	54	18	0	179	0	35
V10	0	0	0	0	62	273
V11	0	128	0	0	111	23
V12	0	0	0	0	313	31
V13	34	0	0	92	0	162
V14	72	53	0	0	0	162
V15	46	19	52	57	70	37
V16	53	0	0	230	81	0
V17	39	0	32	0	0	63
V18	55	0	0	45	35	16
V19	0	170	0	86	0	0
V20	34	14	63	98	47	0
V21	0	161	56	215	0	0
V22	66	112	0	44	44	80
V23	332	0	0	0	0	0
V24	22	0	0	0	59	60
V25	122	141	0	0	56	165
V26	0	0	0	0	0	346
V27	0	54	0	0	53	215
V28	80	0	0	0	0	438
V29	0	110	0	0	226	0
V30	0	28	0	216	205	0
V31	21	14	0	0	60	79
V32	13	60	56	52	19	18
V33	45	44	234	180	0	0
V34	10	15	26	46	16	0
V35	17	0	0	0	32	81
V36	39	0	0	69	0	0
V37	65	68	101	0	0	62
V38	23	86	0	0	271	80
V39	0	0	0	90	415	0
V40	149	0	0	243	0	0
V41	0	37	0	23	14	16
V42	58	189	0	140	47	0
V43	53	0	30	54	0	0
V44	0	52	0	49	133	172
V45	0	0	0	0	0	374
V46	0	106	0	0	32	28
V47	39	0	111	120	0	0
V48	22	0	17	41	0	10
V49	22	80	0	70	0	53
V50	0	169	0	0	30	0
V51	60	157	218	0	80	0
V52	72	310	0	0	0	0
V53	101	98	35	60	0	79
V54	130	86	0	0	0	0
V55	53	0	95	83	28	0
V56	0	11	0	0	46	48
V57	0	96	0	200	0	33
V58	0	18	12	0	24	8
V59	28	0	0	20	0	51
V60	14	28	36	0	111	0
V61	0	18	0	26	75	79
V62	94	111	0	191	0	0
V63	0	56	80	70	420	0
V64	102	23	0	137	0	0
V65	0	19	12	0	0	0
V66	0	28	106	0	249	0
V67	67	21	0	0	38	0
V68	0	22	0	95	18	39
V69	24	0	0	0	205	127
V70	143	204	0	0	60	26
V71	350	0	0	117	0	273
V72	247	0	0	0	0	165
V73	0	104	0	272	35	0
V74	68	248	60	0	77	0
V75	29	0	0	0	310	69
V76	94	0	0	88	0	200
V77	59	69	95	0	95	0
V78	65	0	32	28	63	0
V79	0	40	0	0	0	230
V80	39	136	0	0	542	0
V81	322	122	0	0	0	0
V82	156	0	87	0	44	0
V83	60	0	0	209	53	0
V84	122	0	0	100	0	54
V85	38	0	0	99	0	53
V86	0	0	0	0	0	240
V87	119	29	234	0	0	106
V88	44	0	0	0	0	148
V89	16	0	106	0	0	48
V90	0	345	0	0	261	0
V91	70	146	0	0	196	0
V92	200	189	0	0	229	204
V93	11	116	0	0	0	0
V94	79	115	0	35	27	0
V95	0	42	0	0	76	53
V96	34	0	21	49	111	0
V97	0	0	82	156	47	22
V98	114	0	0	87	30	148
V99	68	0	0	0	0	117
V100	34	17	56	107	55	0
