MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	1.30E-02	0.00E+00	1.34E-03	4.70E-03	1.36E-03
1:Del:C:1	3.88E-03	1.98E-04	3.07E-04	2.30E-03	1.42E-04
1:Del:C:2	2.08E-04	2.18E-09	4.95E-09	1.65E-04	1.16E-07
1:Del:C:3	6.77E-04	2.38E-04	1.22E-04	5.26E-04	1.51E-04
1:Del:C:4	4.91E-04	9.85E-05	8.89E-05	4.30E-04	1.52E-04
1:Del:C:5	5.33E-04	3.54E-04	1.05E-05	1.15E-03	1.97E-04
1:Del:T:0	4.03E-03	4.65E-04	5.27E-04	2.71E-03	7.00E-04
1:Del:T:1	1.86E-03	1.62E-04	1.03E-04	8.86E-04	0.00E+00
1:Del:T:2	3.10E-03	5.31E-05	1.73E-04	5.31E-04	0.00E+00
1:Del:T:3	4.16E-03	2.59E-04	5.65E-04	9.70E-04	5.83E-04
1:Del:T:4	3.54E-03	5.58E-04	5.63E-04	4.22E-03	5.80E-04
1:Del:T:5	2.66E-02	8.34E-03	1.78E-03	5.98E-02	4.89E-03
1:Ins:C:0	1.31E-04	9.54E-05	0.00E+00	2.30E-04	1.43E-04
1:Ins:C:1	2.03E-05	6.53E-05	3.01E-05	1.96E-04	9.82E-09
1:Ins:C:2	7.95E-05	5.24E-05	6.24E-09	2.39E-04	6.54E-05
1:Ins:C:3	3.05E-09	1.41E-04	4.93E-09	1.24E-05	9.80E-05
1:Ins:C:4	1.09E-04	1.83E-04	8.59E-06	7.29E-05	7.54E-05
1:Ins:C:5	1.56E-04	6.55E-04	2.15E-04	8.48E-04	3.97E-04
1:Ins:T:0	4.97E-04	2.29E-04	8.96E-09	5.18E-04	0.00E+00
1:Ins:T:1	4.18E-04	3.01E-05	6.39E-05	4.49E-04	0.00E+00
1:Ins:T:2	3.44E-04	2.28E-08	7.56E-09	2.57E-04	3.98E-08
1:Ins:T:3	1.60E-04	1.53E-04	6.68E-05	2.88E-04	1.38E-04
1:Ins:T:4	1.55E-04	2.96E-04	2.34E-04	3.29E-04	1.81E-04
1:Ins:T:5	6.94E-07	8.50E-03	3.49E-08	7.53E-07	4.68E-08
2:Del:R:0	4.45E-04	1.93E-04	6.07E-05	5.52E-04	0.00E+00
2:Del:R:1	3.66E-04	1.80E-04	1.44E-04	5.92E-04	1.66E-04
2:Del:R:2	1.52E-04	1.76E-04	5.85E-05	3.16E-04	2.42E-04
2:Del:R:3	2.35E-09	7.91E-05	5.34E-05	1.13E-04	7.25E-09
2:Del:R:4	2.52E-08	2.02E-08	1.40E-05	4.24E-05	3.35E-08
2:Del:R:5	4.61E-09	2.88E-08	1.65E-03	2.31E-05	2.82E-04
3:Del:R:0	3.40E-04	0.00E+00	7.51E-05	5.00E-04	0.00E+00
3:Del:R:1	2.52E-04	3.58E-04	0.00E+00	4.49E-04	2.39E-04
