MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	0.00E+00	1.86E-03	8.93E-04	3.23E-04	5.80E-03	2.27E-03	3.35E-02
1:Del:C:1	2.51E-04	2.41E-03	1.45E-04	5.55E-05	3.23E-03	0.00E+00	1.53E-02
1:Del:C:2	6.82E-09	1.68E-04	7.30E-10	1.65E-07	2.65E-04	1.24E-07	1.87E-04
1:Del:C:3	3.22E-04	6.43E-04	7.19E-05	7.26E-05	5.61E-04	6.12E-04	2.35E-03
1:Del:C:4	2.55E-08	5.28E-04	6.22E-05	4.05E-05	5.49E-04	7.36E-04	1.75E-03
1:Del:C:5	6.02E-04	2.85E-04	5.52E-09	1.37E-04	1.21E-04	8.13E-04	4.59E-03
1:Del:T:0	5.31E-04	1.61E-03	3.34E-04	1.02E-03	2.37E-03	1.72E-03	1.28E-02
1:Del:T:1	1.73E-04	1.03E-03	4.30E-05	1.40E-46	9.32E-04	4.04E-04	4.90E-03
1:Del:T:2	2.66E-05	1.64E-03	1.24E-04	0.00E+00	1.31E-03	1.09E-03	7.95E-03
1:Del:T:3	2.82E-04	1.30E-03	4.16E-04	3.04E-04	1.27E-03	1.36E-03	9.27E-03
1:Del:T:4	1.36E-03	1.61E-03	5.08E-04	4.22E-04	0.00E+00	4.09E-03	2.25E-02
1:Del:T:5	5.30E-04	3.78E-08	2.76E-07	1.64E-06	8.39E-07	7.82E-03	3.28E-02
1:Ins:C:0	1.12E-04	0.00E+00	6.78E-09	1.84E-04	3.64E-04	1.07E-04	3.08E-04
1:Ins:C:1	5.89E-05	4.72E-09	3.97E-05	4.96E-09	1.64E-04	9.63E-05	2.50E-07
1:Ins:C:2	4.53E-05	8.20E-05	7.31E-09	5.90E-05	4.28E-04	1.38E-04	4.47E-04
1:Ins:C:3	1.51E-04	2.44E-09	1.01E-08	8.15E-05	4.10E-05	7.62E-09	7.94E-05
1:Ins:C:4	2.58E-04	1.08E-04	7.72E-06	8.97E-05	6.83E-05	1.92E-04	5.17E-04
1:Ins:C:5	1.88E-03	2.80E-46	2.43E-04	2.86E-04	4.48E-05	1.19E-03	9.05E-03
1:Ins:T:0	3.68E-04	5.54E-04	0.00E+00	4.02E-08	6.48E-04	5.81E-05	2.94E-03
1:Ins:T:1	6.29E-06	3.59E-04	6.56E-05	0.00E+00	3.37E-04	5.81E-05	1.94E-03
1:Ins:T:2	1.04E-08	4.10E-04	9.99E-10	2.86E-09	3.36E-04	1.10E-04	2.64E-03
1:Ins:T:3	2.86E-04	7.82E-05	8.52E-05	1.28E-04	1.12E-04	3.33E-04	1.46E-03
1:Ins:T:4	1.37E-03	3.17E-04	1.45E-04	2.45E-04	5.20E-04	4.61E-04	1.30E-02
1:Ins:T:5	3.05E-03	2.89E-07	5.43E-08	6.20E-08	8.30E-04	1.54E-07	9.53E-02
2:Del:R:0	1.86E-04	4.69E-04	3.38E-05	0.00E+00	1.39E-03	5.61E-04	2.32E-03
2:Del:R:1	2.27E-04	3.47E-04	1.91E-04	1.47E-04	1.11E-03	4.43E-04	5.46E-03
2:Del:R:2	1.28E-04	2.57E-04	4.12E-05	2.48E-04	1.73E-05	3.53E-04	2.24E-03
2:Del:R:3	1.61E-04	7.00E-09	6.59E-05	1.74E-08	9.12E-05	1.75E-04	7.27E-04
2:Del:R:4	2.00E-08	1.64E-08	1.34E-05	3.17E-08	2.88E-08	7.70E-05	1.41E-07
2:Del:R:5	3.05E-08	6.71E-09	1.72E-03	3.34E-04	2.48E-04	0.00E+00	1.15E-03
3:Del:R:0	0.00E+00	2.75E-04	6.34E-05	0.00E+00	1.01E-03	3.20E-04	1.59E-05
3:Del:R:1	4.76E-04	3.40E-04	0.00E+00	2.19E-04	9.97E-05	7.89E-04	4.51E-03
3:Del:R:2	0.00E+00	1.31E-04	7.34E-05	1.22E-04	3.47E-04	2.64E-04	5.26E-04
3:Del:R:3	9.73E-05	4.88E-05	2.09E-09	3.89E-05	7.08E-09	1.10E-04	2.17E-04
3:Del:R:4	5.17E-09	6.87E-09	3.51E-09	5.40E-09	1.27E-08	8.63E-09	1.13E-07
3:Del:R:5	1.81E-07	2.78E-05	2.81E-08	3.73E-08	3.74E-08	5.06E-08	7.17E-05
4:Del:R:0	1.41E-08	1.91E-04	0.00E+00	0.00E+00	3.54E-04	5.73E-05	1.99E-03
4:Del:R:1	1.12E-04	2.39E-04	5.45E-05	2.31E-05	1.91E-04	5.27E-04	2.09E-03
4:Del:R:2	3.30E-05	1.47E-04	9.26E-05	1.69E-03	1.81E-05	5.43E-04	5.28E-04
4:Del:R:3	5.17E-09	6.87E-09	3.51E-09	5.40E-09	1.27E-08	8.63E-09	1.13E-07
4:Del:R:4	2.37E-05	3.80E-08	3.37E-08	1.87E-07	4.74E-05	5.00E-08	9.01E-08
4:Del:R:5	5.29E-08	1.39E-08	1.61E-03	1.44E-07	8.55E-08	1.49E-07	1.22E-02
5:Del:R:0	1.02E-07	2.06E-04	6.69E-08	6.20E-04	5.74E-03	1.51E-06	3.60E-02
5:Del:R:1	1.20E-05	5.70E-05	0.00E+00	3.45E-05	2.59E-04	4.43E-04	1.86E-03
5:Del:R:2	7.09E-05	1.39E-04	9.99E-07	1.28E-04	2.19E-04	1.42E-04	1.06E-03
5:Del:R:3	1.48E-05	6.77E-09	4.15E-04	5.70E-08	4.59E-05	1.31E-04	1.23E-03
5:Del:R:4	2.27E-08	2.23E-07	2.54E-08	1.89E-07	6.62E-05	1.01E-04	1.26E-04
5:Del:R:5	3.61E-05	3.74E-05	3.45E-05	3.34E-08	3.06E-08	3.12E-08	3.01E-04
2:Ins:R:0	4.08E-05	9.93E-05	4.01E-05	9.98E-05	3.25E-04	2.13E-04	2.07E-03
2:Ins:R:1	1.19E-08	3.44E-04	1.61E-05	0.00E+00	4.43E-04	3.88E-05	2.06E-03
2:Ins:R:2	1.28E-04	1.33E-04	9.22E-05	7.11E-09	0.00E+00	1.50E-04	6.42E-04
2:Ins:R:3	1.07E-04	0.00E+00	6.97E-05	7.50E-05	7.62E-05	0.00E+00	0.00E+00
2:Ins:R:4	7.96E-04	0.00E+00	6.61E-08	3.03E-03	2.08E-07	5.07E-04	3.39E-02
2:Ins:R:5	5.46E-04	3.33E-09	1.36E-09	4.86E-08	1.11E-04	7.12E-04	2.10E-03
3:Ins:R:0	2.95E-09	1.01E-04	4.02E-05	5.41E-08	1.64E-04	1.32E-08	3.02E-04
3:Ins:R:1	1.92E-04	1.65E-04	5.26E-09	9.42E-05	1.52E-04	7.38E-05	2.35E-03
3:Ins:R:2	2.23E-08	8.09E-05	1.69E-08	4.77E-05	7.69E-05	1.13E-04	1.51E-07
3:Ins:R:3	5.86E-08	2.79E-05	2.64E-05	1.73E-07	9.77E-09	1.20E-08	2.27E-04
3:Ins:R:4	2.74E-05	2.43E-08	2.61E-05	3.55E-08	1.04E-04	9.24E-05	1.06E-04
3:Ins:R:5	9.98E-05	0.00E+00	1.75E-04	2.33E-04	2.79E-05	3.36E-04	1.53E-03
4:Ins:R:0	1.74E-08	1.55E-08	4.68E-05	2.50E-08	4.43E-05	3.24E-08	2.08E-04
4:Ins:R:1	1.80E-04	2.14E-04	4.23E-04	1.60E-03	0.00E+00	1.95E-04	5.14E-03
4:Ins:R:2	2.61E-05	2.05E-08	3.62E-05	1.93E-08	1.30E-08	3.02E-05	2.22E-04
4:Ins:R:3	1.93E-04	1.77E-08	2.89E-04	7.13E-05	1.30E-08	9.04E-05	6.01E-04
4:Ins:R:4	0.00E+00	1.63E-07	1.40E-04	1.26E-03	2.75E-04	2.97E-08	3.72E-03
4:Ins:R:5	1.75E-04	0.00E+00	1.44E-09	9.66E-05	2.82E-04	1.84E-04	1.01E-03
5:Ins:R:0	1.55E-08	1.24E-08	9.19E-09	2.95E-07	9.28E-05	9.71E-09	6.52E-08
5:Ins:R:1	1.02E-04	3.48E-04	1.70E-04	2.58E-04	1.12E-03	1.26E-04	2.69E-03
5:Ins:R:2	1.96E-05	3.62E-08	2.52E-08	5.37E-08	5.15E-08	4.96E-08	1.21E-04
5:Ins:R:3	5.52E-05	2.65E-05	2.76E-09	5.79E-09	1.24E-04	4.62E-09	1.64E-04
5:Ins:R:4	3.06E-05	4.41E-05	2.12E-05	5.21E-09	7.38E-05	2.88E-09	1.72E-04
5:Ins:R:5	5.12E-08	3.57E-05	2.09E-08	2.85E-08	2.75E-08	2.47E-05	4.82E-04
2:Del:M:1	1.52E-04	4.07E-04	1.83E-05	0.00E+00	6.87E-04	3.62E-04	2.22E-03
3:Del:M:1	1.21E-08	4.18E-04	1.20E-04	8.62E-09	1.35E-03	1.53E-04	9.22E-03
