MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
1:Del:C:0	5.83E-04	3.92E-03	0.00E+00	5.43E-04	2.11E-02	1.09E-02	2.88E-02	1.03E-02	2.57E-02	4.14E-02	3.68E-02	9.98E-03	6.49E-03	1.41E-02	3.87E-02
1:Del:C:1	5.58E-04	1.68E-03	1.40E-46	5.68E-08	1.75E-02	6.99E-03	1.45E-02	1.27E-02	4.53E-03	2.53E-02	1.79E-02	9.93E-03	3.53E-03	2.90E-02	1.70E-02
1:Del:C:2	5.46E-08	2.71E-04	0.00E+00	2.77E-08	2.16E-03	1.11E-03	2.23E-04	5.78E-04	2.42E-03	4.56E-03	2.24E-03	4.08E-04	0.00E+00	1.93E-03	7.30E-03
1:Del:C:3	5.95E-08	2.07E-04	2.46E-04	0.00E+00	2.51E-03	2.76E-03	2.53E-03	2.92E-03	1.13E-03	2.77E-02	4.28E-03	2.55E-07	7.45E-03	7.41E-03	1.44E-02
1:Del:C:4	2.69E-08	3.48E-03	2.92E-04	1.66E-08	7.14E-03	0.00E+00	2.10E-02	1.92E-04	4.84E-02	6.22E-03	4.76E-03	4.76E-03	6.10E-03	7.64E-03	6.61E-03
1:Del:C:5	2.65E-04	2.00E-08	2.05E-03	4.62E-04	0.00E+00	3.55E-04	4.27E-04	1.81E-08	1.50E-04	0.00E+00	7.62E-04	9.30E-03	2.70E-02	5.08E-03	2.30E-02
1:Del:T:0	0.00E+00	1.60E-05	5.11E-04	5.99E-03	1.51E-02	1.40E-02	2.33E-02	5.92E-03	1.38E-02	1.93E-02	1.66E-02	2.12E-02	1.46E-02	1.41E-02	3.64E-02
1:Del:T:1	9.12E-08	4.29E-04	0.00E+00	0.00E+00	1.11E-02	3.22E-03	1.22E-02	3.72E-03	1.71E-07	1.02E-02	4.09E-03	1.04E-02	1.19E-02	9.54E-03	3.55E-02
1:Del:T:2	0.00E+00	0.00E+00	1.47E-03	2.38E-04	1.34E-02	3.30E-03	9.70E-03	2.10E-03	2.80E-03	1.47E-02	9.75E-03	3.61E-03	7.20E-03	4.05E-03	1.18E-02
1:Del:T:3	2.80E-04	2.08E-04	2.45E-03	1.45E-04	1.73E-02	9.04E-37	2.40E-02	1.87E-46	5.49E-04	2.53E-02	1.69E-02	1.85E-02	1.52E-02	2.06E-02	1.55E-02
1:Del:T:4	1.46E-08	1.05E-03	5.24E-03	4.36E-04	2.04E-02	1.87E-46	2.17E-02	8.60E-03	4.63E-03	1.95E-02	1.44E-02	1.06E-02	2.42E-03	2.16E-02	6.39E-02
1:Del:T:5	7.21E-08	1.40E-07	1.40E-02	1.26E-06	1.20E-07	2.53E-07	1.66E-06	9.16E-07	5.62E-07	4.58E-46	4.22E-06	1.14E-02	1.00E-01	3.63E-02	7.45E-03
1:Ins:C:0	2.72E-08	6.04E-08	4.78E-08	6.53E-08	3.23E-07	7.61E-04	1.63E-07	1.58E-03	2.80E-06	1.56E-03	5.66E-05	3.19E-07	8.48E-06	1.20E-03	9.38E-05
1:Ins:C:1	5.16E-08	3.20E-08	7.26E-09	3.75E-05	1.65E-07	8.08E-04	3.39E-04	7.15E-04	1.69E-07	2.85E-07	1.21E-03	4.00E-07	5.38E-04	1.51E-03	5.70E-07
1:Ins:C:2	3.56E-08	2.32E-08	1.04E-05	3.41E-08	3.26E-08	7.70E-04	4.09E-07	8.08E-04	8.08E-04	2.93E-04	1.35E-03	9.62E-05	3.46E-07	8.44E-04	5.01E-04
1:Ins:C:3	4.92E-08	7.13E-08	7.73E-05	1.16E-04	7.09E-09	3.57E-05	1.45E-04	4.35E-07	1.18E-03	1.19E-07	1.16E-03	6.60E-04	2.27E-03	3.60E-07	1.43E-03
1:Ins:C:4	4.70E-04	1.84E-08	2.47E-04	9.31E-04	5.97E-07	2.73E-04	5.17E-04	0.00E+00	1.08E-03	9.73E-06	1.34E-03	6.59E-03	1.87E-03	2.27E-03	6.55E-04
1:Ins:C:5	4.36E-03	2.85E-08	1.78E-03	1.84E-04	1.75E-08	3.02E-09	9.67E-04	0.00E+00	2.65E-03	1.08E-03	7.70E-04	3.90E-02	6.08E-02	1.63E-02	4.09E-03
1:Ins:T:0	1.47E-04	6.42E-10	7.13E-09	1.65E-04	1.96E-03	2.59E-03	4.29E-03	7.82E-05	2.74E-04	4.51E-03	3.62E-03	7.92E-03	3.58E-03	8.10E-03	2.37E-02
1:Ins:T:1	8.21E-09	2.65E-04	0.00E+00	8.48E-04	3.05E-03	1.53E-03	2.15E-03	3.59E-03	1.26E-03	6.35E-03	8.14E-04	3.16E-03	1.93E-06	9.33E-03	4.80E-03
1:Ins:T:2	1.22E-04	2.21E-04	3.51E-04	1.27E-05	8.07E-04	0.00E+00	8.44E-04	2.20E-04	8.39E-04	1.94E-03	5.51E-03	1.46E-03	4.71E-05	4.78E-03	4.11E-04
1:Ins:T:3	5.23E-04	0.00E+00	1.45E-04	1.36E-04	9.29E-04	6.46E-04	1.98E-03	6.50E-04	0.00E+00	2.00E-03	2.58E-03	4.55E-03	7.19E-03	8.44E-03	2.05E-03
