Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
V1	27	35	16	55	36	34	10
V2	0	0	78	0	37	224	3
V3	41	6	47	41	3	10	0
V4	81	39	70	0	5	11	0
V5	51	3	5	50	25	4	0
V6	0	12	58	6	0	94	16
V7	33	12	10	10	66	0	10
V8	112	21	12	0	12	0	20
V9	7	1	4	33	7	71	0
V10	0	1	16	9	75	9	1
V11	73	20	11	79	1	7	0
V12	0	78	336	14	1	63	0
V13	185	36	0	35	10	1	48
V14	59	61	5	101	2	17	0
V15	71	15	0	27	34	6	12
V16	2	2	105	0	27	54	45
V17	30	560	12	19	6	150	17
V18	10	83	9	9	30	61	0
V19	5	1	3	93	46	75	0
V20	1	23	83	20	1	59	0
V21	155	2	8	8	46	0	26
V22	9	61	0	0	4	76	26
V23	15	45	4	1	219	0	19
V24	0	95	19	17	0	21	20
V25	14	2	0	19	40	34	33
V26	254	23	2	1	29	76	0
V27	97	66	0	0	50	1	12
V28	16	1	54	0	5	0	19
V29	42	192	168	222	16	18	69
V30	75	34	177	152	74	0	72
V31	20	8	4	66	67	0	0
V32	11	46	20	46	29	1	0
V33	0	68	34	42	88	9	0
V34	72	17	60	76	1	40	0
V35	155	0	9	0	7	57	0
V36	4	96	27	16	23	73	11
V37	49	26	22	85	0	5	1
V38	14	0	124	4	1	15	17
V39	58	46	4	0	2	0	9
V40	40	160	3	0	94	19	37
V41	0	52	3	1	21	43	7
V42	118	172	2	2	0	0	0
V43	41	0	2	23	3	9	8
V44	17	5	0	52	18	0	0
V45	0	11	59	27	70	74	3
V46	32	18	81	0	30	42	0
V47	13	1	137	121	1	16	33
V48	29	76	0	0	17	212	30
V49	34	8	6	115	18	1	3
V50	84	27	12	63	15	8	0
V51	118	76	197	30	2	8	0
V52	17	55	4	3	99	11	7
V53	41	5	54	2	2	77	59
V54	2	17	49	1	0	22	0
V55	52	5	34	0	14	138	0
V56	63	144	9	0	47	1	7
V57	133	1	92	179	2	89	41
V58	29	103	38	0	4	0	21
V59	30	25	78	11	16	11	0
V60	0	19	0	83	221	123	28
V61	0	36	67	111	18	0	12
V62	6	0	175	0	7	1	0
V63	96	136	29	79	21	54	2
V64	0	54	25	1	11	35	37
V65	0	0	24	3	5	1	1
V66	305	87	187	0	181	4	17
V67	86	0	30	0	3	9	36
V68	34	100	1	146	8	5	0
V69	0	8	90	0	5	6	13
V70	180	24	270	16	0	3	0
V71	0	93	24	10	77	18	14
V72	308	66	14	1	4	6	0
V73	200	91	6	0	175	13	13
V74	61	6	101	0	172	16	7
V75	16	2	3	0	0	12	0
V76	0	0	83	12	1	89	10
V77	0	75	27	15	63	67	99
V78	0	125	3	0	329	7	27
V79	12	0	154	0	1	4	3
V80	39	4	12	239	2	109	75
V81	13	1	47	0	4	152	59
V82	104	60	16	426	8	0	20
V83	78	188	16	434	146	5	0
V84	7	1	18	19	1	14	21
V85	8	204	21	9	78	0	1
V86	64	5	4	105	1	28	0
V87	0	73	0	0	42	181	39
V88	0	266	56	88	52	8	0
V89	123	32	19	86	165	24	0
V90	127	1	7	151	57	40	0
V91	4	85	0	2	0	53	7
V92	176	13	119	0	153	0	13
V93	4	13	0	11	135	168	23
V94	0	0	111	28	145	12	30
V95	18	30	99	36	7	4	45
V96	17	2	286	63	68	105	1
V97	217	69	0	33	46	56	0
V98	70	64	56	18	5	24	0
V99	1	4	66	8	1	12	0
V100	23	8	9	188	25	0	58
