Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
V1	2.78E+00	1.49E+00	2.39E+00	3.19E+00	2.60E+00	2.82E+00	3.80E+00
V2	0.00E+00	0.00E+00	1.64E+00	0.00E+00	1.41E+00	1.03E+01	1.10E+01
V3	4.76E+00	7.22E-01	1.64E+00	4.16E+00	7.45E-01	9.32E-01	6.42E+00
V4	2.17E+00	1.90E+00	2.02E+00	0.00E+00	4.99E-01	1.22E+00	4.23E-01
V5	6.47E+00	6.70E-01	7.63E-01	3.13E+00	1.91E+00	5.81E-01	7.04E+00
V6	9.21E-01	8.36E-01	6.45E+00	8.00E-01	0.00E+00	6.63E+00	8.17E+00
V7	3.78E+00	1.22E+00	1.28E+00	8.46E-01	1.14E+00	0.00E+00	3.55E+00
V8	3.09E+00	1.49E+00	1.16E+00	3.06E-01	9.07E-01	4.22E-01	3.27E+00
V9	1.35E+00	2.77E-01	8.88E-01	3.05E+00	1.11E+00	2.34E+00	3.72E+00
V10	0.00E+00	6.67E-01	1.93E+00	1.21E+00	2.28E+00	1.12E+00	2.71E+00
V11	2.39E+00	2.01E+00	1.27E+00	6.60E+00	5.59E-01	5.96E-01	5.74E+00
V12	0.00E+00	1.69E+00	2.97E+00	1.42E+00	3.65E-01	4.04E+00	3.32E+00
V13	5.85E+00	2.00E+00	1.12E+00	4.28E+00	1.51E+00	7.02E-01	6.24E+00
V14	3.57E+00	1.94E+00	8.27E-01	4.06E+00	3.27E-01	1.55E+00	4.14E+00
V15	1.34E+00	1.23E+00	2.21E-01	3.02E+00	1.88E+00	1.17E+00	3.64E+00
V16	2.06E+00	5.33E-01	3.20E+00	0.00E+00	2.32E+00	3.78E+00	4.74E+00
V17	3.96E+00	5.41E+00	1.84E+00	2.25E+00	1.26E+00	8.16E+00	7.44E+00
V18	1.22E+00	2.28E+00	1.01E+00	1.36E+00	1.19E+00	4.04E+00	4.27E+00
V19	1.20E+00	4.67E-01	4.90E-01	2.40E+00	2.87E+00	3.18E+00	3.07E+00
V20	1.33E-01	1.08E+00	5.31E+00	1.77E+00	3.14E-01	4.46E+00	8.01E+00
V21	8.54E+00	4.94E-01	1.15E+00	1.92E+00	1.55E+00	2.77E-01	8.77E+00
V22	1.60E+00	2.93E+00	5.73E-01	9.80E-01	7.64E-01	6.35E+00	4.96E+00
V23	2.01E+00	2.43E+00	9.10E-01	1.16E+00	1.98E+00	1.33E-01	2.27E+00
V24	1.32E+00	1.89E+00	1.54E+00	1.83E+00	0.00E+00	2.03E+00	1.95E+00
V25	1.01E+00	4.07E-01	7.22E-01	1.37E+00	1.95E+00	1.87E+00	2.53E+00
V26	3.35E+00	8.41E-01	4.73E-01	2.60E-01	1.05E+00	4.67E+00	3.37E+00
V27	1.04E+01	2.54E+00	2.67E-01	0.00E+00	1.58E+00	4.42E-01	9.63E+00
V28	1.72E+00	3.79E-01	3.96E+00	7.00E-01	1.39E+00	0.00E+00	4.71E+00
V29	5.05E+00	4.28E+00	1.47E+01	9.32E+00	2.45E+00	3.19E+00	1.49E+01
V30	7.82E+00	1.71E+00	3.95E+00	1.26E+01	2.86E+00	0.00E+00	1.23E+01
V31	1.80E+00	7.16E-01	6.67E-01	1.50E+00	1.98E+00	0.00E+00	1.45E+00
V32	1.09E+00	2.03E+00	2.37E+00	2.13E+00	1.83E+00	2.13E-01	2.86E+00
V33	6.67E-01	2.37E+00	3.39E+00	4.00E+00	1.12E+00	1.34E+00	4.29E+00
V34	1.41E+00	1.02E+00	6.25E+00	3.79E+00	4.07E-01	3.04E+00	5.84E+00
V35	4.35E+00	0.00E+00	1.05E+00	0.00E+00	1.01E+00	3.30E+00	3.41E+00
V36	1.89E+00	2.51E+00	2.57E+00	9.43E-01	7.86E-01	5.48E+00	6.31E+00
V37	3.69E+00	1.56E+00	2.83E+00	3.97E+00	0.00E+00	9.31E-01	4.19E+00
V38	3.90E+00	0.00E+00	8.51E+00	8.41E-01	2.58E-01	8.03E-01	8.94E+00
V39	3.04E+00	1.44E+00	1.02E+00	3.89E-01	4.76E-01	0.00E+00	4.67E+00
V40	7.44E+00	3.89E+00	9.40E-01	2.69E-01	4.78E+00	1.63E+00	1.25E+01
V41	1.03E+00	1.69E+00	6.90E-01	2.60E-01	2.14E+00	3.34E+00	2.85E+00
V42	3.20E+00	1.94E+00	5.33E-01	7.52E-01	0.00E+00	0.00E+00	3.61E+00
V43	3.56E+00	0.00E+00	4.73E-01	2.78E+00	5.04E-01	7.67E-01	4.08E+00
V44	2.98E+00	6.36E-01	0.00E+00	3.98E+00	1.56E+00	0.00E+00	4.67E+00
V45	6.00E-01	8.97E-01	2.48E+00	1.86E+00	2.47E+00	3.55E+00	4.59E+00
V46	1.64E+00	9.17E-01	1.66E+00	2.00E-01	1.23E+00	2.18E+00	1.91E+00
V47	3.61E+00	1.80E-01	7.15E+00	1.17E+01	3.27E-01	2.20E+00	1.39E+01
V48	2.15E+00	1.87E+00	3.71E-01	5.81E-01	2.00E+00	1.19E+01	1.25E+01
V49	2.37E+00	4.23E-01	1.34E+00	3.84E+00	1.78E+00	2.21E-01	2.27E+00
V50	1.59E+00	1.98E+00	1.93E+00	1.67E+00	1.93E+00	8.70E-01	3.12E+00
V51	7.02E+00	2.40E+00	5.39E+00	2.53E+00	6.63E-01	8.70E-01	5.47E+00
V52	3.33E+00	1.73E+00	6.70E-01	7.02E-01	2.70E+00	1.48E+00	5.20E+00
V53	3.91E+00	8.33E-01	6.39E+00	1.65E+00	1.15E+00	3.54E+00	7.11E+00
V54	6.53E-01	1.09E+00	2.00E+00	3.00E-01	0.00E+00	1.92E+00	2.59E+00
V55	4.84E+00	5.86E-01	9.71E-01	0.00E+00	8.92E-01	8.75E+00	9.38E+00
V56	1.96E+00	4.60E+00	1.10E+00	2.91E-01	2.24E+00	5.17E-01	1.54E+00
V57	1.67E+01	4.23E-01	3.47E+00	7.06E+00	7.75E-01	4.04E+00	1.84E+01
V58	1.81E+00	2.77E+00	4.10E+00	8.44E-01	8.83E-01	5.22E-01	4.78E+00
V59	3.16E+00	1.34E+00	5.63E+00	1.00E+00	1.18E+00	1.83E+00	4.62E+00
V60	1.19E+00	1.77E+00	8.30E-01	2.79E+00	1.66E+00	1.08E+01	1.00E+01
V61	1.12E+00	1.78E+00	6.32E+00	3.68E+00	2.05E+00	2.49E-01	7.06E+00
V62	9.21E-01	2.00E-01	1.38E+00	2.60E-01	7.52E-01	2.77E-01	1.89E+00
V63	4.98E+00	3.25E+00	1.23E+00	5.16E+00	1.43E+00	2.90E+00	4.86E+00
V64	1.71E+00	2.08E+00	3.75E+00	9.17E-01	1.06E+00	3.31E+00	5.24E+00
V65	0.00E+00	0.00E+00	7.33E-01	5.21E-01	6.74E-01	2.60E-01	7.57E-01
V66	1.78E+01	3.34E+00	3.31E+00	4.00E-01	2.84E+00	5.63E-01	1.62E+01
V67	1.14E+01	0.00E+00	1.51E+00	0.00E+00	8.46E-01	1.93E+00	1.12E+01
V68	2.62E+00	3.08E+00	2.91E-01	3.75E+00	1.46E+00	8.84E-01	1.88E+00
V69	7.30E-01	6.86E-01	2.06E+00	2.91E-01	4.96E-01	7.48E-01	1.47E+00
V70	3.53E+00	1.47E+00	2.36E+01	1.83E+00	0.00E+00	6.16E-01	2.52E+01
V71	1.17E+00	2.82E+00	1.10E+00	1.66E+00	2.64E+00	2.12E+00	1.68E+00
V72	2.74E+00	2.00E+00	1.69E+00	4.27E-01	6.54E-01	1.04E+00	2.17E+00
V73	5.73E+00	3.63E+00	1.06E+00	4.27E-01	4.48E+00	7.92E-01	6.50E+00
V74	4.30E+00	8.09E-01	3.24E+00	0.00E+00	3.77E+00	1.49E+00	6.79E+00
V75	8.36E-01	6.11E-01	4.77E-01	1.53E-01	0.00E+00	7.46E-01	7.00E-01
V76	9.00E-01	0.00E+00	8.77E+00	1.78E+00	2.91E-01	6.88E+00	1.11E+01
V77	2.02E+00	2.64E+00	4.34E+00	3.89E+00	1.75E+00	7.69E+00	8.64E+00
V78	1.83E+00	4.17E+00	1.15E+00	8.27E-01	4.12E+00	1.15E+00	1.93E+00
V79	1.96E+00	0.00E+00	1.37E+00	0.00E+00	3.40E-01	4.27E-01	1.58E+00
V80	6.96E+00	1.33E+00	1.23E+00	5.50E+00	4.52E-01	7.58E+00	9.04E+00
V81	2.36E+00	2.13E-01	2.14E+00	1.29E+00	1.13E+00	1.10E+01	1.23E+01
V82	6.84E+00	2.40E+00	2.28E+00	4.01E+00	7.12E-01	3.59E-01	6.02E+00
V83	7.54E+00	4.91E+00	2.35E+00	1.73E+01	4.34E+00	1.25E+00	2.14E+01
V84	2.13E+00	3.06E-01	1.27E+00	1.54E+00	6.40E-01	1.43E+00	2.03E+00
V85	2.65E+00	3.27E+00	1.24E+00	1.08E+00	3.34E+00	0.00E+00	9.68E-01
V86	5.38E+00	5.26E-01	8.75E-01	6.92E+00	5.73E-01	1.71E+00	7.88E+00
V87	9.57E-01	2.40E+00	1.11E+00	2.00E-01	2.43E+00	1.42E+01	1.29E+01
V88	1.11E+00	4.74E+00	2.20E+00	7.35E+00	2.27E+00	7.81E-01	5.69E+00
V89	6.32E+00	2.14E+00	2.52E+00	2.35E+00	3.71E+00	1.45E+00	4.14E+00
V90	1.31E+01	1.53E-01	1.33E+00	1.10E+01	2.19E+00	2.54E+00	1.48E+01
V91	1.15E+00	1.88E+00	0.00E+00	8.57E-01	0.00E+00	5.49E+00	5.02E+00
V92	4.28E+00	9.43E-01	3.65E+00	4.16E-01	3.46E+00	2.77E-01	3.42E+00
V93	1.85E+00	1.14E+00	3.06E-01	1.27E+00	3.87E+00	1.06E+01	1.13E+01
V94	1.22E+00	0.00E+00	3.36E+00	3.44E+00	2.77E+00	2.12E+00	4.13E+00
V95	2.61E+00	1.66E+00	2.53E+00	3.93E+00	1.13E+00	1.24E+00	6.28E+00
V96	2.10E+00	5.96E-01	2.31E+01	3.51E+00	4.12E+00	6.83E+00	2.53E+01
V97	2.21E+01	2.09E+00	2.13E-01	4.84E+00	4.05E+00	4.66E+00	2.28E+01
V98	1.92E+00	2.21E+00	5.62E+00	1.35E+00	9.94E-01	2.00E+00	6.04E+00
V99	4.27E-01	7.67E-01	6.81E+00	1.08E+00	2.77E-01	1.11E+00	6.57E+00
V100	5.85E+00	1.15E+00	2.39E+00	1.25E+01	3.05E+00	3.79E-01	1.45E+01
