Samples	ID1	ID2	ID8	ID9	ID19	ID83F
V1	14	35	58	0	75	31
V2	78	38	0	0	0	226
V3	53	0	50	45	0	0
V4	64	0	0	66	76	0
V5	0	27	59	52	0	0
V6	61	0	0	0	28	97
V7	11	71	0	33	26	0
V8	13	12	0	108	44	0
V9	0	0	42	0	0	81
V10	19	92	0	0	0	0
V11	0	0	84	63	44	0
V12	298	0	0	0	144	50
V13	0	0	48	188	79	0
V14	0	0	95	33	117	0
V15	0	35	31	67	32	0
V16	130	36	0	0	0	69
V17	0	0	0	0	794	0
V18	0	24	0	0	135	43
V19	0	47	100	0	0	76
V20	82	0	0	0	48	57
V21	0	56	0	189	0	0
V22	0	0	0	0	113	63
V23	0	213	0	0	90	0
V24	0	0	0	0	172	0
V25	0	46	30	25	0	41
V26	0	29	0	236	48	72
V27	0	43	0	66	117	0
V28	68	0	0	27	0	0
V29	147	0	217	0	363	0
V30	179	78	175	76	76	0
V31	0	80	85	0	0	0
V32	14	23	38	0	78	0
V33	29	83	0	0	129	0
V34	56	0	78	62	33	37
V35	0	0	0	168	0	60
V36	20	18	0	0	160	52
V37	18	0	84	35	51	0
V38	175	0	0	0	0	0
V39	0	0	0	39	80	0
V40	0	79	0	0	274	0
V41	0	17	0	0	80	30
V42	0	0	0	0	294	0
V43	0	0	29	47	0	10
V44	0	19	58	15	0	0
V45	61	74	31	0	0	78
V46	76	29	0	25	35	38
V47	162	0	160	0	0	0
V48	0	0	0	0	161	203
V49	0	19	134	32	0	0
V50	0	14	66	70	59	0
V51	184	0	0	94	153	0
V52	0	93	0	0	103	0
V53	73	0	0	72	0	95
V54	42	0	0	0	31	18
V55	34	14	0	54	0	141
V56	0	37	0	0	234	0
V57	96	0	204	142	0	95
V58	29	0	0	0	166	0
V59	86	19	0	0	66	0
V60	0	241	100	0	0	133
V61	58	15	106	0	65	0
V62	189	0	0	0	0	0
V63	0	0	96	0	321	0
V64	26	0	0	0	106	31
V65	29	5	0	0	0	0
V66	171	174	0	262	174	0
V67	42	0	0	122	0	0
V68	0	0	123	0	171	0
V69	122	0	0	0	0	0
V70	292	0	0	201	0	0
V71	18	62	0	0	156	0
V72	0	0	0	270	129	0
V73	0	164	0	159	175	0
V74	107	190	0	66	0	0
V75	3	0	0	17	0	13
V76	94	0	0	0	0	101
V77	38	70	0	0	168	70
V78	0	279	0	0	212	0
V79	174	0	0	0	0	0
V80	0	0	339	0	0	141
V81	62	0	0	37	0	177
V82	0	0	440	69	125	0
V83	0	124	398	0	345	0
V84	23	0	27	14	0	17
V85	0	50	0	0	271	0
V86	0	0	116	62	0	29
V87	0	39	0	0	138	158
V88	0	0	0	0	470	0
V89	0	173	95	109	72	0
V90	0	58	164	121	0	40
V91	0	0	0	0	119	32
V92	123	165	0	186	0	0
V93	0	159	0	0	0	195
V94	140	186	0	0	0	0
V95	111	0	53	0	75	0
V96	291	72	71	0	0	108
V97	0	44	0	190	140	47
V98	52	0	0	51	134	0
V99	78	0	0	0	0	14
V100	0	34	277	0	0	0
