Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	134	136	8	10	0	24	4	33	0	0	10	27	0	0
V2	221	0	41	3	3	4	0	0	41	0	15	5	0	0
V3	0	1	5	103	0	17	0	43	7	0	4	0	0	0
V4	0	1	0	8	8	0	10	0	0	5	0	0	0	0
V5	148	18	1	49	0	0	121	0	0	3	0	0	0	0
V6	194	64	45	147	0	11	10	33	47	13	29	35	11	23
V7	0	56	0	67	11	1	0	16	0	82	18	24	0	0
V8	20	0	344	51	11	0	0	0	168	8	0	0	4	0
V9	94	9	12	101	14	0	14	0	0	0	0	12	19	0
V10	12	40	43	13	5	31	0	39	0	0	24	0	0	0
V11	0	18	1	11	0	0	0	0	0	1	0	0	0	7
V12	106	0	12	7	1	0	8	0	8	0	32	6	4	0
V13	0	49	4	91	0	0	0	0	1	4	4	0	14	2
V14	317	228	5	91	0	0	81	0	0	0	50	83	0	0
V15	0	10	60	1	47	0	0	7	19	38	10	65	2	10
V16	4	9	1	5	1	25	0	6	1	0	6	0	4	0
V17	124	0	16	134	0	0	6	8	4	28	0	2	7	0
V18	39	32	1	95	0	11	9	3	7	2	0	12	4	0
V19	34	5	57	2	73	8	0	0	0	0	23	0	6	0
V20	185	1	27	125	0	0	161	24	0	0	0	5	0	0
V21	96	5	31	2	0	0	56	3	4	0	0	48	0	0
V22	1	0	0	54	9	5	0	42	0	0	13	0	0	35
V23	17	0	54	4	6	23	0	56	6	0	4	0	10	0
V24	11	0	10	68	1	3	0	28	10	0	0	0	1	0
V25	351	4	1	19	5	20	122	0	0	0	16	0	4	0
V26	0	168	53	78	293	7	0	9	6	46	28	14	0	7
V27	76	1	7	27	28	0	41	0	0	19	0	0	29	0
V28	12	4	68	30	54	5	0	19	10	66	13	14	37	0
V29	73	33	37	22	0	0	59	3	1	0	0	6	7	0
V30	166	0	0	0	0	0	160	10	0	0	0	2	0	0
V31	0	126	78	14	43	4	2	0	18	0	0	0	2	0
V32	99	13	4	0	87	33	0	38	0	0	41	0	22	0
V33	72	21	31	0	16	22	0	0	1	2	0	0	0	0
V34	80	4	10	60	7	6	61	6	0	16	0	0	0	0
V35	105	52	42	134	3	47	50	38	7	0	3	0	0	0
V36	16	3	0	16	0	1	44	0	0	0	7	0	0	0
V37	18	28	1	5	38	5	0	0	0	0	7	4	8	0
V38	0	124	16	1	0	4	0	45	11	24	0	23	0	0
V39	109	0	27	58	0	0	46	23	0	55	1	0	12	0
V40	66	39	2	0	3	11	24	0	0	0	5	46	0	0
V41	39	0	44	40	229	78	0	55	0	117	0	0	47	64
V42	31	93	72	45	21	0	0	12	49	18	0	22	0	0
V43	0	11	71	32	0	0	7	0	32	1	0	0	0	0
V44	2	79	1	0	0	25	0	2	0	0	28	0	0	0
V45	45	141	42	191	11	18	0	36	4	27	27	0	0	54
V46	34	0	227	14	115	0	7	0	67	0	0	0	7	0
V47	13	47	2	53	0	20	7	25	5	1	0	0	0	16
V48	0	19	57	62	0	76	0	7	12	0	14	23	0	0
V49	3	0	12	116	0	2	0	27	21	12	12	0	0	40
V50	106	220	161	10	13	6	0	0	83	0	27	29	26	0
V51	15	0	64	2	0	23	0	8	12	0	23	7	1	0
V52	17	24	19	0	118	10	0	0	3	47	3	0	34	22
V53	24	0	1	16	54	204	0	99	0	28	42	0	0	0
V54	3	0	2	0	0	1	0	8	4	0	2	0	0	0
V55	3	1	10	17	3	8	20	0	9	12	0	0	21	3
V56	0	35	0	12	32	0	0	0	0	4	0	9	0	0
V57	34	273	2	9	7	36	0	50	0	47	0	27	0	0
V58	146	38	18	0	4	24	0	60	12	0	0	0	6	0
V59	0	9	62	106	24	8	6	16	36	27	0	0	0	5
V60	36	15	44	60	28	49	35	0	0	0	3	0	11	0
V61	35	0	0	38	1	0	0	5	0	6	14	1	0	0
V62	126	0	161	12	3	79	0	99	67	0	31	0	0	0
V63	23	68	17	2	77	0	45	4	26	0	0	31	0	0
V64	0	44	45	35	11	0	12	0	19	8	0	0	1	0
V65	12	10	29	0	0	2	8	0	17	15	7	0	0	0
V66	0	25	6	125	29	107	0	100	0	0	70	0	0	0
V67	13	0	28	3	3	0	12	1	0	49	2	0	4	2
V68	50	0	51	41	11	98	0	70	13	4	64	13	0	0
V69	121	99	33	47	0	57	0	48	15	0	60	98	0	0
V70	0	0	15	0	15	6	3	1	0	0	0	0	9	2
V71	0	1	1	51	2	3	4	3	0	6	2	15	0	0
V72	4	4	17	1	0	0	0	9	17	0	0	0	3	0
V73	24	107	12	8	53	2	0	0	6	15	0	0	0	0
V74	0	91	1	154	2	37	59	16	0	1	0	0	0	28
V75	0	67	0	0	242	86	0	30	0	158	19	40	0	0
V76	17	0	67	0	16	60	0	32	26	17	34	10	0	0
V77	8	7	369	7	1	0	10	0	111	0	0	0	4	0
V78	7	0	171	0	14	0	4	0	90	0	0	0	1	0
V79	0	8	198	198	12	0	19	0	86	0	10	0	14	8
V80	0	53	86	83	71	10	0	1	9	0	17	17	60	6
V81	0	0	10	4	1	0	0	2	11	0	5	0	0	0
V82	0	2	39	0	6	9	0	0	6	0	0	0	7	0
V83	1	106	63	25	0	0	8	0	13	0	0	0	0	0
V84	0	1	0	17	24	2	0	0	0	18	3	1	0	0
V85	38	32	63	14	8	0	15	0	55	0	0	0	0	0
V86	10	2	29	49	4	0	0	8	0	38	0	0	12	4
V87	56	37	34	0	0	0	27	1	0	0	0	0	6	0
V88	17	48	3	1	33	0	3	0	4	0	0	19	0	0
V89	94	173	0	5	7	0	65	0	0	0	0	0	3	0
V90	39	1	10	0	0	0	0	12	0	12	0	0	2	8
V91	50	103	0	16	40	11	7	40	0	31	11	0	7	0
V92	2	286	10	27	0	10	0	23	0	49	3	0	11	7
V93	16	4	7	0	0	28	0	0	1	2	8	13	0	0
V94	0	11	24	23	23	117	0	31	0	36	66	38	0	0
V95	20	11	2	8	4	40	0	16	3	31	0	0	0	5
V96	0	83	0	51	0	15	16	0	5	0	8	0	0	25
V97	106	429	7	0	81	0	0	0	2	98	0	0	0	0
V98	0	86	184	1	0	0	0	4	79	40	10	24	0	0
V99	0	38	50	37	0	0	21	0	53	0	0	0	0	0
V100	0	52	54	292	29	0	5	18	0	21	0	0	19	0
