Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V1	1.32E+01	3.50E+00	7.37E-01	1.67E+00	2.14E+00	5.14E+00	6.00E-01	1.00E-01	3.98E+00	0.00E+00	4.56E+00	6.09E+00	1.62E+01	7.06E-01	1.48E+01	1.25E+01	3.25E+00	4.73E-01	2.38E+00	9.17E-01
V2	1.83E+01	1.33E-01	8.22E+00	1.04E+00	5.17E-01	1.18E+00	8.23E-01	7.60E-01	2.88E+00	0.00E+00	2.49E+00	1.07E+00	1.59E+01	9.47E+00	2.15E+00	1.77E+01	9.80E-01	1.68E+00	1.50E+00	3.06E-01
V3	0.00E+00	3.27E-01	1.30E+00	1.40E+01	1.69E+01	5.56E+00	0.00E+00	3.00E-01	3.01E+00	0.00E+00	2.24E-01	3.42E+00	0.00E+00	1.09E+00	3.44E+00	0.00E+00	2.15E+00	6.00E-01	6.40E-01	8.09E-01
V4	1.33E+00	2.24E-01	0.00E+00	1.33E+00	7.67E-01	0.00E+00	1.44E+00	1.09E+00	3.00E-01	1.58E+00	0.00E+00	1.00E-01	6.05E-01	0.00E+00	1.00E-01	6.00E-01	4.00E-01	1.15E+00	1.58E+00	7.95E-01
V5	2.75E+01	1.53E+00	4.22E-01	7.23E+00	7.38E+00	0.00E+00	0.00E+00	7.52E-01	0.00E+00	7.00E-01	1.80E+00	2.13E-01	2.89E+01	1.00E-01	9.00E-01	3.99E+00	1.33E-01	2.96E+00	7.76E+00	1.87E+00
V6	1.84E+01	1.60E+00	9.78E+00	1.44E+01	1.55E+01	6.44E+00	2.34E+00	2.24E+00	5.41E+00	1.61E+00	2.75E+00	5.30E+00	1.11E+01	1.14E+01	1.68E+01	2.15E+01	3.14E+00	4.47E+00	6.84E+00	9.78E-01
V7	1.95E+00	2.36E+00	0.00E+00	8.40E+00	6.72E+00	3.98E+00	6.22E+00	6.10E+00	3.46E+00	7.15E+00	2.64E+00	2.84E+00	2.24E+00	7.00E-01	3.80E+00	2.19E+00	1.37E+00	1.67E-01	6.11E-01	2.22E+00
V8	2.30E+00	3.79E-01	5.02E+01	6.34E+00	6.29E+00	2.29E+00	4.30E+00	2.92E+00	2.72E+00	3.48E+00	9.48E+00	1.67E+00	1.20E+00	5.87E+01	4.00E-01	1.58E+00	6.05E-01	0.00E+00	3.00E-01	1.44E+00
V9	1.27E+01	7.33E-01	1.78E+00	1.31E+01	1.02E+01	3.40E-01	2.43E+00	1.97E+00	0.00E+00	4.25E+00	1.25E+00	5.97E-01	1.31E+01	1.69E+00	6.11E-01	1.06E+00	2.11E+00	2.29E+00	5.99E+00	9.91E-01
V10	2.24E+00	1.78E+00	2.60E+00	2.25E+00	2.00E+00	6.83E+00	1.14E+00	0.00E+00	4.83E+00	9.17E-01	1.81E+00	5.64E+00	3.82E+00	9.17E-01	3.25E+00	1.48E+00	1.94E+00	3.18E+00	5.54E-01	1.83E+00
